,Unnamed: 0,Volume,Last,Chg,% Chg
0,BioNexus Gene Lab Corp. (BGLC),156.6K,3.0,0.83,38.24
1,American Rebel Holdings Inc. (AREB),85.9K,9.09,1.84,25.38
2,Zai Lab Ltd. ADR (ZLAB),56.9K,28.06,3.74,15.38
3,Certara Inc. (CERT),133.2K,11.64,1.13,10.75
4,Absci Corp. (ABSI),88.2K,2.71,0.26,10.39
5,Recursion Pharmaceuticals Inc. (RXRX),470.0K,4.93,0.42,9.31
6,B2Gold Corp. (BTG),133.6K,3.25,0.19,6.23
7,Bilibili Inc. ADR (BILI),78.4K,16.9,0.98,6.16
8,Newmont Corp. (NEM),111.0K,53.78,2.84,5.58
9,IAMGOLD Corp. (IAG),89.4K,7.24,0.36,5.31
10,Equinox Gold Corp. (EQX),65.1K,6.81,0.32,4.93
11,STMicroelectronics N.V. (STM),93.0K,19.7,0.77,4.04
12,Schrodinger Inc. (SDGR),52.6K,19.94,0.72,3.77
13,Li Auto Inc. ADR (LI),55.3K,23.08,0.83,3.75
14,SSR Mining Inc. (SSRM),94.0K,10.54,0.36,3.59
15,Advanced Micro Devices Inc. (AMD),576.6K,91.6,2.9,3.27
16,NIO Inc. ADR (NIO),110.9K,3.37,0.09,2.83
17,MicroStrategy Inc. (MSTR),61.3K,279.24,6.9,2.53
18,Baidu Inc. ADR (BIDU),167.0K,80.19,1.72,2.19
19,Shell PLC ADR (SHEL),51.5K,61.02,1.24,2.07
20,PDD Holdings Inc. ADR (PDD),623.9K,90.08,1.73,1.96
21,Cipher Mining Inc. (CIFR),61.4K,2.26,0.04,1.8
22,Confluent Inc. (CFLT),106.0K,21.6,0.38,1.77
23,Tempus AI Inc. (TEM),95.5K,40.97,0.68,1.69
24,Nu Holdings Ltd. Cl A (NU),68.6K,10.42,0.17,1.66
25,Viatris Inc. (VTRS),113.4K,7.38,0.12,1.65
26,JD.com Inc. ADR (JD),271.7K,36.12,0.55,1.53
27,Qifu Technology Inc. ADR (QFIN),90.6K,37.28,0.55,1.48
28,Coca-Cola Europacific Partners PLC (CCEP),60.4K,86.22,1.24,1.45
29,NVIDIA Corp. (NVDA),1.8M,109.08,1.5,1.4
30,Grab Holdings Ltd. (GRAB),519.7K,4.02,0.05,1.26
31,Applied Digital Corp. (APLD),107.7K,5.19,0.06,1.17
32,Robinhood Markets Inc. (HOOD),228.8K,40.96,0.45,1.11
