,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,MSTR,Strategy Incorporated,,248.73 +10.78 (+4.53%),10.78,+4.53%,12.495M,18.368M,66.206B,-,51.95%,
45,GFS,GLOBALFOUNDRIES Inc.,,31.71 +1.34 (+4.41%),1.34,+4.41%,871754,2.454M,17.533B,-,-38.46%,
46,CACI,CACI International Inc,,403.79 +17.09 (+4.42%),17.09,+4.42%,225762,589740,9.053B,18.95,5.28%,
47,NABZY,National Australia Bank Limited,,9.80 +0.47 (+5.04%),0.47,+5.04%,42709,213019,62.897B,14.41,-17.07%,
48,DV,"DoubleVerify Holdings, Inc.",,12.36 +0.50 (+4.22%),0.5,+4.22%,914184,2.348M,2.052B,38.62,-64.37%,
49,FUN,Six Flags Entertainment Corporation,,29.58 +1.29 (+4.59%),1.29,+4.59%,655341,1.561M,2.969B,-,-28.78%,
50,LOAR,Loar Holdings Inc.,,78.71 +3.42 (+4.54%),3.42,+4.54%,184809,447013,7.364B,327.96,54.28%,
51,GOLD,Barrick Gold Corporation,,18.26 +0.74 (+4.25%),0.74,+4.25%,16.737M,24.28M,31.452B,14.97,-2.12%,
52,STVN,Stevanato Group S.p.A.,,19.36 +0.79 (+4.25%),0.79,+4.25%,161595,360808,5.283B,41.19,-35.97%,
53,AAPL,Apple Inc.,,179.35 +6.93 (+4.02%),6.93,+4.02%,60.028M,58.045M,2.694T,28.51,2.77%,
54,AEM,Agnico Eagle Mines Limited,,104.34 +4.21 (+4.20%),4.21,+4.20%,2.6M,2.672M,52.539B,27.60,63.45%,
55,TGOPY,3i Group plc,,23.20 +0.93 (+4.18%),0.93,+4.18%,19758,174534,44.795B,8.26,26.89%,
56,STM,STMicroelectronics N.V.,,18.49 +0.71 (+3.99%),0.71,+3.99%,5.663M,7.719M,17.229B,11.14,-57.96%,
57,BILI,Bilibili Inc.,,15.48 +0.60 (+4.07%),0.6,+4.07%,4.107M,6.985M,6.92B,-,27.40%,
58,STRL,"Sterling Infrastructure, Inc.",,118.07 +4.24 (+3.72%),4.24,+3.72%,361656,698775,3.591B,14.26,9.49%,
59,SVNDY,"Seven & i Holdings Co., Ltd.",,13.20 +0.51 (+4.02%),0.51,+4.02%,16194,197834,34.503B,47.14,-8.77%,
60,ANGI,Angi Inc.,,12.45 +0.48 (+4.01%),0.48,+4.01%,708251,428154,616.749M,17.79,-45.34%,
61,PBCRY,PT Bank Central Asia Tbk,,11.75 +0.45 (+3.98%),0.45,+3.98%,42523,114108,59.228B,17.80,-28.22%,
62,PRKS,United Parks & Resorts Inc.,,40.00 +1.49 (+3.87%),1.49,+3.87%,513857,961618,2.201B,10.55,-32.18%,
63,RGLD,"Royal Gold, Inc.",,161.44 +5.96 (+3.83%),5.96,+3.83%,292056,502419,10.624B,32.03,26.42%,
64,TER,"Teradyne, Inc.",,70.52 +2.56 (+3.77%),2.56,+3.77%,1.48M,3.276M,11.342B,21.24,-36.13%,
65,ASML,ASML Holding N.V.,,617.47 +22.10 (+3.71%),22.1,+3.71%,1.151M,1.801M,246.327B,29.21,-38.91%,
66,LHX,"L3Harris Technologies, Inc.",,207.98 +7.23 (+3.60%),7.23,+3.60%,1.152M,1.368M,39.041B,26.43,-2.31%,
67,QRVO,"Qorvo, Inc.",,52.54 +1.73 (+3.40%),1.73,+3.40%,1.063M,2.922M,4.907B,187.64,-55.19%,
68,SHC,Sotera Health Company,,10.15 +0.35 (+3.62%),0.35,+3.62%,510839,1.198M,2.879B,63.47,-14.19%,
69,KC,Kingsoft Cloud Holdings Limited,,11.88 +0.41 (+3.62%),0.41,+3.62%,1.414M,3.977M,2.999B,-,292.64%,
70,AUOTY,AUO Corporation,,5.02 +0.17 (+3.51%),0.17,+3.51%,80547,76037,3.789B,-,-15.87%,
71,CRWD,"CrowdStrike Holdings, Inc.",,336.14 +11.10 (+3.42%),11.1,+3.42%,1.737M,4.245M,83.321B,-,4.00%,
72,YOU,"Clear Secure, Inc.",,24.69 +0.73 (+3.05%),0.73,+3.05%,799513,2.348M,3.379B,15.83,21.38%,
73,TLX,Telix Pharmaceuticals Limited,,14.80 +0.49 (+3.45%),0.49,+3.45%,18068,35118,5.06B,164.48,-5.54%,
74,BF-B,Brown-Forman Corporation,,32.53 +1.08 (+3.42%),1.08,+3.42%,948564,3.555M,15.352B,15.57,-37.08%,
75,ON,ON Semiconductor Corporation,,33.01 +1.06 (+3.32%),1.06,+3.32%,3.424M,9.695M,13.932B,9.09,-53.85%,
76,EQX,Equinox Gold Corp.,,5.88 +0.19 (+3.34%),0.19,+3.34%,7.206M,9.693M,2.687B,7.84,-3.89%,
77,WPM,Wheaton Precious Metals Corp.,,72.83 +2.28 (+3.22%),2.28,+3.22%,761507,1.736M,33.08B,62.79,37.52%,
78,MNSO,MINISO Group Holding Limited,,14.80 +0.48 (+3.39%),0.48,+3.39%,1.346M,1.205M,4.902B,12.87,-32.82%,
79,MT,ArcelorMittal S.A.,,24.23 +0.76 (+3.22%),0.76,+3.22%,1.651M,2.554M,19.245B,14.33,-15.03%,
80,INFA,Informatica Inc.,,16.38 +0.52 (+3.28%),0.52,+3.28%,454490,2.522M,4.957B,546.00,-57.93%,
81,HKXCY,Hong Kong Exchanges and Clearing Limited,,37.82 +1.22 (+3.33%),1.22,+3.33%,24484,338500,50.276B,28.65,24.54%,
82,OR,Osisko Gold Royalties Ltd,,19.86 +0.62 (+3.22%),0.62,+3.22%,443456,839329,3.704B,220.67,18.33%,
83,LEVI,Levi Strauss & Co.,,12.83 +0.41 (+3.30%),0.41,+3.30%,2.788M,2.441M,5.072B,14.26,-38.18%,
84,FNV,Franco-Nevada Corporation,,147.69 +4.65 (+3.25%),4.65,+3.25%,490401,793314,28.511B,51.28,17.65%,
85,MANU,Manchester United plc,,12.61 +0.40 (+3.28%),0.4,+3.28%,105255,290252,2.152B,-,-17.94%,
86,NVDA,NVIDIA Corporation,,99.24 +2.94 (+3.05%),2.94,+3.05%,192.865M,295.242M,2.421T,33.76,10.64%,
87,ORANY,Orange S.A.,,13.12 +0.41 (+3.23%),0.41,+3.23%,85255,225519,35.797B,16.20,14.32%,
88,WMK,"Weis Markets, Inc.",,79.17 +2.68 (+3.51%),2.68,+3.51%,24749,112713,2.129B,19.36,23.83%,
89,PVH,PVH Corp.,,62.32 +1.82 (+3.01%),1.82,+3.01%,654811,1.385M,3.28B,5.90,-44.87%,
90,ELF,"e.l.f. Beauty, Inc.",,52.49 +1.49 (+2.91%),1.49,+2.91%,1.462M,3.123M,2.96B,31.43,-69.49%,
91,BF-A,Brown-Forman Corporation,,32.24 +0.93 (+2.97%),0.93,+2.97%,41915,164763,15.286B,15.43,-39.12%,
92,UNF,UniFirst Corporation,,166.92 +5.06 (+3.13%),5.06,+3.13%,37475,132222,3.099B,20.76,0.37%,
93,AVGO,Broadcom Inc.,,160.26 +4.23 (+2.71%),4.23,+2.71%,16.194M,32.694M,753.511B,74.54,17.99%,
94,IPGP,IPG Photonics Corporation,,51.23 +1.55 (+3.12%),1.55,+3.12%,85051,341026,2.189B,-,-43.33%,
95,RNECY,Renesas Electronics Corporation,,5.06 +0.17 (+3.48%),0.17,+3.48%,171926,859244,19.632B,12.05,-45.63%,
96,EXAS,Exact Sciences Corporation,,41.49 +1.18 (+2.93%),1.18,+2.93%,1.053M,2.391M,7.707B,-,-45.23%,
97,PSN,Parsons Corporation,,61.21 +1.85 (+3.11%),1.85,+3.11%,382923,1.575M,6.535B,28.87,-26.05%,
98,CNK,"Cinemark Holdings, Inc.",,26.22 +0.77 (+3.03%),0.77,+3.03%,1.583M,3.74M,3.092B,12.73,37.72%,
99,SIG,Signet Jewelers Limited,,52.30 +1.53 (+3.01%),1.53,+3.01%,466005,1.793M,2.243B,-,-49.50%,
100,SAND,Sandstorm Gold Ltd.,,7.03 +0.20 (+3.01%),0.2,+3.01%,2.038M,5.321M,2.062B,140.50,23.77%,
