,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,MP,MP Materials Corp.,,26.65 +3.97 (+17.50%),3.97,+17.50%,12.416M,3.536M,4.355B,-,37.45%,
1,BMA,Banco Macro S.A.,,88.35 +9.50 (+12.05%),9.5,+12.05%,841573,360047,6.383B,11.58,66.14%,
2,BBAR,Banco BBVA Argentina S.A.,,19.84 +2.05 (+11.53%),2.05,+11.53%,750179,741663,4.654B,12.10,118.55%,
3,FNMAT,Federal National Mortgage Association,,10.64 +0.96 (+9.92%),0.96,+9.92%,40789,83306,14.079B,1520.00,155.79%,
4,GGAL,Grupo Financiero Galicia S.A.,,60.06 +6.19 (+11.49%),6.19,+11.49%,2.821M,1.18M,11.098B,6.34,95.18%,
5,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,24,2.178B,18.72,-19.92%,
6,FMCKJ,Federal Home Loan Mortgage Corporation,,10.80 +0.83 (+8.32%),0.83,+8.32%,204063,678022,7.376B,158.82,151.77%,
7,FNMAS,Federal National Mortgage Association,,11.52 +1.12 (+10.77%),1.12,+10.77%,325714,1.214M,14.581B,1645.71,149.64%,
8,LKNCY,Luckin Coffee Inc.,,30.94 +2.94 (+10.51%),2.94,+10.51%,946190,2.946M,8.776B,24.75,22.43%,
9,YPF,YPF Sociedad Anónima,,32.81 +2.78 (+9.25%),2.78,+9.25%,3.741M,2.058M,15.061B,5.48,48.59%,
10,TGS,Transportadora de Gas del Sur S.A.,,27.64 +2.25 (+8.86%),2.25,+8.86%,418224,330160,4.858B,12.07,62.76%,
11,CERT,"Certara, Inc.",,14.10 +1.19 (+9.20%),1.19,+9.20%,2.829M,1.669M,2.277B,-,-25.97%,
12,FNMA,Federal National Mortgage Association,,6.25 +0.45 (+7.76%),0.45,+7.76%,2.904M,13.354M,7.238B,-,296.60%,
13,FMCC,Federal Home Loan Mortgage Corporation,,5.18 +0.36 (+7.47%),0.36,+7.47%,1.439M,4.923M,3.367B,-,254.41%,
14,HCM,HUTCHMED (China) Limited,,14.80 +1.07 (+7.80%),1.07,+7.80%,78477,100560,2.53B,73.97,-22.31%,
15,VKTX,"Viking Therapeutics, Inc.",,23.95 +1.73 (+7.79%),1.73,+7.79%,6.182M,4.654M,2.689B,-,-66.81%,
16,QFIN,"Qifu Technology, Inc.",,39.11 +2.74 (+7.53%),2.74,+7.53%,1.416M,1.881M,5.718B,6.93,98.20%,
17,PAM,Pampa Energía S.A.,,75.37 +5.78 (+8.31%),5.78,+8.31%,409484,252732,4.871B,6.55,63.93%,
18,AMKBY,A.P. Møller - Mærsk A/S,,7.95 +0.52 (+7.00%),0.52,+7.00%,60499,239311,25.22B,4.12,9.26%,
19,ASXFY,ASX Limited,,43.40 +2.78 (+6.84%),2.78,+6.84%,19081,21688,8.433B,28.18,6.40%,
20,ATAT,Atour Lifestyle Holdings Limited,,23.70 +1.49 (+6.71%),1.49,+6.71%,1.71M,1.281M,3.261B,18.96,27.64%,
21,VIST,"Vista Energy, S.A.B. de C.V.",,40.45 +2.30 (+6.03%),2.3,+6.03%,1.51M,1.002M,3.97B,8.74,-8.45%,
22,VEON,VEON Ltd.,,41.77 +2.33 (+5.91%),2.33,+5.91%,39780,132388,2.951B,8.44,67.97%,
23,FUTU,Futu Holdings Limited,,85.12 +4.73 (+5.88%),4.73,+5.88%,3.473M,3.224M,11.74B,16.99,41.56%,
24,SMMT,Summit Therapeutics Inc.,,24.54 +1.30 (+5.59%),1.3,+5.59%,4.22M,2.745M,18.103B,-,535.84%,
25,PDD,PDD Holdings Inc.,,95.54 +5.04 (+5.57%),5.04,+5.57%,12.121M,10.858M,132.683B,9.24,-20.82%,
26,BABA,Alibaba Group Holding Limited,,113.53 +5.80 (+5.38%),5.8,+5.38%,22.731M,33.09M,271.133B,16.74,52.55%,
27,BNTX,BioNTech SE,,101.67 +5.15 (+5.33%),5.15,+5.33%,867827,859793,24.44B,-,9.82%,
28,ZLAB,Zai Lab Limited,,31.20 +1.66 (+5.62%),1.66,+5.62%,1.475M,1.124M,3.421B,-,108.03%,
29,BBWI,"Bath & Body Works, Inc.",,28.04 +1.40 (+5.26%),1.4,+5.26%,3.888M,5.486M,6.007B,7.77,-40.26%,
30,BLCO,Bausch + Lomb Corporation,,11.98 +0.58 (+5.09%),0.58,+5.09%,404029,738416,4.232B,-,-20.28%,
31,TCOM,Trip.com Group Limited,,57.47 +2.74 (+5.02%),2.74,+5.02%,3.594M,4.386M,37.829B,17.05,11.24%,
32,CRL,"Charles River Laboratories International, Inc.",,104.98 +5.23 (+5.24%),5.23,+5.24%,1.392M,1.521M,5.156B,524.90,-57.72%,
33,CAAP,Corporación América Airports S.A.,,18.21 +0.86 (+4.96%),0.86,+4.96%,65238,262432,2.933B,10.41,5.47%,
34,YMM,Full Truck Alliance Co. Ltd.,,10.14 +0.47 (+4.86%),0.47,+4.86%,9.319M,9.215M,10.604B,24.73,24.77%,
35,TMDX,"TransMedics Group, Inc.",,84.63 +4.05 (+5.02%),4.05,+5.02%,662681,1.337M,2.863B,79.09,-12.24%,
36,JD,"JD.com, Inc.",,38.17 +1.75 (+4.79%),1.75,+4.79%,12.085M,14.764M,59.153B,10.46,43.27%,
37,HKXCY,Hong Kong Exchanges and Clearing Limited,,42.93 +1.94 (+4.73%),1.94,+4.73%,15375,352704,54.257B,32.52,44.99%,
38,WXXWY,WuXi Biologics (Cayman) Inc.,,5.41 +0.24 (+4.64%),0.24,+4.64%,15604,54416,10.976B,25.76,53.57%,
39,BPIRY,Piraeus Financial Holdings S.A.,,5.51 +0.24 (+4.55%),0.24,+4.55%,20924,101195,6.877B,5.86,34.00%,
40,WAFD,"WaFd, Inc.",,25.65 +1.11 (+4.52%),1.11,+4.52%,284078,624388,2.092B,11.71,-9.08%,
41,BEKE,KE Holdings Inc.,,19.26 +0.82 (+4.47%),0.82,+4.47%,4.122M,10.685M,23.445B,40.99,42.39%,
42,ADMA,"ADMA Biologics, Inc.",,20.28 +0.88 (+4.54%),0.88,+4.54%,2.227M,2.822M,4.819B,25.04,224.41%,
43,BUR,Burford Capital Limited,,13.21 +0.53 (+4.17%),0.53,+4.17%,626149,1.029M,2.898B,20.01,-14.56%,
44,ATEYY,Advantest Corporation,,41.07 +1.66 (+4.21%),1.66,+4.21%,16796,181763,30.134B,32.86,4.18%,
45,TME,Tencent Music Entertainment Group,,12.74 +0.52 (+4.21%),0.52,+4.21%,2.669M,8.684M,22.854B,21.97,8.81%,
46,TAL,TAL Education Group,,9.98 +0.38 (+4.01%),0.38,+4.01%,5.495M,8.148M,6.034B,52.55,-18.37%,
47,NBIX,"Neurocrine Biosciences, Inc.",,94.55 +3.68 (+4.05%),3.68,+4.05%,551508,1.448M,9.355B,28.74,-31.02%,
48,XPEV,XPeng Inc.,,20.82 +0.82 (+4.10%),0.82,+4.10%,7.405M,13.296M,19.375B,-,177.78%,
49,FSLR,"First Solar, Inc.",,131.11 +5.18 (+4.11%),5.18,+4.11%,1.16M,3.193M,14.06B,10.92,-28.43%,
50,BMRRY,B&M European Value Retail S.A.,,15.80 +0.62 (+4.08%),0.62,+4.08%,16992,53881,3.965B,9.46,-40.55%,
51,LTM,LATAM Airlines Group S.A.,,29.41 +1.15 (+4.07%),1.15,+4.07%,73592,380749,8.888B,9.11,18.34%,
52,SNEX,StoneX Group Inc.,,78.46 +2.91 (+3.85%),2.91,+3.85%,146510,408217,3.776B,14.06,73.76%,
53,PLTR,Palantir Technologies Inc.,,92.03 +3.48 (+3.93%),3.48,+3.93%,82.654M,105.527M,215.843B,484.37,304.34%,
54,FIVE,"Five Below, Inc.",,62.83 +2.36 (+3.90%),2.36,+3.90%,1.415M,2.312M,3.459B,13.66,-60.43%,
55,SMPNY,"Sompo Holdings, Inc.",,15.00 +0.56 (+3.88%),0.56,+3.88%,19893,130157,28.193B,9.09,32.63%,
56,ESAIY,"Eisai Co., Ltd.",,6.38 +0.23 (+3.74%),0.23,+3.74%,15289,210590,7.201B,18.23,-36.06%,
57,QRVO,"Qorvo, Inc.",,58.32 +2.05 (+3.64%),2.05,+3.64%,652100,2.906M,5.447B,208.29,-48.88%,
