,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
58,KKOYY,Kesko Oyj,,10.71 +0.38 (+3.68%),0.38,+3.68%,21142,14681,8.325B,20.60,20.74%,
59,BHF,"Brighthouse Financial, Inc.",,49.60 +1.78 (+3.71%),1.78,+3.71%,310020,907801,2.88B,10.69,1.79%,
60,RKT,"Rocket Companies, Inc.",,12.29 +0.39 (+3.28%),0.39,+3.28%,4.004M,8.787M,24.424B,58.52,1.97%,
61,LYSCF,Lynas Rare Earths Limited,,5.15 +0.18 (+3.62%),0.18,+3.62%,36140,22536,4.814B,171.67,24.69%,
62,WDC,Western Digital Corporation,,35.65 +1.25 (+3.63%),1.25,+3.63%,3.827M,9.758M,12.4B,10.30,-35.38%,
63,ERJ,Embraer S.A.,,42.83 +1.52 (+3.68%),1.52,+3.68%,727576,2.044M,7.971B,22.31,71.06%,
64,ENPH,"Enphase Energy, Inc.",,53.73 +1.84 (+3.55%),1.84,+3.55%,1.138M,4.287M,7.049B,71.64,-53.86%,
65,BIDU,"Baidu, Inc.",,85.49 +2.76 (+3.34%),2.76,+3.34%,3.069M,6.045M,28.974B,9.53,-14.01%,
66,DELL,Dell Technologies Inc.,,84.58 +2.65 (+3.24%),2.65,+3.24%,7.762M,9.226M,59.025B,13.26,-30.46%,
67,SITM,SiTime Corporation,,134.39 +4.39 (+3.38%),4.39,+3.38%,163022,346311,3.171B,-,65.58%,
68,NTDOY,"Nintendo Co., Ltd.",,18.03 +0.58 (+3.32%),0.58,+3.32%,96408,2.669M,83.983B,38.36,43.15%,
69,FINV,FinVolution Group,,7.93 +0.26 (+3.39%),0.26,+3.39%,430647,1.107M,2.061B,6.45,58.80%,
70,ENTG,"Entegris, Inc.",,71.94 +2.22 (+3.18%),2.22,+3.18%,846606,3.544M,10.886B,37.27,-47.05%,
71,LYSDY,Lynas Rare Earths Limited,,5.11 +0.16 (+3.23%),0.16,+3.23%,136693,129845,4.776B,170.33,28.24%,
72,BMRN,BioMarin Pharmaceutical Inc.,,58.65 +1.83 (+3.23%),1.83,+3.23%,457791,1.745M,11.247B,26.54,-37.91%,
73,TLGPY,Telstra Group Limited,,14.08 +0.44 (+3.23%),0.44,+3.23%,18051,78242,32.391B,32.00,18.82%,
74,OR,Osisko Gold Royalties Ltd,,23.15 +0.75 (+3.33%),0.75,+3.33%,646601,892840,4.31B,257.17,40.00%,
75,SCBFY,Standard Chartered PLC,,26.39 +0.81 (+3.17%),0.81,+3.17%,24159,180195,31.126B,9.60,52.83%,
76,PTCT,"PTC Therapeutics, Inc.",,44.34 +1.36 (+3.16%),1.36,+3.16%,279143,907516,3.497B,-,67.37%,
77,ATHM,Autohome Inc.,,26.93 +0.82 (+3.14%),0.82,+3.14%,290741,537377,3.227B,14.88,5.67%,
78,CLSK,"CleanSpark, Inc.",,7.73 +0.23 (+3.11%),0.23,+3.11%,12.273M,24.866M,2.171B,-,-48.94%,
79,EVR,Evercore Inc.,,179.39 +5.58 (+3.21%),5.58,+3.21%,344787,717063,7.018B,19.78,-6.48%,
80,KVUE,Kenvue Inc.,,22.77 +0.68 (+3.08%),0.68,+3.08%,4.413M,16.109M,43.689B,42.17,15.47%,
81,AIBGY,AIB Group plc,,12.72 +0.38 (+3.08%),0.38,+3.08%,56749,150473,14.809B,6.27,25.89%,
82,ZTO,ZTO Express (Cayman) Inc.,,18.81 +0.56 (+3.07%),0.56,+3.07%,979263,2.906M,14.783B,12.88,-6.60%,
83,BZ,Kanzhun Limited,,14.97 +0.44 (+2.99%),0.44,+2.99%,1.576M,5.448M,6.81B,31.84,-20.82%,
84,ADYEY,Adyen N.V.,,15.88 +0.41 (+2.65%),0.41,+2.65%,24936,712798,50.013B,49.62,2.32%,
85,IONS,"Ionis Pharmaceuticals, Inc.",,28.70 +0.81 (+2.89%),0.81,+2.89%,933331,1.785M,4.563B,-,-32.85%,
86,COOP,Mr. Cooper Group Inc.,,113.45 +3.45 (+3.14%),3.45,+3.14%,398841,953006,7.259B,10.91,45.71%,
