,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HMY,Harmony Gold Mining Company Limited,,16.28 +1.59 (+10.82%),1.59,+10.82%,12.82M,7.435M,10.129B,19.15,58.98%,
1,SMMT,Summit Therapeutics Inc.,,20.15 +1.92 (+10.53%),1.92,+10.53%,8.378M,2.579M,14.864B,-,352.36%,
2,GFI,Gold Fields Limited,,23.38 +1.83 (+8.49%),1.83,+8.49%,6.349M,3.667M,20.926B,16.94,18.47%,
3,OR,Osisko Gold Royalties Ltd,,21.84 +1.43 (+7.01%),1.43,+7.01%,1.972M,857468,4.067B,242.67,24.22%,
4,PSMT,"PriceSmart, Inc.",,91.76 +5.97 (+6.96%),5.97,+6.96%,633623,253821,2.814B,19.57,7.14%,
5,AU,AngloGold Ashanti plc,,38.87 +2.45 (+6.71%),2.45,+6.71%,3.809M,2.702M,19.57B,16.68,50.12%,
6,ALHC,"Alignment Healthcare, Inc.",,19.78 +1.24 (+6.69%),1.24,+6.69%,3.796M,2.592M,3.794B,-,284.65%,
7,AGL,"agilon health, inc.",,5.51 +0.33 (+6.31%),0.33,+6.31%,7.298M,6.006M,2.271B,-,-2.81%,
8,ORLA,Orla Mining Ltd.,,9.89 +0.61 (+6.52%),0.61,+6.52%,2.473M,1.13M,3.187B,36.61,121.48%,
9,IAG,IAMGOLD Corporation,,6.88 +0.37 (+5.68%),0.37,+5.68%,33.591M,13.011M,3.955B,4.59,73.14%,
10,AEM,Agnico Eagle Mines Limited,,111.52 +5.72 (+5.41%),5.72,+5.41%,7.029M,2.746M,56.111B,29.50,71.56%,
11,AGI,Alamos Gold Inc.,,27.99 +1.44 (+5.44%),1.44,+5.44%,5.378M,3.195M,11.768B,40.56,72.67%,
12,EGO,Eldorado Gold Corporation,,18.00 +0.91 (+5.29%),0.91,+5.29%,2.633M,2.119M,3.697B,12.33,9.55%,
13,LI,Li Auto Inc.,,22.25 +1.11 (+5.25%),1.11,+5.25%,10.872M,6.802M,23.654B,21.39,-31.45%,
14,SAND,Sandstorm Gold Ltd.,,7.60 +0.37 (+5.12%),0.37,+5.12%,5.731M,5.334M,2.23B,152.00,32.66%,
15,KGC,Kinross Gold Corporation,,13.69 +0.67 (+5.15%),0.67,+5.15%,23.271M,21.85M,16.845B,17.78,100.93%,
16,GDS,GDS Holdings Limited,,20.39 +0.96 (+4.94%),0.96,+4.94%,5.291M,3.842M,3.915B,-,188.28%,
17,FNV,Franco-Nevada Corporation,,157.43 +7.21 (+4.80%),7.21,+4.80%,1.69M,813814,30.319B,54.85,23.82%,
18,NEM,Newmont Corporation,,50.96 +2.21 (+4.52%),2.21,+4.52%,20.153M,11.292M,57.44B,17.82,24.78%,
19,WPM,Wheaton Precious Metals Corp.,,77.85 +3.23 (+4.33%),3.23,+4.33%,3.138M,1.754M,35.319B,67.11,41.81%,
20,ACT,"Enact Holdings, Inc.",,34.84 +1.47 (+4.41%),1.47,+4.41%,1.641M,275124,5.274B,7.97,11.68%,
21,ASND,Ascendis Pharma A/S,,143.33 +5.49 (+3.98%),5.49,+3.98%,686370,505504,8.618B,-,-8.74%,
22,EQX,Equinox Gold Corp.,,6.49 +0.24 (+3.92%),0.24,+3.92%,22.373M,9.759M,2.962B,8.66,2.46%,
23,RGLD,"Royal Gold, Inc.",,170.97 +6.43 (+3.91%),6.43,+3.91%,913254,513685,11.251B,33.99,34.06%,
24,HL,Hecla Mining Company,,5.47 +0.19 (+3.60%),0.19,+3.60%,30.486M,20.332M,3.456B,91.17,-4.69%,
25,BJ,"BJ's Wholesale Club Holdings, Inc.",,117.34 +4.24 (+3.75%),4.24,+3.75%,2.95M,1.943M,15.451B,29.33,44.19%,
26,TFPM,Triple Flag Precious Metals Corp.,,20.60 +0.73 (+3.67%),0.73,+3.67%,471667,284278,4.136B,-,23.42%,
27,MKTX,MarketAxess Holdings Inc.,,210.32 +7.13 (+3.51%),7.13,+3.51%,766650,722178,7.928B,28.93,-6.70%,
28,SSDOY,"Shiseido Company, Limited",,17.10 +0.56 (+3.39%),0.56,+3.39%,24800,106091,6.83B,-,-37.31%,
29,KR,The Kroger Co.,,67.90 +2.07 (+3.14%),2.07,+3.14%,12.42M,6.549M,44.875B,18.50,17.24%,
30,TAL,TAL Education Group,,9.97 +0.32 (+3.32%),0.32,+3.32%,12.16M,7.839M,6.025B,52.47,-20.97%,
31,ERIE,Erie Indemnity Company,,414.85 +12.85 (+3.20%),12.85,+3.20%,179466,164552,21.692B,36.11,4.61%,
32,AWK,"American Water Works Company, Inc.",,143.21 +4.21 (+3.03%),4.21,+3.03%,1.675M,1.634M,27.929B,26.57,17.98%,
33,FRCOY,"Fast Retailing Co., Ltd.",,32.32 +0.98 (+3.13%),0.98,+3.13%,37178,133483,99.151B,37.15,10.43%,
34,SMSEY,Samsonite Group S.A.,,9.12 +0.27 (+3.06%),0.27,+3.06%,23678,10372,2.523B,7.66,-52.25%,
