,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,FRGE,"Forge Global Holdings, Inc.",,11.83 +2.20 (+22.86%),2.2,+22.86%,1.017M,42692,148.383M,-,-64.14%,
1,RKLB,"Rocket Lab USA, Inc.",,21.07 +1.94 (+10.14%),1.94,+10.14%,29.836M,19.083M,9.556B,-,437.36%,
2,PIII,P3 Health Partners Inc.,,9.86 +0.87 (+9.68%),0.87,+9.68%,61004,19215,3.896B,-,-61.91%,
3,DSDVY,DSV A/S,,95.09 +8.16 (+9.39%),8.16,+9.39%,22689,90832,44.934B,26.86,9.03%,
4,ERIC,Telefonaktiebolaget LM Ericsson (publ),,8.07 +0.62 (+8.32%),0.62,+8.32%,46.386M,22.116M,27.163B,-,52.66%,
5,PAY,"Paymentus Holdings, Inc.",,30.15 +2.15 (+7.68%),2.15,+7.68%,683702,457959,3.768B,86.14,44.26%,
6,MNTHY,Minth Group Limited,,44.72 +2.79 (+6.65%),2.79,+6.65%,29462,4686,2.574B,8.07,69.89%,
7,TGOPY,3i Group plc,,27.66 +1.62 (+6.22%),1.62,+6.22%,19935,193465,53.407B,9.71,46.87%,
8,PLTR,Palantir Technologies Inc.,,98.40 +5.78 (+6.24%),5.78,+6.24%,115.194M,106.62M,230.783B,517.89,323.31%,
9,DNZOY,DENSO Corporation,,12.34 +0.72 (+6.20%),0.72,+6.20%,21045,274503,34.766B,11.53,-37.89%,
10,ADMA,"ADMA Biologics, Inc.",,22.15 +1.24 (+5.93%),1.24,+5.93%,6.676M,2.888M,5.263B,27.35,239.45%,
11,RBRK,"Rubrik, Inc.",,63.31 +3.26 (+5.42%),3.26,+5.42%,2.167M,2.433M,12.014B,-,62.30%,
12,DJT,Trump Media & Technology Group Corp.,,19.96 +1.03 (+5.44%),1.03,+5.44%,6.347M,6.329M,4.403B,-,-17.12%,
13,FINMY,Leonardo S.p.a.,,26.30 +1.33 (+5.33%),1.33,+5.33%,33364,148698,30.32B,24.81,108.43%,
14,UAA,"Under Armour, Inc.",,5.74 +0.30 (+5.51%),0.3,+5.51%,15.875M,14.203M,2.409B,-,-17.58%,
15,HPE,Hewlett Packard Enterprise Company,,15.01 +0.73 (+5.08%),0.73,+5.08%,42.722M,20.646M,19.71B,7.21,-16.69%,
16,RCRUY,"Recruit Holdings Co., Ltd.",,10.63 +0.47 (+4.63%),0.47,+4.63%,116551,648786,77.956B,31.26,21.86%,
17,LEGN,Legend Biotech Corporation,,33.74 +1.63 (+5.08%),1.63,+5.08%,4.338M,1.237M,6.196B,-,-35.93%,
18,CODYY,Compagnie de Saint-Gobain S.A.,,20.26 +0.95 (+4.92%),0.95,+4.92%,23883,229795,50.334B,15.83,28.11%,
19,TNXP,Tonix Pharmaceuticals Holding Corp.,,17.00 +0.85 (+5.26%),0.85,+5.26%,458267,1.722M,116.923M,-,-96.64%,
20,MMYT,MakeMyTrip Limited,,102.69 +4.74 (+4.84%),4.74,+4.84%,904418,905640,11.274B,53.76,54.06%,
21,YMM,Full Truck Alliance Co. Ltd.,,10.33 +0.47 (+4.77%),0.47,+4.77%,10.307M,9.514M,10.804B,25.20,30.42%,
22,NFLX,"Netflix, Inc.",,976.28 +45.00 (+4.83%),45.0,+4.83%,7.557M,4.922M,417.611B,49.21,50.81%,
23,TIGO,Millicom International Cellular S.A.,,29.84 +1.34 (+4.70%),1.34,+4.70%,910095,851985,5.021B,20.16,45.93%,
24,CVNA,Carvana Co.,,213.97 +9.24 (+4.52%),9.24,+4.52%,4.844M,4.706M,25.024B,133.73,189.82%,
25,SRRK,Scholar Rock Holding Corporation,,30.22 +1.29 (+4.46%),1.29,+4.46%,1.94M,1.104M,2.867B,-,106.64%,
26,STRL,"Sterling Infrastructure, Inc.",,141.00 +5.77 (+4.27%),5.77,+4.27%,1.522M,740627,4.289B,17.03,35.65%,
27,PTGX,"Protagonist Therapeutics, Inc.",,46.95 +1.92 (+4.26%),1.92,+4.26%,1.806M,1.12M,2.882B,11.10,72.46%,
28,SPOT,Spotify Technology S.A.,,572.33 +23.16 (+4.22%),23.16,+4.22%,2.159M,2.535M,117.16B,91.43,84.24%,
29,FIBK,"First Interstate BancSystem, Inc.",,25.79 +1.04 (+4.20%),1.04,+4.20%,1.363M,704142,2.662B,11.78,1.56%,
30,FMCKM,Federal Home Loan Mortgage Corporation,,8.90 +0.35 (+4.19%),0.35,+4.19%,27528,20085,7.161B,130.88,161.47%,
31,PTCT,"PTC Therapeutics, Inc.",,46.94 +1.86 (+4.13%),1.86,+4.13%,1.451M,914518,3.702B,-,78.25%,
32,NTNX,"Nutanix, Inc.",,62.85 +2.46 (+4.07%),2.46,+4.07%,2.422M,2.631M,16.76B,-,-3.24%,
33,HIMS,"Hims & Hers Health, Inc.",,29.46 +1.15 (+4.06%),1.15,+4.06%,14.061M,24.828M,6.545B,55.59,123.09%,
34,MELI,"MercadoLibre, Inc.",,"2,118.32 +81.20 (+3.99%)",81.2,+3.99%,421101,449900,107.393B,56.20,45.73%,
35,APP,AppLovin Corporation,,245.47 +9.40 (+3.98%),9.4,+3.98%,6.561M,9.056M,83.449B,54.19,226.42%,
36,MHVIY,Mitsubishi Heavy Industries Ltd,,36.30 +1.39 (+3.98%),1.39,+3.98%,24749,1.001M,60.94B,34.25,42.52%,
37,SCGLY,Société Générale Société anonyme,,9.15 +0.35 (+3.98%),0.35,+3.98%,74749,700555,35.523B,9.15,67.94%,
38,HTHT,H World Group Limited,,34.91 +1.31 (+3.90%),1.31,+3.90%,3.071M,2.187M,10.938B,26.45,-12.13%,
39,BMRRY,B&M European Value Retail S.A.,,16.42 +0.62 (+3.92%),0.62,+3.92%,107068,56580,4.121B,9.66,-36.43%,
40,GRND,Grindr Inc.,,18.89 +0.73 (+4.02%),0.73,+4.02%,1.289M,1.822M,3.934B,-,83.06%,
41,IOT,Samsara Inc.,,38.69 +1.44 (+3.88%),1.44,+3.88%,2.348M,4.648M,22.03B,-,20.39%,
42,HUBS,"HubSpot, Inc.",,547.60 +20.04 (+3.80%),20.04,+3.80%,728290,663339,28.559B,4978.17,-16.77%,
43,PUBGY,Publicis Groupe S.A.,,24.63 +0.89 (+3.75%),0.89,+3.75%,66242,139521,24.728B,13.24,-11.58%,
44,BAC,Bank of America Corporation,,38.01 +1.34 (+3.65%),1.34,+3.65%,77.147M,46.756M,288.982B,11.84,5.74%,
45,SAND,Sandstorm Gold Ltd.,,8.40 +0.30 (+3.64%),0.3,+3.64%,8.23M,5.413M,2.464B,167.90,54.58%,
46,RYCEY,Rolls-Royce Holdings plc,,9.81 +0.35 (+3.70%),0.35,+3.70%,819192,4.196M,82.128B,25.15,92.28%,
47,AMRN,Amarin Corporation plc,,9.81 +0.34 (+3.59%),0.34,+3.59%,171364,81321,203.16M,-,-47.39%,
48,CRWD,"CrowdStrike Holdings, Inc.",,392.80 +14.14 (+3.73%),14.14,+3.73%,5.022M,4.361M,97.365B,-,26.58%,
49,SMFG,"Sumitomo Mitsui Financial Group, Inc.",,13.59 +0.48 (+3.66%),0.48,+3.66%,2.289M,1.692M,87.766B,9.78,17.37%,
50,FNMAS,Federal National Mortgage Association,,11.60 +0.40 (+3.57%),0.4,+3.57%,178111,1.164M,14.682B,1657.14,173.92%,
51,KGFHY,Kingfisher plc,,7.03 +0.24 (+3.53%),0.24,+3.53%,27354,194336,6.227B,27.04,10.67%,
52,FNMA,Federal National Mortgage Association,,6.48 +0.23 (+3.68%),0.23,+3.68%,1.884M,12.793M,7.504B,-,337.06%,
53,U,Unity Software Inc.,,18.83 +0.67 (+3.69%),0.67,+3.69%,5.312M,11.374M,7.714B,-,-24.14%,
54,SCBFY,Standard Chartered PLC,,27.62 +0.92 (+3.45%),0.92,+3.45%,110483,238077,32.556B,10.04,66.29%,
55,LTM,LATAM Airlines Group S.A.,,30.43 +1.01 (+3.43%),1.01,+3.43%,227107,382134,9.197B,9.42,19.11%,
56,COMP,"Compass, Inc.",,7.84 +0.23 (+3.02%),0.23,+3.02%,4.866M,7.03M,4.066B,-,120.58%,
57,NOK,Nokia Oyj,,5.14 +0.16 (+3.31%),0.16,+3.31%,23.783M,22.6M,27.967B,14.70,49.55%,
58,WAL,Western Alliance Bancorporation,,66.05 +2.12 (+3.32%),2.12,+3.32%,1.054M,1.336M,7.295B,9.32,15.65%,
59,UA,"Under Armour, Inc.",,5.35 +0.18 (+3.48%),0.18,+3.48%,6.168M,4.43M,2.362B,-,-18.07%,
60,JPC,Nuveen Preferred & Income Opportunities Fund,,7.41 +0.24 (+3.37%),0.24,+3.37%,1.704M,1.125M,2.382B,8.71,6.01%,
61,EDU,New Oriental Education & Technology Group Inc.,,45.55 +1.46 (+3.31%),1.46,+3.31%,1.347M,2.011M,7.449B,19.80,-48.43%,
62,RBLX,Roblox Corporation,,58.89 +1.98 (+3.48%),1.98,+3.48%,5.243M,9.222M,39.297B,-,55.32%,
63,GT,The Goodyear Tire & Rubber Company,,9.75 +0.30 (+3.17%),0.3,+3.17%,5.131M,6.425M,2.78B,40.62,-22.41%,
64,RNMBY,Rheinmetall AG,,337.21 +10.81 (+3.31%),10.81,+3.31%,20698,133870,73.238B,83.26,182.28%,
65,CORT,Corcept Therapeutics Incorporated,,69.59 +2.16 (+3.20%),2.16,+3.20%,1.209M,1.516M,7.342B,56.58,188.29%,
66,FMCC,Federal Home Loan Mortgage Corporation,,5.39 +0.17 (+3.26%),0.17,+3.26%,550560,4.674M,3.504B,-,292.48%,
67,RYTM,"Rhythm Pharmaceuticals, Inc.",,62.07 +1.93 (+3.22%),1.93,+3.22%,645269,639683,3.925B,-,56.13%,
68,MLTX,MoonLake Immunotherapeutics,,36.77 +1.02 (+2.85%),1.02,+2.85%,248029,444855,2.327B,-,-17.82%,
69,TEAM,Atlassian Corporation,,207.25 +6.26 (+3.11%),6.26,+3.11%,2.206M,2.404M,54.3B,-,3.15%,
70,NWG,NatWest Group plc,,12.32 +0.39 (+3.27%),0.39,+3.27%,6.83M,5.802M,49.693B,9.06,75.70%,
71,SOBO,South Bow Corporation,,24.33 +0.77 (+3.25%),0.77,+3.25%,571886,996321,5.061B,16.00,5.70%,
72,SAN,"Banco Santander, S.A.",,6.74 +0.20 (+3.13%),0.2,+3.13%,6.998M,5.815M,101.363B,7.75,43.11%,
73,PBCRY,PT Bank Central Asia Tbk,,13.14 +0.37 (+2.90%),0.37,+2.90%,28560,124095,64.793B,19.91,-8.98%,
74,DJTWW,Trump Media & Technology Group Corp.,,12.74 +0.39 (+3.11%),0.39,+3.11%,53193,55128,4.07B,-,134.20%,
75,TRI,Thomson Reuters Corporation Common Shares,,181.70 +5.34 (+3.03%),5.34,+3.03%,1.815M,502680,81.842B,37.46,15.81%,
76,HDB,HDFC Bank Limited,,69.47 +2.09 (+3.10%),2.09,+3.10%,4.335M,2.922M,177.199B,22.34,19.19%,
77,AU,AngloGold Ashanti plc,,43.85 +1.28 (+3.01%),1.28,+3.01%,3.088M,2.803M,22.08B,18.82,82.78%,
