,Unnamed: 0,Volume,Last,Chg,% Chg
84,ImmunityBio Inc. (IBRX),11.0M,2.89,0.26,9.89
85,Energys Group Ltd. (ENGS),742.3K,5.36,0.48,9.84
86,Avalo Therapeutics Inc. (AVTX),92.8K,5.38,0.48,9.8
87,SurgePays Inc. (SURG),324.5K,2.47,0.22,9.78
88,Ruanyun Edai Technology Inc. (RYET),508.2K,5.22,0.46,9.66
89,Novavax Inc. (NVAX),6.1M,6.41,0.55,9.39
90,Qudian Inc. ADR (QD),1.3M,2.59,0.22,9.28
91,SolarEdge Technologies Inc. (SEDG),4.9M,13.92,1.16,9.09
92,Serve Robotics Inc. (SERV),5.6M,5.79,0.48,9.04
93,ASP Isotopes Inc. (ASPI),2.9M,6.53,0.54,9.02
94,Allot Ltd. (ALLT),410.9K,5.82,0.48,8.99
95,Allbirds Inc. (BIRD),69.6K,4.86,0.4,8.97
96,WaFd Inc. (WAFD),891.1K,26.74,2.2,8.96
97,Cherry Hill Mortgage Investment Corp. (CHMI),718.0K,2.68,0.22,8.94
98,Outset Medical Inc. (OM),246.1K,11.06,0.9,8.86
99,Delcath Systems Inc. (DCTH),503.6K,11.59,0.93,8.72
