,Unnamed: 0,Volume,Last,Chg,% Chg
0,Webull Corp. Cl A (BULL),81.9K,26.1,12.85,96.98
1,American Rebel Holdings Inc. (AREB),591.6K,9.23,3.02,48.63
2,Third Harmonic Bio Inc. (THRD),206.8K,5.1,1.46,40.11
3,Verve Therapeutics Inc. (VERV),429.3K,3.94,0.68,20.86
4,Viking Therapeutics Inc. (VKTX),171.2K,26.11,3.89,17.51
5,Grupo Financiero Galicia S.A. ADR (GGAL),81.6K,61.96,8.09,15.02
6,Sandisk Corp. (SNDK),52.3K,35.65,3.68,11.51
7,Serve Robotics Inc. (SERV),234.1K,5.9,0.59,11.11
8,Qifu Technology Inc. ADR (QFIN),58.0K,39.48,3.11,8.55
9,Critical Metals Corp. (CRML),121.6K,2.34,0.18,8.33
10,Palantir Technologies Inc. (PLTR),2.0M,95.92,7.38,8.33
11,Oklo Inc. (OKLO),78.5K,24.2,1.7,7.56
12,Applied Optoelectronics Inc. (AAOI),98.7K,12.12,0.84,7.45
13,EHang Holdings Ltd. ADR (EH),53.3K,15.48,1.04,7.24
14,SEALSQ Corp. (LAES),153.6K,2.76,0.18,7.17
15,Applied Digital Corp. (APLD),371.1K,5.66,0.37,6.99
16,IonQ Inc. (IONQ),68.0K,27.91,1.82,6.97
17,Apple Inc. (AAPL),3.5M,211.8,13.65,6.89
18,Enovix Corp. (ENVX),73.5K,6.38,0.41,6.77
19,Venture Global Inc. (VG),231.9K,8.83,0.55,6.64
20,Hims & Hers Health Inc. (HIMS),67.4K,29.0,1.77,6.5
21,Quantum Computing Inc. (QUBT),301.2K,7.28,0.44,6.43
22,Credo Technology Group Holding Ltd. (CRDO),58.6K,41.2,2.48,6.42
23,Astera Labs Inc. (ALAB),50.6K,63.98,3.85,6.4
24,CoreWeave Inc. Cl A (CRWV),97.7K,46.5,2.75,6.29
25,Certara Inc. (CERT),188.0K,13.71,0.8,6.2
26,HP Inc. (HPQ),89.6K,24.88,1.45,6.16
27,SoundHound AI Inc. (SOUN),466.2K,8.77,0.49,5.92
28,Micron Technology Inc. (MU),708.7K,73.45,3.9,5.61
29,Trip.com Group Ltd. ADR (TCOM),148.0K,57.79,3.06,5.59
30,Western Digital Corp. (WDC),126.7K,36.3,1.9,5.52
31,JD.com Inc. ADR (JD),408.3K,38.41,1.99,5.46
32,PDD Holdings Inc. ADR (PDD),492.7K,95.39,4.89,5.4
33,Arista Networks Inc. (ANET),50.5K,76.58,3.91,5.38
34,Core Scientific Inc. (CORZ),123.9K,7.45,0.38,5.37
35,Newell Brands Inc. (NWL),84.8K,4.97,0.25,5.3
36,Super Micro Computer Inc. (SMCI),584.7K,34.9,1.75,5.28
37,Hut 8 Corp. (HUT),74.9K,12.8,0.64,5.26
38,Archer Aviation Inc. (ACHR),165.5K,7.4,0.37,5.23
39,BigBear.ai Inc. (BBAI),176.3K,2.96,0.15,5.21
40,Peloton Interactive Inc. (PTON),118.4K,5.87,0.29,5.2
41,Upstart Holdings Inc. (UPST),95.7K,41.0,2.0,5.14
42,ImmunityBio Inc. (IBRX),151.7K,2.76,0.14,5.13
43,CommScope Holding Co. Inc. (COMM),77.8K,3.53,0.17,5.06
44,TeraWulf Inc. (WULF),202.4K,2.5,0.12,5.05
45,Alibaba Group Holding Ltd. ADR (BABA),184.0K,113.13,5.4,5.01
46,Rigetti Computing Inc. (RGTI),644.4K,9.55,0.45,4.99
47,Nebius Group N.V. Cl A (NBIS),132.6K,22.58,1.07,4.96
48,IREN Ltd. (IREN),128.4K,5.91,0.28,4.94
49,Cipher Mining Inc. (CIFR),77.4K,2.54,0.12,4.92
50,Mineralys Therapeutics Inc. (MLYS),149.4K,14.05,0.65,4.87
51,Aurora Innovation Inc. (AUR),165.1K,6.49,0.3,4.85
52,ADMA Biologics Inc. (ADMA),77.7K,20.34,0.94,4.85
53,Wolfspeed Inc. (WOLF),94.4K,2.28,0.1,4.84
54,Norwegian Cruise Line Holdings Ltd. (NCLH),145.4K,17.08,0.76,4.66
55,Shopify Inc. (SHOP),128.1K,87.59,3.88,4.64
56,Ardelyx Inc. (ARDX),76.5K,4.66,0.2,4.48
57,Intuitive Machines Inc. Cl A (LUNR),120.1K,8.06,0.34,4.45
58,New Fortress Energy LLC Cl A (NFE),61.6K,6.16,0.26,4.41
59,Tempus AI Inc. (TEM),159.5K,43.95,1.83,4.34
60,SunRun Inc. (RUN),132.6K,6.56,0.27,4.29
61,Marvell Technology Inc. (MRVL),328.7K,55.68,2.29,4.29
62,Hewlett Packard Enterprise Co. (HPE),68.2K,14.74,0.6,4.28
63,SoFi Technologies Inc. (SOFI),618.9K,11.17,0.46,4.28
64,Arm Holdings PLC ADR (ARM),97.9K,108.27,4.28,4.12
65,AST SpaceMobile Inc. (ASTS),87.6K,24.22,0.94,4.05
66,Carnival Corp. (CCL),108.9K,18.35,0.71,4.02
67,AppLovin Corp. (APP),53.5K,260.0,10.04,4.02
68,Stitch Fix Inc. Cl A (SFIX),83.0K,3.11,0.12,4.01
69,Affirm Holdings Inc. Cl A (AFRM),80.4K,42.11,1.62,4.0
70,XPeng Inc. ADR (XPEV),59.4K,20.79,0.79,3.95
71,LexinFintech Holdings Ltd. ADR (LX),56.4K,6.92,0.26,3.83
72,Riot Platforms Inc. (RIOT),224.8K,7.32,0.27,3.75
73,CleanSpark Inc. (CLSK),172.7K,7.78,0.28,3.73
74,Trade Desk Inc. Cl A (TTD),84.2K,51.6,1.82,3.66
75,Advanced Micro Devices Inc. (AMD),791.3K,96.77,3.37,3.61
76,Intel Corp. (INTC),1.8M,20.43,0.69,3.5
77,TAL Education Group ADR (TAL),68.1K,9.93,0.33,3.44
78,MARA Holdings Inc. (MARA),343.6K,12.92,0.41,3.28
79,Full Truck Alliance Co. Ltd. ADR (YMM),64.8K,9.98,0.32,3.26
80,Tesla Inc. (TSLA),1.0M,260.5,8.19,3.25
81,Airbnb Inc. Cl A (ABNB),57.2K,118.02,3.48,3.03
82,Petroleo Brasileiro S/A ADR (PBR),62.7K,11.91,0.35,3.03
83,Microchip Technology Inc. (MCHP),116.6K,39.88,1.17,3.02
84,VNET Group Inc. ADR (VNET),150.6K,5.7,0.17,2.98
85,Baidu Inc. ADR (BIDU),74.6K,85.16,2.43,2.94
86,Alcoa Corp. (AA),62.1K,25.48,0.72,2.93
87,Digital Turbine Inc. (APPS),52.4K,2.82,0.08,2.92
88,Novavax Inc. (NVAX),115.8K,6.03,0.17,2.9
89,Texas Instruments Inc. (TXN),190.9K,151.88,4.28,2.9
90,AbCellera Biologics Inc. (ABCL),134.6K,2.47,0.07,2.89
91,Neogen Corp. (NEOG),59.2K,5.74,0.16,2.87
92,NIO Inc. ADR (NIO),514.5K,3.62,0.1,2.84
93,Alight Inc. (ALIT),108.0K,5.1,0.14,2.82
94,AGNC Investment Corp. (AGNC),589.1K,8.59,0.23,2.81
95,Lufax Holding Ltd. ADR (LU),80.2K,2.58,0.07,2.79
96,Groupon Inc. (GRPN),57.6K,19.58,0.53,2.78
97,MicroStrategy Inc. (MSTR),152.5K,308.28,8.3,2.77
98,Moderna Inc. (MRNA),95.3K,26.91,0.71,2.69
99,DraftKings Inc. Cl A (DKNG),108.0K,35.14,0.92,2.68
