,Unnamed: 0,Volume,Last,Chg,% Chg
0,American Rebel Holdings Inc. (AREB),22.8M,9.31,3.73,66.84
1,Janover Inc. (JNVR),2.7M,42.82,15.44,56.39
2,Bionano Genomics Inc. (BNGO),521.7K,3.94,0.86,27.92
3,Wheeler Real Estate Investment Trust Inc. (WHLR),36.0M,2.89,0.52,21.94
4,RedHill Biopharma Ltd. ADR (RDHL),90.0K,3.22,0.52,19.26
5,iCoreConnect Inc. (ICCT),13.4M,4.38,0.69,18.7
6,Junee Ltd. (JUNE),65.2K,9.8,1.48,17.85
7,Genfit S.A. ADR (GNFT),106.7K,3.1,0.39,14.18
8,Keros Therapeutics Inc. (KROS),2.6M,11.79,1.46,14.13
9,60 Degrees Pharmaceuticals Inc. (SXTP),2.5M,2.85,0.35,14.0
10,Ruanyun Edai Technology Inc. (RYET),1.4M,4.8,0.56,13.21
11,Click Holdings Ltd. (CLIK),1.8M,3.1,0.36,13.14
12,U.S. Gold Corp. (USAU),303.3K,9.56,0.98,11.42
13,SOBR Safe Inc. (SOBR),189.9K,5.52,0.55,11.07
14,SBC Medical Group Holdings Inc. (SBC),59.7K,3.5,0.33,10.41
15,United States Antimony Corp. (UAMY),4.5M,2.47,0.23,10.27
16,YSX Tech. Co. Ltd. (YSXT),180.5K,3.48,0.32,10.13
17,Alaunos Therapeutics Inc. (TCRT),52.3K,2.81,0.24,9.34
18,Neogen Corp. (NEOG),7.1M,5.46,0.43,8.67
19,Bluejay Diagnostics Inc. (BJDX),2.2M,2.69,0.21,8.64
20,Aditxt Inc. (ADTX),286.0K,3.24,0.24,8.03
21,Skeena Resources Ltd. (SKE),401.1K,9.97,0.71,7.67
22,Harmony Gold Mining Co. Ltd. ADR (HMY),7.7M,15.79,1.1,7.49
23,Verde Clean Fuels Inc. Cl A (VGAS),61.0K,3.5,0.24,7.36
24,Summit Therapeutics Inc. (SMMT),4.1M,19.5,1.27,6.97
25,DRDGOLD Ltd. ADR (DRD),526.4K,15.13,0.96,6.77
26,Gold Fields Ltd. ADR (GFI),3.6M,23.0,1.46,6.75
27,USA Rare Earth Inc. (USAR),442.1K,7.86,0.49,6.65
