,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,FRGE,"Forge Global Holdings, Inc.",,11.50 +1.87 (+19.44%),1.87,+19.44%,698576,42692,144.243M,-,-64.14%,
1,PIII,P3 Health Partners Inc.,,9.86 +0.87 (+9.68%),0.87,+9.68%,23200,19215,3.896B,-,-61.91%,
2,RKLB,"Rocket Lab USA, Inc.",,20.70 +1.58 (+8.23%),1.58,+8.23%,21.213M,19.083M,9.391B,-,437.36%,
3,ERIC,Telefonaktiebolaget LM Ericsson (publ),,8.01 +0.56 (+7.45%),0.56,+7.45%,30.694M,22.116M,26.944B,-,52.66%,
4,DJT,Trump Media & Technology Group Corp.,,20.24 +1.31 (+6.89%),1.31,+6.89%,4.146M,6.329M,4.464B,-,-17.12%,
5,DNZOY,DENSO Corporation,,12.37 +0.75 (+6.45%),0.75,+6.45%,15400,274503,34.85B,11.56,-37.89%,
6,CVNA,Carvana Co.,,217.10 +12.37 (+6.03%),12.37,+6.03%,2.799M,4.706M,25.389B,135.69,189.82%,
7,NFLX,"Netflix, Inc.",,988.11 +56.83 (+6.10%),56.83,+6.10%,4.782M,4.922M,422.671B,49.80,50.81%,
8,CRWD,"CrowdStrike Holdings, Inc.",,398.56 +19.90 (+5.26%),19.9,+5.26%,2.326M,4.361M,98.792B,-,26.58%,
9,FINMY,Leonardo S.p.a.,,26.26 +1.29 (+5.17%),1.29,+5.17%,26183,148698,30.274B,24.77,108.43%,
10,MMYT,MakeMyTrip Limited,,102.90 +4.95 (+5.05%),4.95,+5.05%,500905,905640,11.297B,53.87,54.06%,
11,PAY,"Paymentus Holdings, Inc.",,29.39 +1.39 (+4.96%),1.39,+4.96%,200123,457959,3.673B,83.97,44.26%,
12,SRRK,Scholar Rock Holding Corporation,,30.35 +1.42 (+4.93%),1.42,+4.93%,719615,1.104M,2.879B,-,106.64%,
13,HPE,Hewlett Packard Enterprise Company,,14.98 +0.70 (+4.90%),0.7,+4.90%,26.853M,20.646M,19.677B,7.20,-16.69%,
14,RCRUY,"Recruit Holdings Co., Ltd.",,10.65 +0.49 (+4.82%),0.49,+4.82%,75672,648786,78.103B,31.32,21.86%,
15,SPOT,Spotify Technology S.A.,,574.92 +25.75 (+4.69%),25.75,+4.69%,1.344M,2.535M,117.69B,91.84,84.24%,
16,PLTR,Palantir Technologies Inc.,,97.18 +4.56 (+4.92%),4.56,+4.92%,62.539M,106.62M,227.922B,511.47,323.31%,
