,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
18,IMPUY,Impala Platinum Holdings Limited,,5.96 +0.38 (+6.81%),0.38,+6.81%,46426,224969,5.345B,-,4.10%,
19,GOLD,Barrick Gold Corporation,,20.52 +1.28 (+6.65%),1.28,+6.65%,24.449M,24.731M,35.292B,16.82,7.73%,
20,ORLA,Orla Mining Ltd.,,10.44 +0.56 (+5.67%),0.56,+5.67%,1.054M,1.154M,3.366B,38.67,149.49%,
21,PAM,Pampa Energía S.A.,,69.65 +4.59 (+7.06%),4.59,+7.06%,74089,251880,4.897B,6.06,44.00%,
22,CRSP,CRISPR Therapeutics AG,,36.55 +2.29 (+6.69%),2.29,+6.69%,1.293M,2.278M,3.135B,-,-43.53%,
23,RNECY,Renesas Electronics Corporation,,5.72 +0.34 (+6.33%),0.34,+6.33%,154519,889719,21.605B,13.95,-36.01%,
24,BVN,Compañía de Minas Buenaventura S.A.A.,,14.88 +0.88 (+6.25%),0.88,+6.25%,460379,1.097M,3.774B,10.26,-12.77%,
25,FAST,Fastenal Company,,80.29 +4.50 (+5.94%),4.5,+5.94%,3.144M,3.645M,46.045B,40.15,7.58%,
26,DSCSY,Disco Corporation,,18.94 +1.08 (+6.05%),1.08,+6.05%,20656,270575,21.505B,24.92,-50.24%,
27,HMY,Harmony Gold Mining Company Limited,,17.07 +0.95 (+5.90%),0.95,+5.90%,6.328M,7.526M,10.618B,20.32,78.27%,
28,ARGX,argenx SE,,578.76 +32.54 (+5.96%),32.54,+5.96%,358277,337527,35.299B,45.32,44.49%,
29,STM,STMicroelectronics N.V.,,20.03 +1.10 (+5.84%),1.1,+5.84%,5.399M,8.005M,17.909B,12.07,-53.92%,
30,HII,"Huntington Ingalls Industries, Inc.",,212.23 +11.34 (+5.64%),11.34,+5.64%,614594,803451,8.327B,15.20,-27.14%,
31,KNTNF,K92 Mining Inc.,,9.25 +0.50 (+5.71%),0.5,+5.71%,59573,152666,2.22B,20.11,67.78%,
32,HBM,Hudbay Minerals Inc.,,6.88 +0.36 (+5.52%),0.36,+5.52%,8.62M,7.44M,2.718B,34.40,-14.44%,
33,MOS,The Mosaic Company,,25.49 +1.29 (+5.34%),1.29,+5.34%,2.477M,5.97M,8.079B,46.35,-22.24%,
34,GFI,Gold Fields Limited,,24.68 +1.28 (+5.47%),1.28,+5.47%,3.462M,3.714M,22.089B,17.88,28.85%,
35,YPF,YPF Sociedad Anónima,,29.15 +1.57 (+5.69%),1.57,+5.69%,1.471M,2.041M,15.125B,4.87,30.28%,
36,MPWR,"Monolithic Power Systems, Inc.",,510.62 +25.91 (+5.35%),25.91,+5.35%,545587,1.017M,24.441B,13.95,-26.36%,
37,BURBY,Burberry Group plc,,8.89 +0.46 (+5.46%),0.46,+5.46%,81572,86909,3.193B,63.50,-41.97%,
38,WPM,Wheaton Precious Metals Corp.,,82.05 +4.15 (+5.33%),4.15,+5.33%,1.61M,1.779M,37.224B,70.13,50.39%,
39,IAG,IAMGOLD Corporation,,7.25 +0.37 (+5.39%),0.37,+5.39%,12.274M,13.355M,4.17B,4.83,90.58%,
40,TSCDY,Tesco PLC,,13.01 +0.66 (+5.34%),0.66,+5.34%,306541,368843,30.351B,14.62,15.26%,
41,EQX,Equinox Gold Corp.,,6.80 +0.32 (+4.85%),0.32,+4.85%,10.437M,9.965M,3.104B,9.07,8.71%,
42,RGLD,"Royal Gold, Inc.",,179.82 +8.85 (+5.17%),8.85,+5.17%,502532,520270,11.833B,35.61,42.39%,
43,FCX,Freeport-McMoRan Inc.,,32.97 +1.62 (+5.17%),1.62,+5.17%,11.931M,18.168M,47.38B,25.36,-36.63%,
44,AEM,Agnico Eagle Mines Limited,,117.32 +5.77 (+5.17%),5.77,+5.17%,4.519M,2.821M,59.029B,31.04,81.53%,
45,KGC,Kinross Gold Corporation,,14.37 +0.68 (+5.00%),0.68,+5.00%,11.869M,21.887M,17.686B,18.67,114.58%,
46,GLNCY,Glencore plc,,6.67 +0.32 (+5.04%),0.32,+5.04%,103354,1.21M,40.192B,-,-47.07%,
47,PPRUY,Kering SA,,19.19 +0.91 (+5.01%),0.91,+5.01%,41915,394227,23.527B,19.00,-50.78%,
48,SNRE,Sunrise Communications AG,,50.36 +2.38 (+4.96%),2.38,+4.96%,248588,364098,3.505B,-,13.29%,
49,TEO,Telecom Argentina S.A.,,10.67 +0.50 (+4.92%),0.5,+4.92%,123337,191583,4.077B,4.89,34.88%,
50,SSRM,SSR Mining Inc.,,10.67 +0.49 (+4.81%),0.49,+4.81%,1.031M,2.657M,2.161B,-,96.15%,
51,ICL,ICL Group Ltd,,6.26 +0.28 (+4.77%),0.28,+4.77%,296733,939225,8.085B,19.58,26.43%,
52,HL,Hecla Mining Company,,5.74 +0.27 (+4.94%),0.27,+4.94%,13.121M,20.514M,3.627B,95.67,0.92%,
53,FNV,Franco-Nevada Corporation,,164.63 +7.15 (+4.54%),7.15,+4.54%,1.191M,829267,31.706B,57.36,33.40%,
54,CCJ,Cameco Corporation,,40.43 +1.75 (+4.52%),1.75,+4.52%,1.965M,4.557M,17.6B,149.74,-22.00%,
55,VIST,"Vista Energy, S.A.B. de C.V.",,36.91 +1.63 (+4.62%),1.63,+4.62%,508046,988743,3.916B,7.97,-18.41%,
56,MKTX,MarketAxess Holdings Inc.,,220.05 +9.73 (+4.63%),9.73,+4.63%,336597,723277,8.294B,30.23,-1.26%,
57,ASX,"ASE Technology Holding Co., Ltd.",,8.20 +0.34 (+4.39%),0.34,+4.39%,5.278M,11.524M,17.819B,19.08,-27.56%,
58,BYDDY,BYD Company Limited,,94.30 +3.94 (+4.36%),3.94,+4.36%,135547,767901,143.335B,25.01,71.85%,
59,LTM,LATAM Airlines Group S.A.,,28.90 +1.25 (+4.53%),1.25,+4.53%,182894,373166,9.034B,8.95,11.94%,
60,HCC,"Warrior Met Coal, Inc.",,45.64 +1.88 (+4.30%),1.88,+4.30%,296381,983429,2.399B,9.53,-30.00%,
61,UMC,United Microelectronics Corporation,,6.82 +0.28 (+4.20%),0.28,+4.20%,4.933M,15.378M,17.593B,11.96,-17.94%,
62,SCGLY,Société Générale Société anonyme,,8.52 +0.35 (+4.28%),0.35,+4.28%,36938,688746,33.077B,8.88,47.74%,
63,PTCT,"PTC Therapeutics, Inc.",,42.03 +1.74 (+4.33%),1.74,+4.33%,532411,891853,3.315B,-,52.50%,
64,AMD,"Advanced Micro Devices, Inc.",,92.39 +3.69 (+4.16%),3.69,+4.16%,31.801M,40.299M,150.103B,92.39,-45.68%,
65,SKM,"SK Telecom Co., Ltd.",,22.06 +0.90 (+4.25%),0.9,+4.25%,217991,315274,8.56B,9.85,5.75%,
66,CRK,"Comstock Resources, Inc.",,18.80 +0.75 (+4.16%),0.75,+4.16%,974938,2.48M,5.507B,-,88.81%,
67,SCBFY,Standard Chartered PLC,,25.00 +1.00 (+4.17%),1.0,+4.17%,202420,116314,29.506B,9.06,44.14%,
68,NTR,Nutrien Ltd.,,50.31 +1.99 (+4.11%),1.99,+4.11%,871742,2.491M,24.577B,36.99,-8.69%,
69,NVO,Novo Nordisk A/S,,63.74 +2.53 (+4.13%),2.53,+4.13%,6.043M,8.717M,277.685B,19.14,-50.84%,
70,MUSA,Murphy USA Inc.,,502.04 +19.86 (+4.12%),19.86,+4.12%,165569,253901,9.938B,20.82,16.97%,
71,AGI,Alamos Gold Inc.,,29.13 +1.16 (+4.15%),1.16,+4.15%,3.17M,3.234M,12.25B,42.22,83.89%,
72,CAAP,Corporación América Airports S.A.,,17.42 +0.68 (+4.06%),0.68,+4.06%,39891,259832,2.806B,9.95,-0.53%,
73,CHWY,"Chewy, Inc.",,33.88 +1.30 (+3.99%),1.3,+3.99%,2.841M,5.429M,14.014B,37.23,84.69%,
74,CNX,CNX Resources Corporation,,30.14 +1.18 (+4.07%),1.18,+4.07%,1.474M,2.885M,4.437B,-,19.28%,
75,KEP,Korea Electric Power Corporation,,8.11 +0.31 (+4.04%),0.31,+4.04%,55783,175812,10.576B,4.43,6.70%,
76,LSRCY,Lasertec Corporation,,16.38 +0.63 (+4.00%),0.63,+4.00%,15726,122727,7.748B,13.43,-71.62%,
77,VRNA,Verona Pharma plc,,56.17 +2.24 (+4.15%),2.24,+4.15%,342024,1.458M,7.477B,-,238.97%,
78,PAAS,Pan American Silver Corp.,,25.82 +0.98 (+3.95%),0.98,+3.95%,3.115M,3.526M,9.352B,83.29,29.65%,
79,SHG,"Shinhan Financial Group Co., Ltd.",,31.93 +1.20 (+3.90%),1.2,+3.90%,75137,282637,16.352B,5.63,2.43%,
80,BHP,BHP Group Limited,,45.10 +1.61 (+3.70%),1.61,+3.70%,2.142M,3.042M,116.181B,10.07,-25.73%,
81,BCH,Banco de Chile,,26.41 +0.97 (+3.80%),0.97,+3.80%,141935,290251,13.583B,11.05,14.18%,
82,TFPM,Triple Flag Precious Metals Corp.,,21.39 +0.78 (+3.78%),0.78,+3.78%,213812,287641,4.294B,-,29.62%,
83,STNE,StoneCo Ltd.,,11.40 +0.42 (+3.83%),0.42,+3.83%,1.923M,6.75M,3.127B,-,-31.89%,
84,GME,GameStop Corp.,,25.94 +0.92 (+3.68%),0.92,+3.68%,4.301M,9.529M,11.597B,78.61,132.31%,
85,MT,ArcelorMittal S.A.,,26.45 +0.98 (+3.83%),0.98,+3.83%,1.529M,2.61M,20.332B,15.65,-5.35%,
86,EC,Ecopetrol S.A.,,8.53 +0.31 (+3.71%),0.31,+3.71%,1.61M,2.908M,18.565B,5.44,-29.66%,
87,NGLOY,Anglo American plc,,12.97 +0.47 (+3.76%),0.47,+3.76%,21156,260522,31.448B,-,-9.91%,
88,DNNGY,Ørsted A/S,,13.90 +0.50 (+3.73%),0.5,+3.73%,33123,118382,17.524B,-,-30.05%,
89,CART,Maplebear Inc.,,39.97 +1.37 (+3.55%),1.37,+3.55%,1.672M,4.51M,10.493B,25.30,2.09%,
90,SQM,Sociedad Química y Minera de Chile S.A.,,34.56 +1.24 (+3.71%),1.24,+3.71%,551166,1.231M,10B,-,-30.50%,
91,SMPL,The Simply Good Foods Company,,37.61 +1.34 (+3.69%),1.34,+3.69%,592583,1.006M,3.799B,26.12,13.70%,
92,LI,Li Auto Inc.,,23.08 +0.83 (+3.73%),0.83,+3.73%,3.717M,6.869M,24.434B,22.41,-24.29%,
93,GT,The Goodyear Tire & Rubber Company,,9.39 +0.32 (+3.59%),0.32,+3.59%,3.237M,6.338M,2.676B,39.10,-26.16%,
94,JSAIY,J Sainsbury plc,,12.16 +0.43 (+3.64%),0.43,+3.64%,17230,48083,7.232B,32.86,-9.98%,
95,TECK,Teck Resources Limited,,32.89 +1.14 (+3.59%),1.14,+3.59%,2.418M,3.803M,16.381B,-,-33.72%,
96,FUTU,Futu Holdings Limited,,77.52 +2.71 (+3.62%),2.71,+3.62%,2.695M,3.141M,10.692B,15.50,30.13%,
97,GMAB,Genmab A/S,,18.66 +0.65 (+3.58%),0.65,+3.58%,685779,1.642M,11.759B,10.48,-38.45%,
98,CSWI,"CSW Industrials, Inc.",,292.02 +10.02 (+3.55%),10.02,+3.55%,44103,136656,4.901B,35.06,19.48%,
99,AMKBY,A.P. Møller - Mærsk A/S,,7.60 +0.26 (+3.54%),0.26,+3.54%,49927,231253,23.069B,3.94,7.65%,
100,CRNX,"Crinetics Pharmaceuticals, Inc.",,27.82 +0.97 (+3.61%),0.97,+3.61%,220236,1.086M,2.589B,-,-39.78%,
101,RCI,Rogers Communications Inc.,,24.33 +0.79 (+3.37%),0.79,+3.37%,465068,1.213M,13.616B,10.81,-38.15%,
102,HTHIY,"Hitachi, Ltd.",,21.88 +0.72 (+3.40%),0.72,+3.40%,29644,281975,104.891B,25.74,-43.89%,
103,MBGYY,Mercedes-Benz Group AG,,13.71 +0.45 (+3.39%),0.45,+3.39%,17579,420222,52.806B,4.90,-32.75%,
104,BILI,Bilibili Inc.,,16.46 +0.54 (+3.39%),0.54,+3.39%,4.268M,7.019M,7.039B,-,38.68%,
105,NOC,Northrop Grumman Corporation,,532.32 +16.22 (+3.14%),16.22,+3.14%,459572,1.071M,76.727B,18.79,13.15%,
106,SFTBY,SoftBank Group Corp.,,22.87 +0.72 (+3.25%),0.72,+3.25%,185215,793929,68.695B,11.49,-18.38%,
107,QGEN,Qiagen N.V.,,41.41 +1.36 (+3.40%),1.36,+3.40%,793865,1.356M,8.949B,108.97,-0.32%,
108,PAGS,PagSeguro Digital Ltd.,,8.31 +0.26 (+3.29%),0.26,+3.29%,991062,4.541M,2.526B,7.56,-36.01%,
109,SAND,Sandstorm Gold Ltd.,,7.86 +0.26 (+3.36%),0.26,+3.36%,2.643M,5.343M,2.305B,157.10,41.79%,
110,CALM,"Cal-Maine Foods, Inc.",,97.77 +3.09 (+3.26%),3.09,+3.26%,419428,1.047M,4.795B,4.83,56.60%,
111,PKX,POSCO Holdings Inc.,,45.10 +1.49 (+3.42%),1.49,+3.42%,333036,374951,14.084B,21.89,-38.01%,
112,RIO,Rio Tinto Group,,56.62 +1.75 (+3.18%),1.75,+3.18%,2.012M,3.426M,91.981B,8.01,-16.85%,
113,ORANY,Orange S.A.,,13.86 +0.43 (+3.20%),0.43,+3.20%,33203,229472,36.826B,17.11,22.12%,
114,XIACY,Xiaomi Corporation,,28.45 +0.88 (+3.19%),0.88,+3.19%,109410,962900,147.96B,45.16,148.34%,
115,KB,KB Financial Group Inc.,,52.54 +1.60 (+3.14%),1.6,+3.14%,75689,177898,20.034B,6.14,7.99%,
116,AVAV,"AeroVironment, Inc.",,142.82 +3.85 (+2.77%),3.85,+2.77%,167329,484545,4.03B,124.20,-5.54%,
117,HLN,Haleon plc,,9.93 +0.30 (+3.06%),0.3,+3.06%,11.741M,11.406M,44.804B,24.81,20.22%,
118,MRNA,"Moderna, Inc.",,25.23 +0.73 (+2.98%),0.73,+2.98%,5.775M,11.892M,9.754B,-,-76.70%,
119,SGAPY,Singapore Telecommunications Limited,,26.81 +0.56 (+2.11%),0.56,+2.11%,15932,49196,44.24B,-,54.91%,
120,TRP,TC Energy Corporation,,46.85 +1.44 (+3.17%),1.44,+3.17%,549401,2.486M,48.692B,16.50,25.75%,
121,ING,ING Groep N.V.,,17.95 +0.53 (+3.07%),0.53,+3.07%,1.669M,3.25M,54.579B,8.27,10.18%,
122,UI,Ubiquiti Inc.,,308.88 +9.14 (+3.05%),9.14,+3.05%,31295,107133,18.684B,41.91,176.82%,
123,AWR,American States Water Company,,78.09 +2.38 (+3.14%),2.38,+3.14%,86918,234691,3.007B,24.63,11.70%,
124,FA,First Advantage Corporation,,14.25 +0.42 (+3.03%),0.42,+3.03%,274469,1.118M,2.473B,-,-10.77%,
125,NVS,Novartis AG,,106.36 +2.96 (+2.87%),2.96,+2.87%,3.041M,2.423M,210.08B,18.12,10.56%,
