,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,RXRX,"Recursion Pharmaceuticals, Inc.",,5.42 +0.91 (+20.22%),0.91,+20.22%,59.744M,24.068M,2.18B,-,-46.37%,
1,ZLAB,Zai Lab Limited,,28.23 +3.91 (+16.08%),3.91,+16.08%,1.608M,1.075M,3.577B,-,69.95%,
2,SMMT,Summit Therapeutics Inc.,,22.87 +2.72 (+13.50%),2.72,+13.50%,3.454M,2.675M,16.871B,-,449.80%,
3,BBAR,Banco BBVA Argentina S.A.,,17.81 +1.75 (+10.90%),1.75,+10.90%,275052,747954,4.648B,10.86,84.81%,
4,AU,AngloGold Ashanti plc,,42.77 +3.92 (+10.09%),3.92,+10.09%,4.278M,2.725M,21.536B,18.36,62.89%,
5,KC,Kingsoft Cloud Holdings Limited,,13.92 +1.27 (+10.04%),1.27,+10.04%,2.297M,3.979M,3.52B,-,368.52%,
6,BMA,Banco Macro S.A.,,78.68 +7.18 (+10.04%),7.18,+10.04%,250803,354633,6.618B,10.31,38.94%,
7,NEM,Newmont Corporation,,55.40 +4.46 (+8.76%),4.46,+8.76%,17.308M,11.482M,62.45B,19.37,31.83%,
8,GLNG,Golar LNG Limited,,36.21 +2.82 (+8.45%),2.82,+8.45%,1.751M,1.68M,3.788B,75.44,33.72%,
9,CDE,"Coeur Mining, Inc.",,5.97 +0.49 (+8.83%),0.49,+8.83%,9.942M,20.102M,3.819B,39.83,18.32%,
10,GGAL,Grupo Financiero Galicia S.A.,,53.06 +4.14 (+8.46%),4.14,+8.46%,1.008M,1.161M,11.303B,5.60,65.21%,
11,ANGPY,Anglo American Platinum Limited,,6.00 +0.45 (+8.33%),0.45,+8.33%,29481,129830,9.515B,26.09,-24.06%,
12,HCM,HUTCHMED (China) Limited,,13.52 +0.99 (+7.86%),0.99,+7.86%,94408,98040,2.311B,67.57,-29.92%,
13,FRO,Frontline plc,,15.13 +1.10 (+7.84%),1.1,+7.84%,2.59M,3.43M,3.368B,6.78,-41.74%,
14,XPEV,XPeng Inc.,,19.28 +1.31 (+7.30%),1.31,+7.30%,10.484M,13.024M,18.713B,-,140.88%,
15,TGS,Transportadora de Gas del Sur S.A.,,25.00 +1.71 (+7.32%),1.71,+7.32%,118730,330253,5.264B,10.96,37.81%,
16,EGO,Eldorado Gold Corporation,,19.26 +1.26 (+7.00%),1.26,+7.00%,1.788M,2.13M,3.957B,13.19,18.89%,
17,MSTR,Strategy Incorporated,,291.24 +18.90 (+6.94%),18.9,+6.94%,9.883M,18.737M,77.522B,-,84.07%,
