,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HMY,Harmony Gold Mining Company Limited,,15.83 +1.14 (+7.75%),1.14,+7.75%,7.877M,7.435M,9.849B,18.62,58.98%,
1,SMMT,Summit Therapeutics Inc.,,19.43 +1.20 (+6.58%),1.2,+6.58%,4.259M,2.579M,14.333B,-,352.36%,
2,GFI,Gold Fields Limited,,23.05 +1.50 (+6.94%),1.5,+6.94%,3.673M,3.667M,20.626B,16.70,18.47%,
3,PSMT,"PriceSmart, Inc.",,89.97 +4.18 (+4.87%),4.18,+4.87%,249427,253821,2.759B,19.18,7.14%,
4,AU,AngloGold Ashanti plc,,38.11 +1.69 (+4.64%),1.69,+4.64%,2.161M,2.702M,19.19B,16.36,50.12%,
5,ALHC,"Alignment Healthcare, Inc.",,19.41 +0.87 (+4.69%),0.87,+4.69%,1.863M,2.592M,3.723B,-,284.65%,
6,GDS,GDS Holdings Limited,,20.47 +1.03 (+5.33%),1.03,+5.33%,3.125M,3.842M,3.929B,-,188.28%,
7,ORLA,Orla Mining Ltd.,,9.72 +0.44 (+4.74%),0.44,+4.74%,945281,1.13M,3.134B,36.00,121.48%,
8,IAG,IAMGOLD Corporation,,6.79 +0.28 (+4.30%),0.28,+4.30%,14.211M,13.011M,3.903B,4.53,73.14%,
9,AGL,"agilon health, inc.",,5.38 +0.20 (+3.76%),0.2,+3.76%,4.459M,6.006M,2.216B,-,-2.81%,
10,KNTNF,K92 Mining Inc.,,8.77 +0.34 (+4.03%),0.34,+4.03%,52969,151431,2.105B,19.07,58.76%,
11,NCLTY,"Nitori Holdings Co., Ltd.",,11.40 +0.44 (+4.01%),0.44,+4.01%,24413,176188,12.883B,21.51,-29.02%,
12,AEM,Agnico Eagle Mines Limited,,110.12 +4.32 (+4.08%),4.32,+4.08%,3.314M,2.746M,55.406B,29.13,71.56%,
13,AGI,Alamos Gold Inc.,,27.59 +1.05 (+3.96%),1.05,+3.96%,3.022M,3.195M,11.602B,39.99,72.67%,
14,TAL,TAL Education Group,,10.03 +0.38 (+3.94%),0.38,+3.94%,5.781M,7.839M,6.061B,52.79,-20.97%,
15,ACT,"Enact Holdings, Inc.",,34.71 +1.34 (+4.00%),1.34,+4.00%,623256,275124,5.254B,7.94,11.68%,
16,FNV,Franco-Nevada Corporation,,155.72 +5.50 (+3.66%),5.5,+3.66%,670996,813814,29.989B,54.26,23.82%,
17,RGLD,"Royal Gold, Inc.",,169.74 +5.20 (+3.17%),5.2,+3.17%,259078,513685,11.17B,33.75,34.06%,
18,SAND,Sandstorm Gold Ltd.,,7.48 +0.25 (+3.46%),0.25,+3.46%,2.344M,5.334M,2.195B,149.60,32.66%,
19,KGC,Kinross Gold Corporation,,13.46 +0.44 (+3.38%),0.44,+3.38%,12.32M,21.85M,16.562B,17.48,100.93%,
20,SSDOY,"Shiseido Company, Limited",,17.05 +0.51 (+3.08%),0.51,+3.08%,18822,106091,6.81B,-,-37.31%,
21,EQX,Equinox Gold Corp.,,6.43 +0.18 (+2.80%),0.18,+2.80%,11.756M,9.759M,2.93B,8.57,2.46%,
22,OR,Osisko Gold Royalties Ltd,,21.01 +0.60 (+2.94%),0.6,+2.94%,701146,857468,3.913B,233.44,24.22%,
23,WPM,Wheaton Precious Metals Corp.,,76.89 +2.26 (+3.04%),2.26,+3.04%,1.135M,1.754M,34.881B,66.28,41.81%,
24,TTNDY,Techtronic Industries Company Limited,,48.39 +1.41 (+3.00%),1.41,+3.00%,43434,73855,17.824B,15.81,-33.24%,
