,Unnamed: 0,Volume,Last,Chg,% Chg
77,AngloGold Ashanti PLC (AU),6.2M,42.8,3.95,10.17
78,M-tron Industries Inc. (MPTI),58.3K,48.72,4.49,10.15
79,MicroStrategy Inc. (MSTR),21.2M,299.98,27.64,10.15
80,Webull Corp. Cl A (BULL),2.1M,13.25,1.22,10.14
81,Grupo Financiero Galicia S.A. ADR (GGAL),2.3M,53.87,4.95,10.12
82,ASP Isotopes Inc. (ASPI),3.0M,5.99,0.55,10.11
83,Abacus Global Management Inc. (ABL),1.5M,7.85,0.72,10.1
84,Enanta Pharmaceuticals Inc. (ENTA),451.6K,4.69,0.43,10.09
85,Abeona Therapeutics Inc. (ABEO),988.3K,4.6,0.42,10.05
86,Genco Shipping & Trading Ltd. (GNK),716.1K,13.19,1.2,10.01
87,Heidmar Maritime Holdings Corp. (HMR),305.0K,2.75,0.25,10.0
88,Monolithic Power Systems Inc. (MPWR),2.1M,533.13,48.42,9.99
89,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),275.9K,10.01,0.91,9.95
90,Disc Medicine Inc. (IRON),564.7K,38.73,3.5,9.93
91,Mineralys Therapeutics Inc. (MLYS),831.6K,13.4,1.21,9.93
92,Teekay Tankers Ltd. (TNK),553.4K,39.26,3.5,9.77
93,Tsakos Energy Navigation Ltd. (TEN),466.0K,15.96,1.42,9.73
94,INmune Bio Inc. (INMB),240.9K,7.38,0.65,9.66
95,Fulgent Genetics Inc. (FLGT),397.1K,19.0,1.67,9.64
96,ZIM Integrated Shipping Services Ltd. (ZIM),5.6M,13.81,1.21,9.6
97,Superior Industries International Inc. (SUP),181.8K,2.41,0.21,9.55
98,HUTCHMED (China) Ltd. ADR (HCM),187.7K,13.72,1.19,9.5
99,Intellia Therapeutics Inc. (NTLA),2.3M,7.41,0.64,9.45
