,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HMY,Harmony Gold Mining Company Limited,,16.91 +0.79 (+4.90%),0.79,+4.90%,633080,7.526M,10.518B,20.13,78.27%,
1,KC,Kingsoft Cloud Holdings Limited,,13.87 +1.22 (+9.64%),1.22,+9.64%,176766,3.979M,3.507B,-,368.52%,
2,GFI,Gold Fields Limited,,24.68 +1.28 (+5.47%),1.28,+5.47%,410659,3.714M,22.089B,17.88,28.85%,
3,PSMT,"PriceSmart, Inc.",,91.35 -0.41 (-0.45%),-0.41,-0.45%,3433,260175,2.809B,19.48,15.49%,
4,AU,AngloGold Ashanti plc,,41.71 +2.86 (+7.35%),2.86,+7.35%,216174,2.725M,21B,17.90,62.89%,
5,ORLA,Orla Mining Ltd.,,10.74 +0.86 (+8.76%),0.86,+8.76%,91097,1.154M,3.465B,39.80,149.49%,
6,BYDDF,BYD Company Limited,,46.65 +2.76 (+6.29%),2.76,+6.29%,51742,174970,137.346B,24.81,78.05%,
7,AGL,"agilon health, inc.",,5.53 +0.03 (+0.45%),0.03,+0.45%,68124,6.034M,2.278B,-,11.11%,
8,EGO,Eldorado Gold Corporation,,19.13 +1.13 (+6.27%),1.13,+6.27%,84677,2.13M,3.931B,13.10,18.89%,
9,IAG,IAMGOLD Corporation,,7.20 +0.32 (+4.66%),0.32,+4.66%,862367,13.355M,4.14B,4.80,90.58%,
10,EQX,Equinox Gold Corp.,,6.80 +0.31 (+4.70%),0.31,+4.70%,477509,9.965M,3.099B,9.06,8.71%,
11,GOLD,Barrick Gold Corporation,,20.11 +0.88 (+4.55%),0.88,+4.55%,2.497M,24.731M,34.595B,16.49,7.73%,
12,SAND,Sandstorm Gold Ltd.,,7.95 +0.36 (+4.67%),0.36,+4.67%,172646,5.343M,2.335B,159.10,41.79%,
13,PAAS,Pan American Silver Corp.,,25.95 +1.11 (+4.47%),1.11,+4.47%,168529,3.526M,9.399B,83.71,29.65%,
14,FNV,Franco-Nevada Corporation,,163.45 +5.97 (+3.79%),5.97,+3.79%,30883,829267,31.479B,56.95,33.40%,
15,KGC,Kinross Gold Corporation,,14.27 +0.59 (+4.27%),0.59,+4.27%,723456,21.887M,17.565B,18.54,114.58%,
