,Unnamed: 0,Volume,Last,Chg,% Chg
0,Venus Concept Inc. (VERO),171.8K,11.04,8.12,278.24
1,Sibanye-Stillwater Ltd. ADR (SBSW),117.3K,3.47,0.25,7.75
2,SSR Mining Inc. (SSRM),64.6K,9.83,0.56,6.04
3,First Majestic Silver Corp. (AG),95.5K,5.55,0.31,5.92
4,Bilibili Inc. ADR (BILI),101.5K,15.64,0.76,5.11
5,Grab Holdings Ltd. (GRAB),1.1M,3.92,0.19,5.09
6,Equinox Gold Corp. (EQX),122.3K,5.96,0.27,4.75
7,B2Gold Corp. (BTG),111.0K,2.78,0.13,4.7
8,GitLab Inc. Cl A (GTLB),81.9K,41.8,1.28,3.16
9,Rigetti Computing Inc. (RGTI),380.0K,7.96,0.24,3.11
10,Kingsoft Cloud Holdings Ltd. ADR (KC),61.7K,11.81,0.34,3.01
11,ACELYRIN Inc. (SLRN),104.6K,2.14,0.06,2.88
12,Weibo Corp. ADR (WB),62.2K,7.25,0.2,2.84
13,Li Auto Inc. ADR (LI),51.1K,20.32,0.53,2.68
14,NVIDIA Corp. (NVDA),3.1M,98.83,2.53,2.63
15,Broadcom Inc. (AVGO),532.5K,159.98,3.94,2.53
16,Nebius Group N.V. Cl A (NBIS),74.7K,20.55,0.49,2.44
17,Wolfspeed Inc. (WOLF),84.8K,2.23,0.05,2.29
18,Kanzhun Ltd. ADR (BZ),194.7K,14.44,0.29,2.05
19,Affirm Holdings Inc. Cl A (AFRM),95.6K,37.18,0.73,2.0
20,MicroStrategy Inc. (MSTR),176.4K,242.68,4.73,1.99
21,Sirius XM Holdings Inc. (SIRI),74.7K,19.69,0.35,1.81
22,Advanced Micro Devices Inc. (AMD),574.6K,79.52,1.31,1.67
23,Tesla Inc. (TSLA),736.0K,225.23,3.37,1.52
24,Tencent Music Entertainment Group ADR (TME),132.6K,12.16,0.18,1.5
25,Amazon.com Inc. (AMZN),1.2M,173.22,2.56,1.5
26,Super Micro Computer Inc. (SMCI),280.2K,32.17,0.46,1.45
27,Palantir Technologies Inc. (PLTR),829.1K,78.34,1.02,1.32
28,Coca-Cola Europacific Partners PLC (CCEP),56.8K,82.91,1.07,1.31
29,Carnival Corp. (CCL),54.0K,16.9,0.21,1.29
30,NIO Inc. ADR (NIO),203.2K,3.18,0.04,1.27
31,Lam Research Corp. (LRCX),108.0K,60.87,0.62,1.03
32,Microchip Technology Inc. (MCHP),162.9K,35.68,0.34,0.98
33,Fortinet Inc. (FTNT),65.7K,88.98,0.83,0.94
34,Trip.com Group Ltd. ADR (TCOM),72.0K,52.68,0.47,0.9
35,Lucid Group Inc. (LCID),330.8K,2.34,0.02,0.86
36,American Airlines Group Inc. (AAL),587.1K,9.15,0.08,0.86
37,Trade Desk Inc. Cl A (TTD),69.4K,45.6,0.34,0.74
38,DraftKings Inc. Cl A (DKNG),81.1K,32.12,0.23,0.72
39,Peloton Interactive Inc. (PTON),152.2K,5.04,0.04,0.7
40,Rocket Lab USA Inc. (RKLB),218.8K,17.3,0.12,0.7
41,Tempus AI Inc. (TEM),100.1K,37.44,0.21,0.56
42,Micron Technology Inc. (MU),272.1K,65.9,0.35,0.54
