,Unnamed: 0,Volume,Last,Chg,% Chg
43,Qualcomm Inc. (QCOM),142.8K,125.31,0.65,0.52
44,TeraWulf Inc. (WULF),116.5K,2.27,0.01,0.44
45,JD.com Inc. ADR (JD),156.5K,33.16,0.14,0.42
46,Hut 8 Corp. (HUT),53.6K,11.12,0.04,0.41
47,MARA Holdings Inc. (MARA),306.1K,10.56,0.04,0.38
48,Applied Materials Inc. (AMAT),129.2K,129.42,0.46,0.36
49,Marvell Technology Inc. (MRVL),226.1K,50.2,0.17,0.35
50,Monster Beverage Corp. (MNST),73.1K,55.18,0.17,0.3
51,CleanSpark Inc. (CLSK),148.2K,6.76,0.02,0.3
52,ON Semiconductor Corp. (ON),75.5K,32.04,0.09,0.28
53,SoundHound AI Inc. (SOUN),179.4K,7.2,0.02,0.28
54,Apple Inc. (AAPL),2.1M,172.94,0.52,0.3
55,Microsoft Corp. (MSFT),494.6K,355.48,0.93,0.26
56,Alphabet Inc. Cl A (GOOGL),552.6K,144.98,0.28,0.19
57,BlackBerry Ltd. (BB),53.8K,2.88,0.01,0.17
58,Alphabet Inc. Cl C (GOOG),360.2K,146.83,0.25,0.17
59,Cisco Systems Inc. (CSCO),362.3K,53.28,0.09,0.17
60,Arm Holdings PLC ADR (ARM),92.9K,85.92,0.1,0.11
61,Nu Holdings Ltd. Cl A (NU),192.3K,9.98,0.01,0.1
62,Coinbase Global Inc. (COIN),61.3K,151.57,0.1,0.06
63,EPWK Holdings Ltd. Cl A (EPWK),260.7K,4.81,-0.0,0.0
64,IREN Ltd. (IREN),121.0K,5.3,-0.0,-0.03
65,United Airlines Holdings Inc. (UAL),119.5K,56.13,-0.02,-0.04
66,Copart Inc. (CPRT),117.0K,54.57,-0.02,-0.04
67,CrowdStrike Holdings Inc. Cl A (CRWD),52.3K,324.88,-0.17,-0.05
68,Western Digital Corp. (WDC),75.1K,31.53,-0.02,-0.06
69,Keurig Dr Pepper Inc. (KDP),123.6K,33.54,-0.03,-0.09
70,Lyft Inc. Cl A (LYFT),141.7K,9.96,-0.01,-0.1
71,Rivian Automotive Inc. Cl A (RIVN),391.4K,10.78,-0.02,-0.19
72,Shell PLC ADR (SHEL),53.6K,59.61,-0.14,-0.23
73,SoFi Technologies Inc. (SOFI),486.9K,9.48,-0.03,-0.26
74,Palo Alto Networks Inc. (PANW),97.0K,152.11,-0.42,-0.28
75,Applied Digital Corp. (APLD),79.7K,5.07,-0.01,-0.3
76,Robinhood Markets Inc. (HOOD),479.0K,34.07,-0.1,-0.3
77,Intel Corp. (INTC),1.6M,18.08,-0.06,-0.3
78,PepsiCo Inc. (PEP),120.4K,139.83,-0.47,-0.33
79,Texas Instruments Inc. (TXN),109.8K,145.46,-0.55,-0.38
80,Core Scientific Inc. (CORZ),57.2K,6.48,-0.03,-0.38
81,Riot Platforms Inc. (RIOT),129.4K,6.51,-0.03,-0.46
82,Adobe Inc. (ADBE),51.3K,338.24,-1.76,-0.52
83,Baker Hughes Co. (BKR),172.6K,34.81,-0.19,-0.54
84,Zoom Communications Inc. (ZM),65.3K,66.32,-0.38,-0.57
85,Kraft Heinz Co. (KHC),167.2K,27.53,-0.16,-0.58
86,AppLovin Corp. (APP),102.0K,233.88,-1.41,-0.6
87,Match Group Inc. (MTCH),51.8K,26.83,-0.2,-0.74
88,Comcast Corp. Cl A (CMCSA),324.8K,32.59,-0.25,-0.76
89,Meta Platforms Inc. (META),234.4K,506.53,-3.92,-0.77
90,PayPal Holdings Inc. (PYPL),190.1K,56.95,-0.46,-0.8
91,Quantum Computing Inc. (QUBT),123.5K,6.16,-0.05,-0.81
92,Enovix Corp. (ENVX),57.3K,5.42,-0.04,-0.82
93,Golub Capital BDC Inc. (GBDC),71.2K,12.92,-0.11,-0.84
94,SEALSQ Corp. (LAES),72.1K,2.3,-0.02,-0.86
95,Intuitive Machines Inc. Cl A (LUNR),100.2K,7.19,-0.06,-0.88
96,Nasdaq Inc. (NDAQ),84.9K,65.81,-0.59,-0.9
97,CSX Corp. (CSX),161.0K,26.44,-0.24,-0.92
98,Starbucks Corp. (SBUX),143.1K,78.94,-0.74,-0.93
99,American Electric Power Co. Inc. (AEP),54.9K,100.26,-1.02,-1.01
