,Unnamed: 0,Volume,Last,Chg,% Chg
0,Webull Corp. Cl A (BULL),35.3M,62.9,49.65,374.72
1,STAK Inc. (STAK),32.5M,2.22,1.08,94.74
2,USA Rare Earth Inc. (USAR),11.1M,11.75,3.44,41.4
3,Third Harmonic Bio Inc. (THRD),14.8M,5.09,1.45,39.84
4,Baiya International Group Inc. (BIYA),331.9K,2.28,0.63,38.18
5,Wellgistics Health Inc. (WGRX),442.8K,3.83,0.94,32.53
6,Metsera Inc. (MTSR),1.9M,18.18,4.18,29.86
7,Janover Inc. (JNVR),872.2K,65.94,14.73,28.76
8,FatPipe Inc. (FATN),5.9M,8.11,1.75,27.52
9,Verve Therapeutics Inc. (VERV),31.4M,4.12,0.86,26.38
10,Zhengye Biotechnology Holding Ltd. (ZYBT),469.2K,5.12,1.06,26.11
11,authID Inc. (AUID),242.3K,7.05,1.37,24.12
12,American Rebel Holdings Inc. (AREB),10.8M,7.6,1.39,22.38
13,Cartesian Therapeutics Inc. (RNAC),114.0K,13.0,2.33,21.84
14,MP Materials Corp. (MP),21.8M,27.61,4.93,21.74
15,Antelope Enterprise Holdings Ltd. (AEHL),385.0K,3.42,0.59,20.85
16,Better Home & Finance Holding Co. (BETR),239.4K,12.4,2.12,20.62
17,Fold Holdings Inc. (FLD),886.3K,3.24,0.55,20.45
18,Aclarion Inc. (ACON),135.5K,10.0,1.67,20.05
19,YSX Tech. Co. Ltd. (YSXT),58.8K,4.05,0.67,19.82
20,Capstone Holding Corp. (CAPS),99.8K,2.85,0.47,19.75
21,Satellogic Inc. (SATL),1.9M,4.47,0.72,19.2
22,Structure Therapeutics Inc. ADR (GPCR),1.3M,18.95,3.05,19.18
23,Abits Group Inc. (ABTS),50.4K,2.1,0.33,18.87
24,P3 Health Partners Inc. (PIII),79.7K,8.99,1.41,18.6
25,NioCorp Developments Ltd. (NB),3.3M,2.44,0.38,18.45
26,Grupo Supervielle S.A. ADR (SUPV),2.9M,15.46,2.37,18.07
27,Nuvectis Pharma Inc. (NVCT),118.7K,9.78,1.47,17.69
28,Forward Industries Inc. (FORD),52.0K,5.69,0.85,17.56
29,BK Technologies Corp. (BKTI),73.7K,46.37,6.72,16.95
30,Mangoceuticals Inc. (MGRX),274.9K,1.82,0.26,16.29
31,Perpetua Resources Corp. (PPTA),2.1M,13.74,1.91,16.15
32,Waton Financial Ltd. (WTF),1.4M,7.34,1.02,16.14
33,Reitar Logtech Holdings Ltd. (RITR),106.6K,3.7,0.5,15.62
34,Banco Macro S.A. ADR (BMA),1.3M,91.0,12.15,15.41
35,SCHMID Group N.V. (SHMD),64.6K,3.28,0.43,15.09
36,Banco BBVA Argentina S.A. ADR (BBAR),1.3M,20.42,2.63,14.78
37,LENZ Therapeutics Inc. (LENZ),310.5K,23.24,2.98,14.71
38,NanoVibronix Inc. (NAOV),876.2K,7.75,0.98,14.48
39,Grupo Financiero Galicia S.A. ADR (GGAL),4.3M,61.43,7.56,14.03
40,CervoMed Inc. (CRVO),1.1M,9.68,1.19,13.95
41,Byrna Technologies Inc. (BYRN),1.4M,20.43,2.5,13.94
42,Earlyworks Co. Ltd. ADR (ELWS),60.9K,2.14,0.26,13.83
43,Newsmax Inc. Cl B (NMAX),5.2M,26.0,3.15,13.79
44,Niu Technologies ADR (NIU),2.0M,3.13,0.37,13.41
45,Cybin Inc. (CYBN),598.9K,7.71,0.91,13.38
46,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),986.2K,11.34,1.33,13.29
47,Sionna Therapeutics Inc. (SION),137.7K,8.91,1.04,13.21
48,AMTD Digital Inc. ADR (HKD),424.0K,2.06,0.24,13.19
49,Aligos Therapeutics Inc. (ALGS),123.4K,4.61,0.53,12.99
50,Jiayin Group Inc. ADR (JFIN),169.1K,11.4,1.31,12.98
51,Cardiff Oncology Inc. (CRDF),2.1M,2.79,0.32,12.96
52,Design Therapeutics Inc. (DSGN),314.3K,3.25,0.36,12.46
53,Summit Therapeutics Inc. (SMMT),8.2M,26.13,2.89,12.44
54,Palvella Therapeutics Inc. (PVLA),106.2K,24.44,2.68,12.32
55,Micropolis Holding Co. (MCRP),73.2K,2.93,0.32,12.26
56,Blaize Holdings Inc. (BZAI),353.6K,2.91,0.31,11.92
57,Rocket Pharmaceuticals Inc. (RCKT),3.6M,6.03,0.64,11.87
58,Classover Holdings Inc. (KIDZ),22.7M,2.08,0.22,11.83
59,Instil Bio Inc. (TIL),157.4K,16.8,1.77,11.78
60,Advanced Biomed Inc. (ADVB),261.4K,1.91,0.2,11.7
61,United States Antimony Corp. (UAMY),6.9M,3.12,0.33,11.65
62,Valneva SE ADR (VALN),57.4K,7.02,0.73,11.61
63,Eason Technology Ltd. ADR (DXF),207.6K,6.47,0.67,11.55
64,Certara Inc. (CERT),6.3M,14.4,1.49,11.54
65,Draganfly Inc. (DPRO),67.9K,2.43,0.25,11.47
66,Cara Therapeutics Inc. (CARA),89.5K,5.46,0.56,11.43
67,Nova Minerals Ltd. ADR (NVA),140.3K,12.24,1.24,11.27
68,scPharmaceuticals Inc. (SCPH),508.5K,2.58,0.26,11.21
69,Proficient Auto Logistics Inc. (PAL),666.5K,8.45,0.85,11.18
70,Transportadora de Gas del Sur S.A. ADR (TGS),721.3K,28.17,2.78,10.95
71,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),394.4K,31.88,3.14,10.93
72,Coincheck Group N.V. (CNCK),55.6K,5.5,0.53,10.66
73,Viridian Therapeutics Inc. (VRDN),1.1M,13.3,1.28,10.65
74,Tectonic Therapeutic Inc. (TECX),231.2K,17.87,1.71,10.58
75,Viking Therapeutics Inc. (VKTX),9.2M,24.57,2.35,10.58
76,NetClass Technology Inc. Cl A (NTCL),148.1K,10.2,0.98,10.57
77,Pampa Energia S.A. ADR (PAM),769.7K,76.89,7.3,10.49
78,XIAO-I Corp. ADR (AIXI),110.4K,2.78,0.26,10.32
79,Sonim Technologies Inc. (SONM),318.6K,1.61,0.15,10.27
80,YPF S.A. ADR (YPF),5.0M,33.11,3.08,10.26
81,Eton Pharmaceuticals Inc. (ETON),326.4K,13.72,1.27,10.2
82,Lantern Pharma Inc. (LTRN),55.8K,3.53,0.32,9.97
83,Marti Technologies Inc. (MRT),55.8K,3.2,0.29,9.97
84,Rapid Micro Biosystems Inc. (RPID),74.4K,2.22,0.2,9.9
85,Beam Therapeutics Inc. (BEAM),2.8M,17.0,1.53,9.89
86,ImmunityBio Inc. (IBRX),11.1M,2.89,0.26,9.89
87,Energys Group Ltd. (ENGS),739.0K,5.36,0.48,9.84
88,Avalo Therapeutics Inc. (AVTX),88.5K,5.38,0.48,9.8
89,SurgePays Inc. (SURG),321.6K,2.47,0.22,9.78
90,OSR Holdings Inc. (OSRH),166.9K,1.58,0.14,9.72
91,Qudian Inc. ADR (QD),1.2M,2.6,0.23,9.7
92,Freightos Ltd. (CRGO),57.8K,2.04,0.18,9.68
93,IRSA-Inversiones y Representaciones S.A. GDR (IRS),370.8K,14.0,1.23,9.63
94,Novavax Inc. (NVAX),6.0M,6.41,0.55,9.39
95,SolarEdge Technologies Inc. (SEDG),4.9M,13.92,1.16,9.09
96,Serve Robotics Inc. (SERV),5.6M,5.79,0.48,9.04
97,ASP Isotopes Inc. (ASPI),2.9M,6.53,0.54,9.02
98,Valens Semiconductor Ltd. (VLN),901.5K,2.3,0.19,9.0
99,Allot Ltd. (ALLT),378.2K,5.82,0.48,8.99
