,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,MP,MP Materials Corp.,,27.62 +4.94 (+21.79%),4.94,+21.79%,22.763M,3.536M,4.514B,-,37.45%,
1,PIII,P3 Health Partners Inc.,,8.96 +1.38 (+18.26%),1.38,+18.26%,80429,975460,3.542B,-,-69.17%,
2,BMA,Banco Macro S.A.,,90.96 +12.11 (+15.36%),12.11,+15.36%,1.368M,360047,6.572B,11.92,66.14%,
3,BBAR,Banco BBVA Argentina S.A.,,20.42 +2.63 (+14.78%),2.63,+14.78%,1.438M,741663,4.79B,12.45,118.55%,
4,GGAL,Grupo Financiero Galicia S.A.,,61.43 +7.56 (+14.03%),7.56,+14.03%,4.331M,1.18M,11.352B,6.48,95.18%,
5,SMMT,Summit Therapeutics Inc.,,26.13 +2.89 (+12.44%),2.89,+12.44%,8.1M,2.745M,19.276B,-,535.84%,
6,CERT,"Certara, Inc.",,14.40 +1.49 (+11.54%),1.49,+11.54%,6.074M,1.669M,2.325B,-,-25.97%,
7,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,24,2.178B,18.72,-19.92%,
8,TGS,Transportadora de Gas del Sur S.A.,,28.10 +2.71 (+10.67%),2.71,+10.67%,752987,330160,4.939B,12.27,62.76%,
9,VKTX,"Viking Therapeutics, Inc.",,24.57 +2.35 (+10.58%),2.35,+10.58%,9.107M,4.654M,2.759B,-,-66.81%,
10,LKNCY,Luckin Coffee Inc.,,30.99 +2.99 (+10.68%),2.99,+10.68%,1.168M,2.946M,8.791B,24.79,22.43%,
11,YPF,YPF Sociedad Anónima,,33.12 +3.09 (+10.27%),3.09,+10.27%,5.197M,2.058M,15.201B,5.53,48.59%,
12,PAM,Pampa Energía S.A.,,76.81 +7.22 (+10.38%),7.22,+10.38%,794443,252732,4.964B,6.68,63.93%,
13,FNMA,Federal National Mortgage Association,,6.37 +0.57 (+9.83%),0.57,+9.83%,3.495M,13.354M,7.377B,-,296.60%,
14,WAFD,"WaFd, Inc.",,26.74 +2.20 (+8.96%),2.2,+8.96%,862968,624388,2.181B,12.21,-9.08%,
15,HCM,HUTCHMED (China) Limited,,14.89 +1.17 (+8.53%),1.17,+8.53%,134950,100560,2.546B,74.45,-22.31%,
16,FMCC,Federal Home Loan Mortgage Corporation,,5.22 +0.40 (+8.30%),0.4,+8.30%,1.736M,4.923M,3.393B,-,254.41%,
17,FNMAS,Federal National Mortgage Association,,11.27 +0.87 (+8.37%),0.87,+8.37%,485947,1.214M,14.265B,1610.00,149.64%,
18,RKT,"Rocket Companies, Inc.",,12.86 +0.96 (+8.07%),0.96,+8.07%,10.418M,8.787M,25.557B,61.24,1.97%,
19,HWKN,"Hawkins, Inc.",,123.83 +9.05 (+7.88%),9.05,+7.88%,155805,132363,2.592B,31.67,48.89%,
20,AKO-B,Embotelladora Andina S.A.,,23.55 +1.72 (+7.87%),1.72,+7.87%,17960,11367,3.23B,16.47,40.30%,
21,BBWI,"Bath & Body Works, Inc.",,28.65 +2.01 (+7.55%),2.01,+7.55%,8.832M,5.486M,6.138B,7.94,-40.26%,
22,ADMA,"ADMA Biologics, Inc.",,20.91 +1.51 (+7.78%),1.51,+7.78%,6.527M,2.822M,4.969B,25.81,224.41%,
23,TMDX,"TransMedics Group, Inc.",,86.84 +6.26 (+7.77%),6.26,+7.77%,1.586M,1.337M,2.938B,81.16,-12.24%,
24,BLCO,Bausch + Lomb Corporation,,12.28 +0.88 (+7.73%),0.88,+7.73%,813023,738416,4.338B,-,-20.28%,
25,AMKBY,A.P. Møller - Mærsk A/S,,7.99 +0.56 (+7.54%),0.56,+7.54%,69238,239311,25.347B,4.14,9.26%,
26,AUOTY,AUO Corporation,,5.48 +0.38 (+7.45%),0.38,+7.45%,17095,84255,4.136B,-,-7.64%,
27,ATAT,Atour Lifestyle Holdings Limited,,23.84 +1.63 (+7.34%),1.63,+7.34%,2.98M,1.281M,3.28B,19.07,27.64%,
28,VIST,"Vista Energy, S.A.B. de C.V.",,40.89 +2.74 (+7.18%),2.74,+7.18%,2.178M,1.002M,4.013B,8.83,-8.45%,
29,SRPT,"Sarepta Therapeutics, Inc.",,54.63 +3.60 (+7.05%),3.6,+7.05%,2.288M,1.805M,5.301B,23.35,-56.87%,
30,CRL,"Charles River Laboratories International, Inc.",,106.62 +6.87 (+6.89%),6.87,+6.89%,3.678M,1.521M,5.237B,533.10,-57.72%,
31,ZLAB,Zai Lab Limited,,31.52 +1.98 (+6.70%),1.98,+6.70%,2.152M,1.124M,3.456B,-,108.03%,
32,FMCKI,Federal Home Loan Mortgage Corporation,,8.85 +0.55 (+6.63%),0.55,+6.63%,43880,8659,6.667B,130.15,173.03%,
33,HKXCY,Hong Kong Exchanges and Clearing Limited,,43.41 +2.42 (+5.90%),2.42,+5.90%,38602,352704,54.863B,32.89,44.99%,
34,XENE,Xenon Pharmaceuticals Inc.,,33.44 +2.04 (+6.50%),2.04,+6.50%,847549,577696,2.56B,-,-23.99%,
35,QFIN,"Qifu Technology, Inc.",,38.63 +2.26 (+6.21%),2.26,+6.21%,3.853M,1.881M,5.647B,6.85,98.20%,
36,FUTU,Futu Holdings Limited,,85.26 +4.87 (+6.06%),4.87,+6.06%,4.478M,3.224M,11.759B,17.02,41.56%,
37,BNTX,BioNTech SE,,102.34 +5.82 (+6.03%),5.82,+6.03%,1.719M,859793,24.602B,-,9.82%,
38,ATEYY,Advantest Corporation,,41.75 +2.34 (+5.94%),2.34,+5.94%,28239,181763,30.633B,33.40,4.18%,
39,CHGCY,"Chugai Pharmaceutical Co., Ltd.",,23.18 +1.29 (+5.89%),1.29,+5.89%,26942,212588,76.287B,28.98,34.38%,
40,BABA,Alibaba Group Holding Limited,,114.01 +6.28 (+5.83%),6.28,+5.83%,31.273M,33.09M,272.28B,16.82,52.55%,
41,STLA,Stellantis N.V.,,9.39 +0.52 (+5.86%),0.52,+5.86%,44.522M,17.367M,27.048B,4.54,-66.21%,
42,AG,First Majestic Silver Corp.,,6.66 +0.37 (+5.80%),0.37,+5.80%,22.462M,20.746M,3.225B,-,-16.02%,
43,PTGX,"Protagonist Therapeutics, Inc.",,45.03 +2.41 (+5.65%),2.41,+5.65%,960931,1.112M,2.764B,10.65,60.35%,
44,NUVL,"Nuvalent, Inc.",,70.00 +3.71 (+5.60%),3.71,+5.60%,481149,555144,5.012B,-,1.55%,
45,AXSM,"Axsome Therapeutics, Inc.",,103.53 +5.47 (+5.58%),5.47,+5.58%,754106,942116,5.049B,-,43.76%,
46,SITM,SiTime Corporation,,137.24 +7.24 (+5.57%),7.24,+5.57%,370973,346311,3.239B,-,65.58%,
47,BHF,"Brighthouse Financial, Inc.",,50.50 +2.68 (+5.60%),2.68,+5.60%,866932,907801,2.932B,10.88,1.79%,
48,AKRO,"Akero Therapeutics, Inc.",,37.60 +1.93 (+5.43%),1.93,+5.43%,826387,1.457M,2.994B,-,64.20%,
49,XPEV,XPeng Inc.,,21.11 +1.11 (+5.57%),1.11,+5.57%,12.117M,13.296M,19.649B,-,177.78%,
50,COOP,Mr. Cooper Group Inc.,,115.89 +5.89 (+5.35%),5.89,+5.35%,940714,953006,7.415B,11.14,45.71%,
51,IMVT,"Immunovant, Inc.",,15.43 +0.75 (+5.11%),0.75,+5.11%,1.093M,1.799M,2.621B,-,-51.82%,
52,RNA,"Avidity Biosciences, Inc.",,26.91 +1.33 (+5.20%),1.33,+5.20%,1.212M,1.511M,3.235B,-,6.98%,
53,FMCKJ,Federal Home Loan Mortgage Corporation,,10.47 +0.50 (+5.02%),0.5,+5.02%,408270,678022,7.151B,153.97,151.77%,
54,TTDKY,TDK Corporation,,9.88 +0.48 (+5.11%),0.48,+5.11%,31729,276572,18.748B,16.75,-5.22%,
55,ENPH,"Enphase Energy, Inc.",,54.55 +2.66 (+5.13%),2.66,+5.13%,2.833M,4.287M,7.156B,72.73,-53.86%,
56,HASI,"HA Sustainable Infrastructure Capital, Inc.",,24.19 +1.18 (+5.15%),1.18,+5.15%,1.607M,1.217M,2.951B,14.94,-7.26%,
57,BMRN,BioMarin Pharmaceutical Inc.,,59.67 +2.85 (+5.02%),2.85,+5.02%,1.865M,1.745M,11.442B,27.00,-37.91%,
58,FIVE,"Five Below, Inc.",,63.56 +3.09 (+5.11%),3.09,+5.11%,2.794M,2.312M,3.499B,13.82,-60.43%,
59,PAAS,Pan American Silver Corp.,,27.18 +1.30 (+5.02%),1.3,+5.02%,6.367M,3.59M,9.844B,87.68,35.57%,
60,UAA,"Under Armour, Inc.",,5.45 +0.26 (+5.01%),0.26,+5.01%,14.732M,14.033M,2.299B,-,-20.88%,
61,RIVN,"Rivian Automotive, Inc.",,12.03 +0.56 (+4.88%),0.56,+4.88%,26.13M,32M,13.602B,-,36.55%,
62,IESC,"IES Holdings, Inc.",,188.78 +8.93 (+4.97%),8.93,+4.97%,196922,230421,3.777B,17.58,50.19%,
63,TAL,TAL Education Group,,10.06 +0.45 (+4.74%),0.45,+4.74%,11.302M,8.148M,6.076B,52.92,-18.37%,
64,PTCT,"PTC Therapeutics, Inc.",,45.08 +2.10 (+4.89%),2.1,+4.89%,897897,907516,3.555B,-,67.37%,
65,LYSDY,Lynas Rare Earths Limited,,5.19 +0.24 (+4.85%),0.24,+4.85%,207636,129845,4.851B,173.00,28.24%,
66,QRVO,"Qorvo, Inc.",,58.93 +2.66 (+4.73%),2.66,+4.73%,2.247M,2.906M,5.504B,210.46,-48.88%,
67,JD,"JD.com, Inc.",,38.18 +1.76 (+4.83%),1.76,+4.83%,18.052M,14.764M,59.176B,10.46,43.27%,
68,BMRRY,B&M European Value Retail S.A.,,15.90 +0.72 (+4.74%),0.72,+4.74%,41503,53881,3.99B,9.52,-40.55%,
69,ESAIY,"Eisai Co., Ltd.",,6.44 +0.29 (+4.72%),0.29,+4.72%,16689,210590,7.269B,18.40,-36.06%,
70,SNEX,StoneX Group Inc.,,79.10 +3.55 (+4.70%),3.55,+4.70%,352888,408217,3.807B,14.18,73.76%,
71,SCBFY,Standard Chartered PLC,,26.78 +1.20 (+4.69%),1.2,+4.69%,81261,180195,31.586B,9.74,52.83%,
72,AMX,"América Móvil, S.A.B. de C.V.",,14.85 +0.66 (+4.69%),0.66,+4.69%,1.551M,2.018M,45.109B,32.29,-21.25%,
73,MKSI,"MKS Instruments, Inc.",,68.48 +2.95 (+4.50%),2.95,+4.50%,1.822M,1.337M,4.619B,24.37,-45.62%,
74,TGTX,"TG Therapeutics, Inc.",,38.41 +1.70 (+4.63%),1.7,+4.63%,2.425M,2.689M,6.033B,256.07,160.91%,
75,PDD,PDD Holdings Inc.,,94.78 +4.28 (+4.73%),4.28,+4.73%,19.492M,10.858M,131.628B,9.17,-20.82%,
76,WXXWY,WuXi Biologics (Cayman) Inc.,,5.41 +0.24 (+4.64%),0.24,+4.64%,15604,54416,10.976B,25.76,53.57%,
77,ENTG,"Entegris, Inc.",,72.85 +3.13 (+4.49%),3.13,+4.49%,2.762M,3.544M,11.024B,37.75,-47.05%,
78,CAAP,Corporación América Airports S.A.,,18.15 +0.80 (+4.61%),0.8,+4.61%,119326,262432,2.924B,10.37,5.47%,
79,WGS,GeneDx Holdings Corp.,,101.04 +4.41 (+4.56%),4.41,+4.56%,796418,1.019M,2.836B,-,878.04%,
80,APTV,Aptiv PLC,,50.10 +2.18 (+4.54%),2.18,+4.54%,4.736M,3.848M,11.494B,7.20,-34.37%,
81,NTDOY,"Nintendo Co., Ltd.",,18.24 +0.79 (+4.53%),0.79,+4.53%,167890,2.669M,84.961B,38.81,43.15%,
82,BEKE,KE Holdings Inc.,,19.26 +0.82 (+4.47%),0.82,+4.47%,9.708M,10.685M,23.445B,40.99,42.39%,
83,BMWKY,Bayerische Motoren Werke AG,,26.72 +1.15 (+4.50%),1.15,+4.50%,115443,101868,46.129B,6.30,-33.77%,
84,PLTR,Palantir Technologies Inc.,,92.62 +4.07 (+4.60%),4.07,+4.60%,121.334M,105.527M,217.227B,487.47,304.34%,
85,ARGX,argenx SE,,606.39 +25.45 (+4.38%),25.45,+4.38%,686946,338814,36.984B,47.45,54.40%,
86,IMPUY,Impala Platinum Holdings Limited,,6.33 +0.27 (+4.46%),0.27,+4.46%,66758,228259,5.677B,-,18.36%,
87,PFSI,"PennyMac Financial Services, Inc.",,97.44 +4.13 (+4.43%),4.13,+4.43%,433645,396357,5.012B,16.68,7.12%,
88,AJINY,"Ajinomoto Co., Inc.",,20.44 +0.87 (+4.45%),0.87,+4.45%,22976,43800,20.555B,32.97,10.34%,
89,FNMAT,Federal National Mortgage Association,,10.11 +0.43 (+4.42%),0.43,+4.42%,67016,83306,13.378B,1444.29,155.79%,
90,HXGBY,Hexagon AB (publ),,9.22 +0.39 (+4.42%),0.39,+4.42%,25005,311785,24.149B,22.49,-21.84%,
91,NBIX,"Neurocrine Biosciences, Inc.",,94.89 +4.02 (+4.42%),4.02,+4.42%,1.649M,1.448M,9.388B,28.84,-31.02%,
92,ERJ,Embraer S.A.,,43.09 +1.78 (+4.31%),1.78,+4.31%,1.282M,2.044M,8.019B,22.44,71.06%,
93,TWO-PB,Two Harbors Investment Corp.,,22.82 +0.93 (+4.25%),0.93,+4.25%,35701,13563,3.089B,41.42,-1.31%,
94,FSLR,"First Solar, Inc.",,131.26 +5.33 (+4.23%),5.33,+4.23%,2.645M,3.193M,14.076B,10.93,-28.43%,
95,AER,AerCap Holdings N.V.,,95.77 +3.79 (+4.12%),3.79,+4.12%,1.976M,1.687M,17.888B,8.88,11.49%,
96,EVR,Evercore Inc.,,181.23 +7.42 (+4.27%),7.42,+4.27%,795589,717063,7.09B,19.98,-6.48%,
97,JBSAY,JBS S.A.,,14.62 +0.59 (+4.20%),0.59,+4.20%,80073,109881,16.214B,9.14,62.20%,
