,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
98,BUR,Burford Capital Limited,,13.19 +0.51 (+4.02%),0.51,+4.02%,1.253M,1.029M,2.894B,19.98,-14.56%,
99,KRC,Kilroy Realty Corporation,,30.99 +1.23 (+4.13%),1.23,+4.13%,1.769M,1.704M,3.7B,17.51,-9.68%,
100,DSCSY,Disco Corporation,,20.21 +0.80 (+4.12%),0.8,+4.12%,26450,277911,21.902B,26.59,-45.14%,
101,VEON,VEON Ltd.,,41.06 +1.62 (+4.11%),1.62,+4.11%,62195,132388,2.901B,8.29,67.97%,
102,INCY,Incyte Corporation,,59.22 +2.35 (+4.13%),2.35,+4.13%,1.996M,1.944M,11.46B,394.80,6.44%,
103,WDC,Western Digital Corporation,,35.82 +1.42 (+4.13%),1.42,+4.13%,9.758M,9.758M,12.459B,10.35,-35.38%,
104,AVB,"AvalonBay Communities, Inc.",,200.73 +7.73 (+4.01%),7.73,+4.01%,803400,770700,28.578B,26.41,6.80%,
105,SLNO,"Soleno Therapeutics, Inc.",,70.00 +2.77 (+4.12%),2.77,+4.12%,1.036M,1.124M,3.21B,-,74.53%,
106,LYSCF,Lynas Rare Earths Limited,,5.17 +0.20 (+4.02%),0.2,+4.02%,48110,22536,4.832B,172.33,24.69%,
107,F,Ford Motor Company,,9.70 +0.38 (+4.02%),0.38,+4.02%,181.748M,117.295M,38.592B,6.65,-23.71%,
108,SMNEY,Siemens Energy AG,,64.74 +2.48 (+3.98%),2.48,+3.98%,30710,359265,51.157B,-,235.71%,
109,DELL,Dell Technologies Inc.,,85.22 +3.29 (+4.02%),3.29,+4.02%,11.576M,9.226M,59.47B,13.36,-30.46%,
110,TSCDY,Tesco PLC,,13.64 +0.52 (+3.96%),0.52,+3.96%,140161,493714,30.453B,15.33,21.82%,
111,MTD,Mettler-Toledo International Inc.,,"1,083.14 +41.24 (+3.96%)",41.24,+3.96%,207811,164565,22.574B,26.72,-16.22%,
112,FNMAJ,Federal National Mortgage Association,,9.52 +0.36 (+3.93%),0.36,+3.93%,21544,36606,13.14B,1360.00,173.43%,
113,QXO,"QXO, Inc.",,14.45 +0.54 (+3.88%),0.54,+3.88%,2.715M,2.719M,5.916B,-,-87.49%,
114,ATS,ATS Corporation,,24.92 +0.88 (+3.64%),0.88,+3.64%,96039,143247,2.44B,38.93,-20.08%,
115,ORLA,Orla Mining Ltd.,,11.04 +0.42 (+3.95%),0.42,+3.95%,2.048M,1.188M,3.56B,40.89,169.54%,
116,LTM,LATAM Airlines Group S.A.,,29.36 +1.10 (+3.89%),1.1,+3.89%,176865,380749,8.873B,9.09,18.34%,
117,NMRK,"Newmark Group, Inc.",,10.71 +0.40 (+3.88%),0.4,+3.88%,1.033M,1.044M,2.7B,31.50,5.20%,
118,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,,7.82 +0.28 (+3.71%),0.28,+3.71%,26439,46380,16.801B,10.16,-8.83%,
119,NXT,Nextracker Inc.,,40.73 +1.50 (+3.82%),1.5,+3.82%,1.594M,2.526M,6.009B,10.06,-12.49%,
120,ADYEY,Adyen N.V.,,16.03 +0.56 (+3.62%),0.56,+3.62%,74976,712798,50.485B,50.09,2.32%,
121,HRI,Herc Holdings Inc.,,119.14 +4.17 (+3.63%),4.17,+3.63%,386674,545090,3.394B,16.10,-27.37%,
122,XPO,"XPO, Inc.",,97.39 +3.61 (+3.85%),3.61,+3.85%,1.508M,1.776M,11.471B,30.15,-23.98%,
123,SCCO,Southern Copper Corporation,,87.71 +3.08 (+3.65%),3.08,+3.65%,1.662M,1.559M,69.837B,20.40,-25.00%,
124,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,284.05 +10.35 (+3.78%),10.35,+3.78%,51259,52627,8.322B,12.80,-12.47%,
125,ES,Eversource Energy,,58.46 +2.14 (+3.80%),2.14,+3.80%,2.22M,3.032M,21.46B,25.75,-3.30%,
126,JBHT,"J.B. Hunt Transport Services, Inc.",,137.82 +4.94 (+3.72%),4.94,+3.72%,1.607M,1.137M,13.783B,24.83,-28.21%,
127,BXP,"BXP, Inc.",,62.85 +2.21 (+3.64%),2.21,+3.64%,1.458M,1.46M,11.086B,698.33,3.36%,
128,BAP,Credicorp Ltd.,,183.96 +6.09 (+3.43%),6.09,+3.43%,192551,316539,14.613B,10.16,10.94%,
129,IQV,IQVIA Holdings Inc.,,150.94 +5.39 (+3.70%),5.39,+3.70%,2.109M,1.724M,26.613B,20.13,-37.03%,
130,TBBK,"The Bancorp, Inc.",,45.24 +1.61 (+3.69%),1.61,+3.69%,543652,629513,2.169B,10.55,36.73%,
131,CLSK,"CleanSpark, Inc.",,7.78 +0.28 (+3.73%),0.28,+3.73%,19.582M,24.866M,2.185B,-,-48.94%,
132,MSTR,Strategy Incorporated,,311.45 +11.47 (+3.82%),11.47,+3.82%,13.861M,18.839M,82.901B,-,124.56%,
133,FOLD,"Amicus Therapeutics, Inc.",,6.72 +0.24 (+3.70%),0.24,+3.70%,2.546M,2.734M,2.065B,-,-39.21%,
134,SLG,SL Green Realty Corp.,,51.50 +1.87 (+3.77%),1.87,+3.77%,933502,869973,3.889B,643.75,-0.10%,
135,ESS,"Essex Property Trust, Inc.",,273.08 +9.60 (+3.65%),9.6,+3.65%,464643,479883,18.84B,23.66,11.84%,
136,KKOYY,Kesko Oyj,,10.71 +0.38 (+3.68%),0.38,+3.68%,21142,14681,8.325B,20.60,20.74%,
137,HTHT,H World Group Limited,,33.60 +1.20 (+3.70%),1.2,+3.70%,3.813M,2.147M,10.91B,25.65,-16.04%,
138,HIMS,"Hims & Hers Health, Inc.",,28.29 +1.06 (+3.89%),1.06,+3.89%,13.335M,24.77M,6.285B,53.38,105.98%,
139,GENI,Genius Sports Limited,,9.93 +0.36 (+3.71%),0.36,+3.71%,3.103M,3.355M,2.31B,-,85.83%,
140,ARE,"Alexandria Real Estate Equities, Inc.",,79.72 +2.80 (+3.64%),2.8,+3.64%,1.788M,1.465M,13.791B,44.29,-35.46%,
141,FINV,FinVolution Group,,7.96 +0.29 (+3.78%),0.29,+3.78%,1.133M,1.107M,2.068B,6.47,58.80%,
142,FLEX,Flex Ltd.,,30.65 +1.06 (+3.58%),1.06,+3.58%,3.449M,4.071M,11.742B,12.51,5.38%,
143,UA,"Under Armour, Inc.",,5.16 +0.18 (+3.51%),0.18,+3.51%,5.929M,4.368M,2.266B,-,-20.54%,
144,VWAGY,Volkswagen AG,,10.33 +0.36 (+3.61%),0.36,+3.61%,36863,264790,49.735B,4.41,-34.79%,
145,GAP,"The Gap, Inc.",,19.28 +0.67 (+3.60%),0.67,+3.60%,9.165M,8.776M,7.261B,8.76,-14.95%,
146,KMTUY,Komatsu Ltd.,,28.80 +1.00 (+3.60%),1.0,+3.60%,39281,127413,26.578B,9.93,-5.24%,
147,INSM,Insmed Incorporated,,71.03 +2.46 (+3.59%),2.46,+3.59%,2.271M,1.98M,12.915B,-,155.67%,
148,ZTO,ZTO Express (Cayman) Inc.,,18.91 +0.66 (+3.59%),0.66,+3.59%,2.141M,2.906M,14.858B,12.95,-6.60%,
149,RGEN,Repligen Corporation,,127.26 +4.40 (+3.58%),4.4,+3.58%,595844,753972,7.149B,-,-26.16%,
150,BNL,"Broadstone Net Lease, Inc.",,15.62 +0.55 (+3.65%),0.55,+3.65%,983525,1.39M,3.088B,18.16,4.22%,
151,STX,Seagate Technology Holdings plc,,72.67 +2.52 (+3.59%),2.52,+3.59%,3.357M,3.862M,15.385B,13.21,-16.37%,
152,TECH,Bio-Techne Corporation,,52.53 +1.81 (+3.58%),1.81,+3.58%,1.762M,1.866M,8.305B,53.61,-22.59%,
153,GRFS,"Grifols, S.A.",,7.00 +0.24 (+3.55%),0.24,+3.55%,803553,1.094M,5.632B,28.00,3.36%,
154,IDXX,"IDEXX Laboratories, Inc.",,404.65 +13.71 (+3.51%),13.71,+3.51%,913886,834162,32.792B,37.92,-20.43%,
155,MORN,"Morningstar, Inc.",,282.94 +9.59 (+3.51%),9.59,+3.51%,158481,175998,12.102B,32.98,-8.88%,
156,GM,General Motors Company,,45.13 +1.50 (+3.44%),1.5,+3.44%,18.816M,15.093M,44.904B,7.08,2.20%,
157,SIRI,Sirius XM Holdings Inc.,,20.72 +0.70 (+3.50%),0.7,+3.50%,3.789M,5.5M,7.019B,-,-37.04%,
158,BIIB,Biogen Inc.,,119.26 +4.09 (+3.55%),4.09,+3.55%,1.488M,1.716M,17.457B,10.67,-41.48%,
159,DD,"DuPont de Nemours, Inc.",,60.95 +2.06 (+3.50%),2.06,+3.50%,4.071M,2.992M,25.507B,34.44,-19.81%,
160,EQR,Equity Residential,,66.89 +2.25 (+3.48%),2.25,+3.48%,1.41M,1.807M,26.179B,24.59,6.56%,
161,WEN,The Wendy's Company,,13.22 +0.43 (+3.36%),0.43,+3.36%,6.827M,5.486M,2.594B,13.92,-31.82%,
162,TME,Tencent Music Entertainment Group,,12.64 +0.41 (+3.35%),0.41,+3.35%,6.228M,8.684M,22.665B,21.79,8.81%,
163,GH,"Guardant Health, Inc.",,45.16 +1.45 (+3.32%),1.45,+3.32%,1.627M,2.327M,5.574B,-,156.21%,
164,TCOM,Trip.com Group Limited,,56.75 +2.02 (+3.69%),2.02,+3.69%,7.058M,4.386M,37.352B,16.84,11.24%,
165,AL,Air Lease Corporation,,42.57 +1.41 (+3.42%),1.41,+3.42%,1.155M,828203,4.758B,12.78,-14.64%,
166,FNF,"Fidelity National Financial, Inc.",,62.06 +2.08 (+3.47%),2.08,+3.47%,1.151M,1.37M,17.066B,13.35,24.52%,
167,AAGIY,AIA Group Limited,,27.06 +0.89 (+3.40%),0.89,+3.40%,90321,569818,72.086B,10.91,9.77%,
168,ROIV,Roivant Sciences Ltd.,,10.19 +0.33 (+3.35%),0.33,+3.35%,6.936M,5.92M,7.271B,-,-9.04%,
169,MARA,"MARA Holdings, Inc.",,12.95 +0.44 (+3.52%),0.44,+3.52%,35.1M,39.01M,4.478B,7.53,-17.43%,
170,WPC,W. P. Carey Inc.,,59.84 +1.97 (+3.40%),1.97,+3.40%,797584,1.308M,13.104B,28.63,7.15%,
171,AQN,Algonquin Power & Utilities Corp.,,5.20 +0.16 (+3.27%),0.16,+3.27%,16.965M,11.283M,3.995B,74.36,-13.40%,
172,UDR,"UDR, Inc.",,40.76 +1.30 (+3.29%),1.3,+3.29%,1.249M,2.207M,15.362B,156.77,10.07%,
173,ESI,Element Solutions Inc,,18.86 +0.61 (+3.37%),0.61,+3.37%,3.209M,3.191M,4.574B,18.86,-25.36%,
174,BRPHF,Galaxy Digital Holdings Ltd.,,11.37 +0.37 (+3.36%),0.37,+3.36%,25646,216360,3.927B,20.67,26.47%,
175,SRRK,Scholar Rock Holding Corporation,,28.93 +0.93 (+3.32%),0.93,+3.32%,1.688M,1.097M,2.744B,-,110.05%,
176,CPRX,"Catalyst Pharmaceuticals, Inc.",,22.80 +0.75 (+3.40%),0.75,+3.40%,995920,1.367M,2.769B,17.40,43.27%,
177,GKOS,Glaukos Corporation,,93.02 +2.95 (+3.27%),2.95,+3.27%,605729,931670,5.262B,-,-6.99%,
178,KGFHY,Kingfisher plc,,6.81 +0.22 (+3.34%),0.22,+3.34%,287985,184144,6.033B,27.24,7.31%,
179,DEI,"Douglas Emmett, Inc.",,13.84 +0.44 (+3.32%),0.44,+3.32%,1.247M,2.234M,2.744B,106.42,3.56%,
180,CCI,Crown Castle Inc.,,99.86 +3.19 (+3.30%),3.19,+3.30%,2.317M,3.545M,43.482B,-,1.07%,
181,DHLGY,Deutsche Post AG,,40.77 +1.30 (+3.29%),1.3,+3.29%,16216,243655,47.017B,13.24,-4.50%,
182,MNSO,MINISO Group Holding Limited,,16.33 +0.52 (+3.29%),0.52,+3.29%,1.322M,1.255M,5.019B,14.32,-23.77%,
183,ALPMY,Astellas Pharma Inc.,,9.13 +0.29 (+3.28%),0.29,+3.28%,22756,215116,16.344B,-,-4.21%,
184,TOELY,Tokyo Electron Limited,,70.77 +2.24 (+3.27%),2.24,+3.27%,33079,155090,64.836B,18.38,-44.97%,
185,FULT,Fulton Financial Corporation,,15.67 +0.48 (+3.16%),0.48,+3.16%,2.122M,1.389M,2.855B,9.98,2.64%,
186,LB,LandBridge Company LLC,,67.83 +2.14 (+3.26%),2.14,+3.26%,254389,697436,5.186B,-,183.76%,
187,PRCT,PROCEPT BioRobotics Corporation,,53.76 +1.69 (+3.25%),1.69,+3.25%,721803,1.012M,2.947B,-,2.91%,
188,AIBGY,AIB Group plc,,12.74 +0.40 (+3.24%),0.4,+3.24%,136816,150473,14.832B,6.28,25.89%,
189,VIRT,"Virtu Financial, Inc.",,38.23 +1.20 (+3.24%),1.2,+3.24%,1.124M,1.008M,5.937B,12.87,79.32%,
190,ALV,"Autoliv, Inc.",,82.75 +2.60 (+3.24%),2.6,+3.24%,1.049M,938365,6.397B,10.29,-30.84%,
191,TRU,TransUnion,,74.78 +2.34 (+3.22%),2.34,+3.22%,2.182M,2.083M,14.592B,51.57,0.78%,
192,EPR,EPR Properties,,48.78 +1.55 (+3.27%),1.55,+3.27%,684819,814031,3.71B,30.48,16.88%,
193,AMRX,"Amneal Pharmaceuticals, Inc.",,7.21 +0.23 (+3.30%),0.23,+3.30%,1.696M,1.714M,3.356B,-,25.99%,
194,WK,Workiva Inc.,,68.44 +2.03 (+3.06%),2.03,+3.06%,747505,804670,3.841B,-,-15.07%,
195,ACHR,Archer Aviation Inc.,,7.26 +0.22 (+3.20%),0.22,+3.20%,15.198M,28.846M,3.936B,-,80.72%,
196,BXMT,"Blackstone Mortgage Trust, Inc.",,18.09 +0.56 (+3.19%),0.56,+3.19%,1.486M,1.826M,3.104B,-,-4.05%,
