,Unnamed: 0,Volume,Last,Chg,% Chg
0,Wheeler Real Estate Investment Trust Inc. (WHLR),50.1K,3.2,0.83,35.23
1,Trip.com Group Ltd. ADR (TCOM),54.2K,56.85,2.06,3.76
2,Trump Media & Technology Group Corp. (DJT),115.9K,20.76,0.49,2.42
3,Baidu Inc. ADR (BIDU),277.9K,82.14,1.55,1.93
4,B2Gold Corp. (BTG),79.8K,2.92,0.02,0.69
5,T-Mobile US Inc. (TMUS),55.7K,256.29,1.39,0.55
6,Mondelez International Inc. Cl A (MDLZ),88.9K,66.54,0.35,0.53
7,VNET Group Inc. ADR (VNET),50.3K,5.89,-0.01,-0.17
8,Kraft Heinz Co. (KHC),82.9K,29.03,-0.07,-0.24
9,Cisco Systems Inc. (CSCO),288.7K,57.9,-0.23,-0.4
10,Newell Brands Inc. (NWL),82.3K,5.03,-0.03,-0.5
11,AST SpaceMobile Inc. (ASTS),97.8K,24.01,-0.13,-0.54
12,Vodafone Group PLC ADR (VOD),56.4K,8.52,-0.06,-0.7
13,eBay Inc. (EBAY),60.1K,61.32,-0.64,-1.02
14,Recursion Pharmaceuticals Inc. (RXRX),222.2K,4.6,-0.05,-1.08
15,AGNC Investment Corp. (AGNC),434.4K,8.81,-0.1,-1.12
16,Ares Capital Corp. (ARCC),124.5K,20.54,-0.32,-1.52
17,Western Digital Corp. (WDC),81.8K,35.72,-0.57,-1.58
18,Quantum Computing Inc. (QUBT),115.0K,6.74,-0.11,-1.61
19,CSX Corp. (CSX),123.5K,28.19,-0.47,-1.64
20,Nasdaq Inc. (NDAQ),74.5K,70.63,-1.36,-1.89
21,ImmunityBio Inc. (IBRX),69.0K,2.55,-0.05,-1.92
22,T. Rowe Price Group Inc. (TROW),68.5K,88.4,-1.76,-1.95
23,Palo Alto Networks Inc. (PANW),92.8K,169.46,-3.56,-2.05
24,AppLovin Corp. (APP),73.3K,269.18,-5.78,-2.1
25,Rivian Automotive Inc. Cl A (RIVN),285.6K,11.48,-0.29,-2.51
26,Trade Desk Inc. Cl A (TTD),75.8K,52.76,-1.36,-2.51
27,Host Hotels & Resorts Inc. (HST),75.5K,13.86,-0.36,-2.53
28,Banco Bradesco S/A Pref ADR (BBD),111.0K,2.1,-0.06,-2.55
29,CrowdStrike Holdings Inc. Cl A (CRWD),56.8K,368.25,-9.76,-2.58
30,Bank of America Corp. (BAC),70.1K,36.17,-0.98,-2.64
31,PayPal Holdings Inc. (PYPL),173.3K,62.24,-1.71,-2.67
32,Starbucks Corp. (SBUX),88.4K,86.19,-2.49,-2.81
33,Fortinet Inc. (FTNT),71.8K,97.0,-2.93,-2.93
34,Goodyear Tire & Rubber Co. (GT),69.9K,9.44,-0.3,-3.11
35,IREN Ltd. (IREN),92.2K,5.71,-0.19,-3.22
36,Riot Platforms Inc. (RIOT),124.1K,7.12,-0.26,-3.46
37,Baker Hughes Co. (BKR),117.2K,37.41,-1.34,-3.46
38,Moderna Inc. (MRNA),72.5K,25.74,-0.93,-3.49
39,Rocket Lab USA Inc. (RKLB),197.6K,19.82,-0.77,-3.72
40,Mattel Inc. (MAT),57.3K,15.22,-0.64,-4.04
41,CommScope Holding Co. Inc. (COMM),50.7K,3.7,-0.16,-4.15
42,Qualcomm Inc. (QCOM),106.8K,137.42,-6.17,-4.3
43,Super Micro Computer Inc. (SMCI),263.8K,35.05,-1.66,-4.52
44,Shopify Inc. (SHOP),99.4K,87.23,-4.17,-4.56
45,Lam Research Corp. (LRCX),167.5K,67.82,-3.29,-4.63
46,Robinhood Markets Inc. (HOOD),333.3K,40.22,-1.99,-4.7
47,Applied Materials Inc. (AMAT),102.2K,142.66,-7.07,-4.72
48,MicroStrategy Inc. (MSTR),101.8K,282.63,-14.23,-4.79
49,Affirm Holdings Inc. Cl A (AFRM),88.8K,42.17,-2.13,-4.81
50,MARA Holdings Inc. (MARA),341.0K,11.71,-0.6,-4.87
51,Novavax Inc. (NVAX),94.4K,6.41,-0.34,-5.04
52,TeraWulf Inc. (WULF),65.4K,2.45,-0.13,-5.04
53,Credo Technology Group Holding Ltd. (CRDO),63.2K,41.02,-2.25,-5.2
54,Analog Devices Inc. (ADI),53.8K,186.0,-10.63,-5.41
55,Broadcom Inc. (AVGO),453.6K,175.0,-10.15,-5.48
56,Advanced Micro Devices Inc. (AMD),543.7K,91.43,-5.41,-5.59
57,Skyworks Solutions Inc. (SWKS),56.5K,56.74,-3.53,-5.86
58,Patterson-UTI Energy Inc. (PTEN),61.1K,6.15,-0.41,-6.25
59,Carnival Corp. (CCL),61.1K,18.35,-1.26,-6.43
60,Arm Holdings PLC ADR (ARM),154.1K,99.5,-7.09,-6.65
61,ON Semiconductor Corp. (ON),97.1K,36.45,-2.75,-7.01
62,Stellantis N.V. (STLA),98.5K,9.24,-0.88,-8.7
63,Red Cat Holdings Inc. (RCAT),107.1K,6.67,-0.78,-10.47
