,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,RXRX,"Recursion Pharmaceuticals, Inc.",,5.76 +1.25 (+27.72%),1.25,+27.72%,82.767M,24.068M,2.315B,-,-46.37%,
1,CERT,"Certara, Inc.",,12.91 +2.40 (+22.84%),2.4,+22.84%,9.651M,1.514M,2.085B,-,-40.52%,
2,ZLAB,Zai Lab Limited,,29.54 +5.22 (+21.46%),5.22,+21.46%,2.996M,1.075M,3.743B,-,69.95%,
3,HNHPF,"Hon Hai Precision Industry Co., Ltd.",,8.35 +1.15 (+16.24%),1.15,+16.24%,19275,54987,61.412B,12.85,-22.11%,
4,SMMT,Summit Therapeutics Inc.,,23.24 +3.09 (+15.33%),3.09,+15.33%,6.572M,2.675M,17.144B,-,449.80%,
5,CRSP,CRISPR Therapeutics AG,,39.30 +5.04 (+14.71%),5.04,+14.71%,3.627M,2.278M,3.371B,-,-43.53%,
6,KC,Kingsoft Cloud Holdings Limited,,14.22 +1.57 (+12.41%),1.57,+12.41%,5.044M,3.979M,3.596B,-,368.52%,
7,GLNG,Golar LNG Limited,,37.27 +3.88 (+11.62%),3.88,+11.62%,3.738M,1.68M,3.899B,77.65,33.72%,
8,XPEV,XPeng Inc.,,20.01 +2.04 (+11.35%),2.04,+11.35%,19.973M,13.024M,19.42B,-,140.88%,
9,PCVX,"Vaxcyte, Inc.",,31.20 +3.16 (+11.27%),3.16,+11.27%,4.047M,1.901M,4.017B,-,-54.69%,
10,BBAR,Banco BBVA Argentina S.A.,,17.83 +1.77 (+11.02%),1.77,+11.02%,987939,747954,4.653B,10.87,84.81%,
11,FRO,Frontline plc,,15.51 +1.48 (+10.51%),1.48,+10.51%,4.559M,3.43M,3.452B,6.95,-41.74%,
12,AU,AngloGold Ashanti plc,,42.79 +3.94 (+10.14%),3.94,+10.14%,6.617M,2.725M,21.546B,18.36,62.89%,
13,GGAL,Grupo Financiero Galicia S.A.,,53.87 +4.95 (+10.12%),4.95,+10.12%,2.353M,1.161M,11.475B,5.68,65.21%,
14,BMA,Banco Macro S.A.,,78.70 +7.20 (+10.07%),7.2,+10.07%,697244,354633,6.619B,10.31,38.94%,
15,MPWR,"Monolithic Power Systems, Inc.",,533.13 +48.42 (+9.99%),48.42,+9.99%,2.065M,1.017M,25.519B,14.57,-26.36%,
16,MSTR,Strategy Incorporated,,299.98 +27.64 (+10.15%),27.64,+10.15%,21.011M,18.737M,79.848B,-,84.07%,
17,RNECY,Renesas Electronics Corporation,,5.90 +0.52 (+9.67%),0.52,+9.67%,218729,889719,22.285B,14.39,-36.01%,
18,HCM,HUTCHMED (China) Limited,,13.72 +1.19 (+9.50%),1.19,+9.50%,192466,98040,2.346B,68.60,-29.92%,
19,AUOTY,AUO Corporation,,5.18 +0.44 (+9.30%),0.44,+9.30%,33169,81962,3.909B,-,-13.97%,
20,VONOY,Vonovia SE,,15.41 +1.28 (+9.07%),1.28,+9.07%,33019,92135,25.36B,-,5.93%,
21,YPF,YPF Sociedad Anónima,,30.05 +2.47 (+8.96%),2.47,+8.96%,3.262M,2.041M,15.592B,5.02,30.28%,
22,IMPUY,Impala Platinum Holdings Limited,,6.07 +0.49 (+8.78%),0.49,+8.78%,59600,224969,5.444B,-,4.10%,
23,TGS,Transportadora de Gas del Sur S.A.,,25.30 +2.01 (+8.63%),2.01,+8.63%,293976,330253,5.328B,11.10,37.81%,
24,MRUS,Merus N.V.,,41.97 +3.35 (+8.67%),3.35,+8.67%,832208,715230,2.9B,-,-7.72%,
25,CRNX,"Crinetics Pharmaceuticals, Inc.",,29.11 +2.26 (+8.42%),2.26,+8.42%,1.358M,1.086M,2.709B,-,-39.78%,
26,TEO,Telecom Argentina S.A.,,11.04 +0.87 (+8.55%),0.87,+8.55%,271759,191583,4.219B,5.06,34.88%,
27,DSCSY,Disco Corporation,,19.36 +1.50 (+8.49%),1.5,+8.49%,51949,270575,21.982B,25.47,-50.24%,
28,MHVIY,Mitsubishi Heavy Industries Ltd,,35.23 +2.73 (+8.40%),2.73,+8.40%,19479,981894,61.667B,33.55,33.41%,
29,HCC,"Warrior Met Coal, Inc.",,47.41 +3.65 (+8.33%),3.65,+8.33%,918758,983429,2.492B,9.90,-30.00%,
30,VIST,"Vista Energy, S.A.B. de C.V.",,38.13 +2.85 (+8.08%),2.85,+8.08%,1.184M,988743,4.045B,8.24,-18.41%,
31,STM,STMicroelectronics N.V.,,20.44 +1.51 (+7.97%),1.51,+7.97%,9.767M,8.005M,18.271B,12.31,-53.92%,
32,AGX,"Argan, Inc.",,148.30 +10.30 (+7.46%),10.3,+7.46%,362949,459114,2.022B,24.11,130.89%,
33,BURBY,Burberry Group plc,,9.09 +0.66 (+7.83%),0.66,+7.83%,99374,86909,3.265B,64.93,-41.97%,
34,HOOD,"Robinhood Markets, Inc.",,43.68 +3.17 (+7.83%),3.17,+7.83%,50.918M,41.626M,38.677B,28.00,125.43%,
35,ORLA,Orla Mining Ltd.,,10.64 +0.76 (+7.69%),0.76,+7.69%,1.807M,1.154M,3.431B,39.41,149.49%,
36,NEM,Newmont Corporation,,54.97 +4.03 (+7.91%),4.03,+7.91%,29.151M,11.482M,61.965B,19.22,31.83%,
37,HII,"Huntington Ingalls Industries, Inc.",,215.82 +14.93 (+7.43%),14.93,+7.43%,1.376M,803451,8.468B,15.46,-27.14%,
38,ANGPY,Anglo American Platinum Limited,,5.97 +0.42 (+7.57%),0.42,+7.57%,50567,129830,9.467B,25.96,-24.06%,
39,CDE,"Coeur Mining, Inc.",,5.92 +0.43 (+7.83%),0.43,+7.83%,17.764M,20.102M,3.784B,39.47,18.32%,
40,FUTU,Futu Holdings Limited,,80.39 +5.58 (+7.46%),5.58,+7.46%,5.046M,3.141M,11.088B,16.08,30.13%,
41,EGO,Eldorado Gold Corporation,,19.33 +1.33 (+7.39%),1.33,+7.39%,3.944M,2.13M,3.972B,13.24,18.89%,
42,EC,Ecopetrol S.A.,,8.82 +0.59 (+7.16%),0.59,+7.16%,3.216M,2.908M,19.184B,5.62,-29.66%,
43,IPXHY,Inpex Corporation,,12.43 +0.83 (+7.16%),0.83,+7.16%,27661,151838,15.471B,5.24,-30.11%,
44,BACHY,Bank of China Limited,,14.08 +0.93 (+7.07%),0.93,+7.07%,20014,37174,213.748B,5.50,28.17%,
45,SLNO,"Soleno Therapeutics, Inc.",,67.23 +4.36 (+6.93%),4.36,+6.93%,978584,1.102M,3.083B,-,69.28%,
46,WFRD,Weatherford International plc,,43.00 +2.88 (+7.18%),2.88,+7.18%,1.758M,1.528M,3.132B,6.37,-65.90%,
47,GOLD,Barrick Gold Corporation,,20.59 +1.35 (+7.02%),1.35,+7.02%,39.865M,24.731M,35.412B,16.88,7.73%,
48,VRNA,Verona Pharma plc,,57.71 +3.78 (+7.01%),3.78,+7.01%,958553,1.458M,7.682B,-,238.97%,
49,PPRUY,Kering SA,,19.54 +1.26 (+6.89%),1.26,+6.89%,108909,394227,23.956B,19.35,-50.78%,
50,ALVO,Alvotech,,8.79 +0.59 (+7.20%),0.59,+7.20%,106422,162337,2.653B,-,-33.01%,
51,GLNCY,Glencore plc,,6.78 +0.43 (+6.77%),0.43,+6.77%,319808,1.21M,40.855B,-,-47.07%,
52,CRK,"Comstock Resources, Inc.",,19.36 +1.31 (+7.26%),1.31,+7.26%,2.038M,2.48M,5.671B,-,88.81%,
53,RGEN,Repligen Corporation,,122.86 +7.67 (+6.66%),7.67,+6.66%,976232,744175,6.902B,-,-32.85%,
54,MRNA,"Moderna, Inc.",,26.20 +1.70 (+6.94%),1.7,+6.94%,10.96M,11.892M,10.13B,-,-76.70%,
55,GT,The Goodyear Tire & Rubber Company,,9.67 +0.61 (+6.73%),0.61,+6.73%,7.902M,6.338M,2.757B,40.29,-26.16%,
56,NUVL,"Nuvalent, Inc.",,66.29 +4.30 (+6.94%),4.3,+6.94%,583728,564345,4.746B,-,-5.37%,
57,SRRK,Scholar Rock Holding Corporation,,28.00 +1.69 (+6.42%),1.69,+6.42%,1.751M,1.078M,2.651B,-,95.61%,
58,PAM,Pampa Energía S.A.,,69.60 +4.54 (+6.98%),4.54,+6.98%,202973,251880,4.894B,6.05,44.00%,
59,INTR,"Inter & Co, Inc.",,5.40 +0.34 (+6.72%),0.34,+6.72%,3.021M,2.758M,2.374B,15.88,-5.95%,
60,HTHIY,"Hitachi, Ltd.",,22.58 +1.42 (+6.71%),1.42,+6.71%,50970,281975,108.247B,26.56,-43.89%,
61,MUSA,Murphy USA Inc.,,513.73 +31.55 (+6.54%),31.55,+6.54%,541065,253901,10.169B,21.31,16.97%,
62,CART,Maplebear Inc.,,41.17 +2.57 (+6.66%),2.57,+6.66%,4.892M,4.51M,10.808B,26.06,2.09%,
63,CHWY,"Chewy, Inc.",,34.68 +2.10 (+6.45%),2.1,+6.45%,7.241M,5.429M,14.345B,38.11,84.69%,
64,FQVLF,First Quantum Minerals Ltd.,,11.73 +0.73 (+6.64%),0.73,+6.64%,17111,208651,9.785B,-,1.54%,
