,Unnamed: 0,Volume,Last,Chg,% Chg
52,VinFast Auto Ltd. (VFS),332.9K,3.2,0.2,6.61
53,Skeena Resources Ltd. (SKE),326.7K,12.15,0.75,6.58
54,Alto Neuroscience Inc. (ANRO),117.6K,2.22,0.14,6.49
55,Heidmar Maritime Holdings Corp. (HMR),542.8K,2.97,0.18,6.45
56,Edgewise Therapeutics Inc. (EWTX),1.1M,13.09,0.76,6.16
57,Carvana Co. Cl A (CVNA),2.8M,217.2,12.47,6.09
58,SuperCom Ltd. (SPCB),102.8K,6.45,0.37,6.09
59,Enanta Pharmaceuticals Inc. (ENTA),74.0K,5.23,0.3,6.09
60,Netflix Inc. (NFLX),4.6M,987.59,56.31,6.05
61,Zenas BioPharma Inc. (ZBIO),53.4K,9.01,0.51,6.0
62,Sun Country Airlines Holdings Inc. (SNCY),283.5K,10.26,0.58,5.99
63,CervoMed Inc. (CRVO),672.4K,10.25,0.57,5.89
64,Gorilla Technology Group Inc. (GRRR),1.2M,19.16,1.05,5.8
65,Arq Inc. (ARQ),130.7K,3.77,0.2,5.61
66,Crexendo Inc. (CXDO),57.8K,4.72,0.25,5.61
67,REGENXBIO Inc. (RGNX),449.9K,6.68,0.35,5.61
68,Raytech Holding Ltd. (RAY),747.1K,2.67,0.14,5.52
69,Intercont (Cayman) Ltd. (NCT),203.7K,6.0,0.3,5.26
70,CrowdStrike Holdings Inc. Cl A (CRWD),2.2M,398.51,19.85,5.24
71,Oruka Therapeutics Inc. (ORKA),102.0K,8.56,0.42,5.16
72,Scholar Rock Holding Corp. (SRRK),700.7K,30.4,1.48,5.1
73,CommScope Holding Co. Inc. (COMM),1.6M,3.62,0.17,5.09
74,Surrozen Inc. (SRZN),55.0K,9.97,0.48,5.06
75,MakeMyTrip Ltd. (MMYT),494.0K,102.9,4.95,5.05
76,Paymentus Holdings Inc. (PAY),185.9K,29.39,1.39,4.96
77,Pagaya Technologies Ltd. (PGY),519.7K,9.95,0.47,4.96
78,Planet Labs PBC (PL),1.7M,3.3,0.15,4.94
79,Hewlett Packard Enterprise Co. (HPE),26.1M,14.98,0.7,4.94
80,ViaSat Inc. (VSAT),768.7K,8.81,0.41,4.89
81,Aligos Therapeutics Inc. (ALGS),185.8K,4.84,0.23,4.88
82,PTC Therapeutics Inc. (PTCT),725.6K,47.26,2.19,4.85
83,Mingteng International Corp. Inc. (MTEN),59.3K,4.3,0.2,4.85
84,fuboTV Inc. (FUBO),8.2M,3.02,0.14,4.83
85,Spotify Technology S.A. (SPOT),1.3M,575.46,26.29,4.79
86,Haoxin Holdings Ltd. (HXHX),3.4M,4.19,0.19,4.75
87,Upstream Bio Inc. (UPB),107.3K,7.94,0.36,4.75
88,Palantir Technologies Inc. (PLTR),61.5M,97.02,4.39,4.75
89,Palladyne AI Corp. (PDYN),265.2K,6.1,0.28,4.72
90,Tonix Pharmaceuticals Holding Corp. (TNXP),315.7K,16.91,0.76,4.71
91,Roblox Corp. (RBLX),2.9M,59.58,2.67,4.7
92,CuriosityStream Inc. (CURI),77.7K,2.69,0.12,4.67
93,OP Bancorp (OPBK),60.4K,11.1,0.49,4.67
94,Lufax Holding Ltd. ADR (LU),4.6M,2.58,0.12,4.66
95,Yext Inc. (YEXT),456.6K,6.18,0.28,4.65
96,Ambac Financial Group Inc. (AMBC),234.2K,6.98,0.31,4.65
97,Magnachip Semiconductor Corp. (MX),215.6K,2.98,0.13,4.61
98,Fulton Financial Corp. (FULT),1.1M,16.39,0.71,4.56
99,MaxLinear Inc. (MXL),282.6K,10.35,0.45,4.55
