,Unnamed: 0,Volume,Last,Chg,% Chg
0,Knightscope Inc. (KSCP),498.0K,3.85,0.85,28.33
1,Dogwood Therapeutics Inc. (DWTX),17.9M,3.83,0.83,27.67
2,USA Rare Earth Inc. (USAR),7.3M,14.91,3.16,26.88
3,Phio Pharmaceuticals Corp. (PHIO),2.4M,2.75,0.55,24.98
4,Verve Therapeutics Inc. (VERV),18.6M,5.1,0.98,23.79
5,Ivanhoe Electric Inc. (IE),1.8M,6.08,1.03,20.4
6,VCI Global Ltd. (VCIG),401.5K,3.11,0.52,20.15
7,Venus Concept Inc. (VERO),606.1K,4.48,0.73,19.47
8,Forge Global Holdings Inc. (FRGE),695.8K,11.5,1.87,19.44
9,Ruanyun Edai Technology Inc. (RYET),224.1K,6.11,0.89,17.07
10,IperionX Ltd. ADR (IPX),84.2K,17.45,2.44,16.26
11,Precision Biosciences Inc. (DTIL),606.0K,5.18,0.72,16.14
12,Eos Energy Enterprises Inc. (EOSE),8.0M,4.89,0.68,16.0
13,Anteris Technologies Global Corp. (AVR),159.4K,2.99,0.41,15.89
14,Binah Capital Group Inc. (BCG),99.0K,2.5,0.29,13.16
15,Reitar Logtech Holdings Ltd. (RITR),256.0K,4.18,0.48,12.97
16,Auddia Inc. (AUUD),232.3K,4.86,0.51,11.78
17,Janover Inc. (JNVR),468.9K,73.67,7.73,11.72
18,Redwire Corp. (RDW),882.4K,10.13,1.05,11.59
19,NioCorp Developments Ltd. (NB),2.3M,2.72,0.28,11.48
20,Yatsen Holding Ltd. ADR (YSG),68.6K,4.09,0.41,11.14
21,Marwynn Holdings Inc. (MWYN),1.7M,5.06,0.5,10.96
22,Microbot Medical Inc. (MBOT),5.9M,2.52,0.24,10.75
23,Bicycle Therapeutics Ltd. ADR (BCYC),331.2K,7.78,0.71,10.04
24,Rocket Pharmaceuticals Inc. (RCKT),2.5M,6.48,0.57,9.64
25,Newsmax Inc. Cl B (NMAX),2.9M,28.47,2.47,9.5
26,iTeos Therapeutics Inc. (ITOS),316.0K,6.05,0.52,9.4
27,Contango ORE Inc. (CTGO),102.8K,13.5,1.16,9.4
28,Lexeo Therapeutics Inc. (LXEO),320.3K,2.34,0.2,9.35
29,Mammoth Energy Services Inc. (TUSK),105.4K,2.48,0.21,9.33
30,Cingulate Inc. (CING),83.7K,4.39,0.37,9.2
31,Aeva Technologies Inc. (AEVA),1.4M,7.84,0.66,9.19
32,electroCore Inc. (ECOR),53.1K,6.38,0.51,8.59
33,authID Inc. (AUID),188.8K,7.65,0.6,8.51
34,E.W. Scripps Co. Cl A (SSP),528.3K,2.24,0.17,8.5
35,Rocket Lab USA Inc. (RKLB),20.8M,20.7,1.57,8.21
36,Amplify Energy Corp. (AMPY),828.2K,2.48,0.18,8.04
37,Zhengye Biotechnology Holding Ltd. (ZYBT),243.3K,5.52,0.4,7.81
38,BioNexus Gene Lab Corp. (BGLC),119.6K,2.5,0.18,7.76
39,Top Win International Ltd. (TOPW),743.3K,2.55,0.18,7.59
40,4D Molecular Therapeutics Inc. (FDMT),379.8K,2.99,0.21,7.55
41,Telefon AB L.M. Ericsson ADR (ERIC),30.3M,8.01,0.56,7.45
42,Duos Technologies Group Inc. (DUOT),59.1K,5.23,0.36,7.39
43,ServiceTitan Inc. Cl A (TTAN),249.4K,113.1,7.72,7.33
44,High Roller Technologies Inc. (ROLR),59.0K,2.93,0.19,6.97
45,Trump Media & Technology Group Corp. (DJT),4.0M,20.23,1.3,6.87
46,NexPoint Diversified Real Estate Trust (NXDT),68.4K,3.74,0.24,6.86
47,Valens Semiconductor Ltd. (VLN),283.4K,2.44,0.15,6.77
48,Corvus Pharmaceuticals Inc. (CRVS),591.5K,3.24,0.2,6.77
49,Sezzle Inc. (SEZL),337.6K,42.09,2.66,6.75
50,LendingTree Inc. (TREE),80.7K,45.91,2.9,6.73
51,Blackboxstocks Inc. (BLBX),75.2K,3.31,0.21,6.72
