,Unnamed: 0,Volume,Last,Chg,% Chg
0,Webull Corp. Cl A (BULL),21.7M,57.84,44.59,336.53
1,USA Rare Earth Inc. (USAR),7.1M,12.91,4.6,55.35
2,Third Harmonic Bio Inc. (THRD),11.4M,5.08,1.44,39.56
3,Wellgistics Health Inc. (WGRX),288.5K,3.93,1.04,35.99
4,Metsera Inc. (MTSR),1.2M,18.53,4.53,32.36
5,Better Home & Finance Holding Co. (BETR),155.4K,12.9,2.62,25.49
6,NanoVibronix Inc. (NAOV),687.9K,8.41,1.64,24.23
7,Waton Financial Ltd. (WTF),1.0M,7.76,1.44,22.78
8,Critical Metals Corp. (CRML),8.5M,2.64,0.48,22.1
9,Capstone Holding Corp. (CAPS),54.1K,2.88,0.5,21.01
10,Zhengye Biotechnology Holding Ltd. (ZYBT),138.1K,4.87,0.81,19.95
11,Janover Inc. (JNVR),656.9K,60.2,8.99,17.56
12,MP Materials Corp. (MP),12.1M,26.66,3.98,17.55
13,BriaCell Therapeutics Corp. (BCTX),129.6K,5.11,0.76,17.47
14,Sonder Holdings Inc. (SOND),61.7K,2.61,0.36,16.0
15,NioCorp Developments Ltd. (NB),1.7M,2.38,0.33,15.78
16,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),235.9K,33.24,4.5,15.66
17,Verve Therapeutics Inc. (VERV),22.6M,3.76,0.5,15.34
18,American Rebel Holdings Inc. (AREB),9.7M,7.09,0.88,14.17
19,Ruanyun Edai Technology Inc. (RYET),243.2K,5.38,0.62,13.03
20,Grupo Supervielle S.A. ADR (SUPV),2.0M,14.77,1.68,12.83
21,Nova Minerals Ltd. ADR (NVA),100.8K,12.41,1.41,12.82
22,MasterBeef Group (MB),967.8K,3.6,0.4,12.38
23,Antelope Enterprise Holdings Ltd. (AEHL),201.4K,3.18,0.35,12.37
24,Banco Macro S.A. ADR (BMA),814.2K,88.33,9.48,12.02
25,Cara Therapeutics Inc. (CARA),84.7K,5.48,0.58,11.84
26,Satellogic Inc. (SATL),1.1M,4.19,0.44,11.73
27,Grupo Financiero Galicia S.A. ADR (GGAL),2.8M,60.11,6.24,11.58
28,Banco BBVA Argentina S.A. ADR (BBAR),743.8K,19.83,2.04,11.47
29,Amesite Inc. (AMST),233.7K,2.3,0.23,11.11
30,Qudian Inc. ADR (QD),755.4K,2.63,0.26,10.97
31,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),706.3K,11.09,1.08,10.79
32,Byrna Technologies Inc. (BYRN),626.4K,19.86,1.93,10.74
33,JinkoSolar Holding Co. Ltd. ADR (JKS),1.1M,15.96,1.54,10.68
34,Tectonic Therapeutic Inc. (TECX),66.3K,17.82,1.66,10.27
35,iOThree Ltd. (IOTR),159.5K,3.73,0.34,10.03
36,Cybin Inc. (CYBN),298.6K,7.46,0.67,9.78
37,Jiayin Group Inc. ADR (JFIN),122.8K,11.07,0.98,9.71
38,YPF S.A. ADR (YPF),3.7M,32.87,2.84,9.46
39,Certara Inc. (CERT),2.8M,14.07,1.16,8.99
40,Structure Therapeutics Inc. ADR (GPCR),570.4K,17.32,1.42,8.92
41,Transportadora de Gas del Sur S.A. ADR (TGS),409.9K,27.64,2.25,8.86
42,Eason Technology Ltd. ADR (DXF),63.0K,6.3,0.5,8.62
43,LENZ Therapeutics Inc. (LENZ),142.9K,22.0,1.74,8.56
44,ImmunityBio Inc. (IBRX),4.6M,2.85,0.22,8.32
45,Pampa Energia S.A. ADR (PAM),403.5K,75.37,5.78,8.31
46,MarketWise Inc. (MKTW),91.9K,14.48,1.11,8.3
47,LexinFintech Holdings Ltd. ADR (LX),2.8M,7.2,0.55,8.18
48,Niu Technologies ADR (NIU),1.1M,2.98,0.23,8.15
49,Serve Robotics Inc. (SERV),4.1M,5.74,0.43,8.1
50,Youdao Inc. ADR (DAO),70.8K,7.34,0.55,8.03
51,Viking Therapeutics Inc. (VKTX),6.1M,23.98,1.76,7.92
52,HUTCHMED (China) Ltd. ADR (HCM),69.5K,14.8,1.07,7.84
53,Qifu Technology Inc. ADR (QFIN),1.4M,39.22,2.85,7.82
54,Cardiff Oncology Inc. (CRDF),1.1M,2.66,0.19,7.69
55,Central Puerto S.A. ADR (CEPU),310.6K,11.52,0.82,7.66
56,X Financial ADR (XYF),189.0K,11.59,0.82,7.59
57,SunRun Inc. (RUN),6.0M,6.76,0.47,7.39
58,MOGU Inc. ADR (MOGU),74.2K,2.21,0.15,7.36
59,EHang Holdings Ltd. ADR (EH),1.4M,15.5,1.06,7.34
60,IRSA-Inversiones y Representaciones S.A. GDR (IRS),200.7K,13.7,0.93,7.28
61,Oramed Pharmaceuticals Inc. (ORMP),72.4K,2.26,0.15,7.11
62,Valens Semiconductor Ltd. (VLN),745.2K,2.26,0.15,7.11
63,Yiren Digital Ltd. ADR (YRD),50.9K,5.7,0.37,6.99
64,Outset Medical Inc. (OM),93.3K,10.87,0.71,6.99
65,Cadiz Inc. (CDZI),304.3K,2.56,0.17,6.88
66,NextDecade Corp. (NEXT),1.2M,7.31,0.47,6.87
67,Brookdale Senior Living Inc. (BKD),2.2M,6.14,0.4,6.87
68,Cresud S.A.C.I.F. y A. ADR (CRESY),261.0K,11.36,0.72,6.81
69,Atour Lifestyle Holdings Ltd. ADR (ATAT),1.7M,23.7,1.49,6.71
70,Protalix BioTherapeutics Inc. (PLX),576.2K,2.57,0.16,6.64
71,Caesarstone Ltd. (CSTE),75.7K,3.16,0.2,6.57
72,authID Inc. (AUID),77.5K,6.05,0.37,6.5
73,Kiniksa Pharmaceuticals International PLC (KNSA),225.8K,20.53,1.22,6.32
74,United States Antimony Corp. (UAMY),4.1M,2.96,0.17,6.27
75,NeoGenomics Inc. (NEO),660.4K,9.9,0.58,6.22
76,Tianci International Inc. (CIIT),57.5K,2.92,0.17,6.18
77,Perpetua Resources Corp. (PPTA),616.4K,12.55,0.72,6.09
78,scPharmaceuticals Inc. (SCPH),223.4K,2.46,0.14,6.03
79,Vista Energy S.A.B. de C.V. ADR (VIST),1.5M,40.45,2.3,6.03
80,Rocket Pharmaceuticals Inc. (RCKT),1.5M,5.58,0.32,5.98
81,Summit Therapeutics Inc. (SMMT),4.1M,24.61,1.37,5.9
82,Futu Holdings Ltd. ADR (FUTU),3.4M,85.09,4.7,5.85
83,Beam Therapeutics Inc. (BEAM),1.3M,16.37,0.9,5.82
84,Gauzy Ltd. (GAUZ),82.7K,8.99,0.49,5.76
85,Protara Therapeutics Inc. (TARA),128.8K,4.14,0.23,5.75
86,Viridian Therapeutics Inc. (VRDN),285.4K,12.71,0.69,5.74
87,SolarEdge Technologies Inc. (SEDG),2.4M,13.49,0.73,5.72
88,Daqo New Energy Corp. ADR (DQ),305.8K,14.6,0.79,5.72
89,Astria Therapeutics Inc. (ATXS),87.9K,4.27,0.23,5.69
90,Mineralys Therapeutics Inc. (MLYS),350.3K,14.16,0.76,5.63
91,Zai Lab Ltd. ADR (ZLAB),1.5M,31.2,1.66,5.62
92,PDD Holdings Inc. ADR (PDD),12.0M,95.54,5.04,5.57
93,XIAO-I Corp. ADR (AIXI),67.0K,2.66,0.14,5.56
94,China Yuchai International Ltd. (CYD),186.9K,16.17,0.84,5.48
95,Alibaba Group Holding Ltd. ADR (BABA),22.5M,113.62,5.89,5.47
96,Silence Therapeutics PLC ADR (SLN),180.6K,2.71,0.14,5.45
97,Monogram Technologies Inc. (MGRM),77.4K,2.66,0.14,5.36
98,BioNTech SE ADR (BNTX),848.5K,101.66,5.14,5.33
99,Sinclair Inc. Cl A (SBGI),299.3K,14.4,0.72,5.3
