,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CERT,"Certara, Inc.",,13.97 +1.06 (+8.21%),1.06,+8.21%,290838,1.669M,2.256B,-,-25.97%,
1,ZLAB,Zai Lab Limited,,31.59 +2.05 (+6.96%),2.05,+6.96%,565563,1.124M,3.464B,-,108.03%,
2,SMMT,Summit Therapeutics Inc.,,23.74 +0.50 (+2.13%),0.5,+2.13%,170955,2.745M,17.509B,-,535.84%,
3,GGAL,Grupo Financiero Galicia S.A.,,61.65 +7.78 (+14.47%),7.78,+14.47%,200464,1.18M,11.392B,6.50,95.18%,
4,CRSP,CRISPR Therapeutics AG,,39.82 +0.52 (+1.32%),0.52,+1.32%,92741,2.306M,3.416B,-,-33.07%,
5,KC,Kingsoft Cloud Holdings Limited,,14.30 +0.08 (+0.59%),0.08,+0.59%,133867,4.061M,3.397B,-,449.03%,
6,GLNG,Golar LNG Limited,,37.88 +0.61 (+1.63%),0.61,+1.63%,35774,1.742M,3.963B,78.92,49.98%,
7,XPEV,XPeng Inc.,,20.80 +0.80 (+3.97%),0.8,+3.97%,835138,13.296M,19.351B,-,177.78%,
8,PCVX,"Vaxcyte, Inc.",,32.26 +1.06 (+3.40%),1.06,+3.40%,21394,1.966M,4.154B,-,-49.99%,
9,BBAR,Banco BBVA Argentina S.A.,,19.60 +1.81 (+11.33%),1.81,+11.33%,56422,741663,4.598B,11.95,118.55%,
10,BMA,Banco Macro S.A.,,88.82 +9.97 (+12.72%),9.97,+12.72%,20928,360047,6.417B,11.64,66.14%,
11,MSTR,Strategy Incorporated,,308.11 +8.13 (+2.71%),8.13,+2.71%,978942,18.839M,82.012B,-,124.56%,
12,AU,AngloGold Ashanti plc,,41.54 -1.25 (-2.92%),-1.25,-2.92%,652305,2.784M,20.918B,17.83,79.71%,
13,MP,MP Materials Corp.,,24.83 +2.15 (+9.46%),2.15,+9.46%,338886,3.536M,4.057B,-,37.45%,
14,MPWR,"Monolithic Power Systems, Inc.",,557.08 +23.95 (+4.49%),23.95,+4.49%,20683,1.048M,26.665B,15.23,-17.55%,
