,Unnamed: 0,Volume,Last,Chg,% Chg
0,Innovative Eyewear Inc. (LUCY),13.3M,4.95,2.5,102.04
1,Janover Inc. (JNVR),3.8M,44.97,17.59,64.24
2,Bionano Genomics Inc. (BNGO),1.6M,4.4,1.32,42.86
3,American Rebel Holdings Inc. (AREB),31.9M,7.25,1.67,29.93
4,60 Degrees Pharmaceuticals Inc. (SXTP),3.2M,3.1,0.6,24.0
5,Junee Ltd. (JUNE),109.8K,10.01,1.69,20.37
6,Genfit S.A. ADR (GNFT),118.2K,3.26,0.55,20.07
7,Keros Therapeutics Inc. (KROS),4.0M,12.24,1.91,18.49
8,Verde Clean Fuels Inc. Cl A (VGAS),68.0K,3.82,0.56,17.18
9,Baosheng Media Group Holdings Ltd. (BAOS),551.8K,2.47,0.36,17.06
10,U.S. Gold Corp. (USAU),561.7K,10.02,1.44,16.78
11,Lovesac Co. (LOVE),2.6M,18.49,2.56,16.07
12,USA Rare Earth Inc. (USAR),692.3K,8.49,1.12,15.2
13,United States Antimony Corp. (UAMY),7.3M,2.54,0.3,13.62
14,Neogen Corp. (NEOG),15.5M,5.63,0.61,12.15
15,Click Holdings Ltd. (CLIK),3.1M,3.05,0.31,11.31
16,Alaunos Therapeutics Inc. (TCRT),213.6K,2.86,0.29,11.28
17,Harmony Gold Mining Co. Ltd. ADR (HMY),12.3M,16.28,1.59,10.82
18,Mint Inc. Cl A (MIMI),93.7K,4.1,0.4,10.81
19,Nutex Health Inc. (NUTX),190.8K,114.75,10.96,10.56
20,Summit Therapeutics Inc. (SMMT),8.3M,20.15,1.92,10.53
21,Maxeon Solar Technologies Ltd. (MAXN),295.3K,3.28,0.31,10.44
22,Skeena Resources Ltd. (SKE),701.0K,10.17,0.91,9.83
23,Universe Pharmaceuticals Inc. (UPC),90.8K,3.6,0.32,9.76
24,Byrna Technologies Inc. (BYRN),1.8M,18.08,1.5,9.05
25,ASP Isotopes Inc. (ASPI),3.1M,5.44,0.45,9.02
26,BioAge Labs Inc. (BIOA),339.5K,3.43,0.28,8.89
