,Unnamed: 0,Volume,Last,Chg,% Chg
27,Gold Fields Ltd. ADR (GFI),6.0M,23.38,1.83,8.49
28,Fortuna Mining Corp. (FSM),18.0M,6.23,0.48,8.35
29,Olema Pharmaceuticals Inc. (OLMA),1.2M,3.41,0.26,8.25
30,Certara Inc. (CERT),2.8M,10.51,0.78,8.02
31,DRDGOLD Ltd. ADR (DRD),714.4K,15.27,1.1,7.76
32,Ginkgo Bioworks Holdings Inc. (DNA),1.8M,7.3,0.52,7.67
33,iCoreConnect Inc. (ICCT),15.3M,3.97,0.28,7.59
34,Satellogic Inc. (SATL),570.0K,3.78,0.26,7.39
35,SBC Medical Group Holdings Inc. (SBC),67.1K,3.4,0.23,7.26
36,Marti Technologies Inc. (MRT),57.5K,2.84,0.19,7.17
37,Osisko Gold Royalties Ltd. (OR),1.7M,21.84,1.43,7.01
38,Arqit Quantum Inc. (ARQQ),396.3K,14.37,0.94,7.0
39,PriceSmart Inc. (PSMT),666.1K,91.76,5.97,6.96
40,Top Win International Ltd. (TOPW),475.0K,2.37,0.15,6.76
41,AngloGold Ashanti PLC (AU),3.6M,38.86,2.44,6.71
42,Alignment Healthcare Inc. (ALHC),3.8M,19.78,1.24,6.69
43,Orla Mining Ltd. (ORLA),2.3M,9.88,0.6,6.52
44,Contango ORE Inc. (CTGO),128.2K,10.87,0.66,6.46
45,Cybin Inc. (CYBN),416.9K,5.77,0.35,6.46
46,Heritage Insurance Holdings Inc. (HRTG),235.6K,16.14,0.97,6.43
47,Raytech Holding Ltd. (RAY),3.6M,2.35,0.14,6.33
48,agilon health inc. (AGL),6.9M,5.5,0.33,6.27
49,Mingteng International Corp. Inc. (MTEN),109.1K,4.42,0.26,6.25
50,Belite Bio Inc. ADR (BLTE),94.6K,58.52,3.42,6.21
51,GSI Technology Inc. (GSIT),245.3K,2.5,0.14,6.14
52,Vox Royalty Corp. (VOXR),301.7K,2.94,0.17,6.14
53,IAMGOLD Corp. (IAG),32.0M,6.88,0.37,5.68
54,Callan JMB Inc. (CJMB),152.5K,4.12,0.22,5.64
55,B2Gold Corp. (BTG),51.1M,3.06,0.16,5.52
56,Agnico Eagle Mines Ltd. (AEM),6.6M,111.63,5.83,5.51
57,Alamos Gold Inc. (AGI),5.1M,27.98,1.45,5.44
58,Massimo Group (MAMO),95.7K,2.58,0.13,5.31
59,Eldorado Gold Corp. (EGO),2.4M,18.0,0.91,5.3
60,Vision Marine Technologies Inc. (VMAR),108.3K,5.79,0.29,5.27
61,Li Auto Inc. ADR (LI),10.8M,22.25,1.11,5.25
62,SK Growth Opportunities Corp. Cl A (SKGR),163.2K,12.03,0.59,5.16
63,Kinross Gold Corp. (KGC),22.4M,13.69,0.67,5.15
64,Sandstorm Gold Ltd. (SAND),5.4M,7.6,0.37,5.12
65,EyePoint Pharmaceuticals Inc. (EYPT),1.3M,4.8,0.23,5.03
66,Jiuzi Holdings Inc. (JZXN),104.0K,5.01,0.24,5.03
67,GDS Holdings Ltd. ADR (GDS),5.3M,20.39,0.96,4.94
68,CDT Environmental Technology Investment Holdings Ltd. (CDTG),214.9K,2.34,0.11,4.93
69,Franco-Nevada Corp. (FNV),1.5M,157.44,7.22,4.81
70,New Gold Inc. (NGD),26.8M,3.4,0.15,4.78
71,ThredUp Inc. Cl A (TDUP),1.9M,3.3,0.15,4.76
72,Agora Inc. ADR (API),932.3K,3.14,0.14,4.67
73,Aris Mining Corp. (ARMN),1.8M,5.11,0.23,4.61
74,Newmont Corp. (NEM),18.8M,50.95,2.2,4.51
75,Dakota Gold Corp. (DC),367.5K,2.78,0.12,4.51
76,Ruanyun Edai Technology Inc. (RYET),1.5M,4.43,0.19,4.48
77,Worksport Ltd. (WKSP),96.0K,3.28,0.14,4.46
78,Natural Grocers by Vitamin Cottage Inc. (NGVC),171.8K,46.91,2.0,4.45
79,Idaho Strategic Resources Inc. (IDR),401.4K,16.45,0.7,4.44
80,Enact Holdings Inc. (ACT),1.7M,34.84,1.47,4.41
81,Wheaton Precious Metals Corp. (WPM),2.8M,77.85,3.23,4.33
82,Pro-Dex Inc. (PDEX),50.2K,61.1,2.47,4.21
83,YSX Tech. Co. Ltd. (YSXT),214.1K,3.29,0.13,4.11
84,Seabridge Gold Inc. (SA),1.3M,11.15,0.44,4.11
85,Red Robin Gourmet Burgers Inc. (RRGB),231.8K,3.06,0.12,4.08
86,Yalla Group Ltd. ADR (YALA),869.3K,5.38,0.21,4.06
87,Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),156.7K,2.45,0.1,4.03
88,Bluejay Diagnostics Inc. (BJDX),2.5M,2.58,0.1,4.03
89,Ascendis Pharma A/S ADR (ASND),648.8K,143.33,5.49,3.98
90,Metalla Royalty & Streaming Ltd. (MTA),595.5K,3.02,0.12,3.97
91,HCI Group Inc. (HCI),130.9K,145.45,5.48,3.92
92,Royal Gold Inc. (RGLD),860.0K,170.97,6.43,3.91
93,Equinox Gold Corp. (EQX),21.7M,6.49,0.24,3.84
94,Centerra Gold Inc. (CGAU),1.0M,6.25,0.23,3.82
95,Perma-Fix Environmental Services Inc. (PESI),294.9K,7.34,0.27,3.82
96,Thumzup Media Corp. (TZUP),134.0K,4.44,0.16,3.74
97,Simulations Plus Inc. (SLP),531.7K,26.5,0.95,3.73
98,BJ's Wholesale Club Holdings Inc. (BJ),2.6M,117.31,4.21,3.72
99,EUDA Health Holdings Ltd. (EUDA),104.3K,3.64,0.13,3.7
