,Unnamed: 0,Volume,Last,Chg,% Chg
43,P3 Health Partners Inc. (PIII),58.5K,9.79,0.8,8.9
44,BGM Group Ltd. (BGM),128.2K,10.49,0.84,8.7
45,Aeva Technologies Inc. (AEVA),2.4M,7.8,0.62,8.64
46,Y-mAbs Therapeutics Inc. (YMAB),256.2K,5.35,0.42,8.52
47,Blackboxstocks Inc. (BLBX),94.3K,3.36,0.26,8.39
48,High Tide Inc. (HITI),795.0K,2.21,0.17,8.33
49,VinFast Auto Ltd. (VFS),768.5K,3.25,0.25,8.33
50,Telefon AB L.M. Ericsson ADR (ERIC),46.0M,8.07,0.62,8.32
51,Cingulate Inc. (CING),133.7K,4.35,0.33,8.21
52,Sezzle Inc. (SEZL),659.6K,42.46,3.03,7.68
53,Paymentus Holdings Inc. (PAY),630.5K,30.15,2.15,7.68
54,Anixa Biosciences Inc. (ANIX),69.2K,2.85,0.2,7.55
55,iTeos Therapeutics Inc. (ITOS),745.3K,5.94,0.41,7.32
56,NexPoint Diversified Real Estate Trust (NXDT),121.1K,3.76,0.26,7.29
57,Lianhe Sowell International Group Ltd. (LHSW),597.7K,3.99,0.27,7.26
58,Nutex Health Inc. (NUTX),159.6K,138.97,9.3,7.17
59,AlTi Global Inc. (ALTI),97.2K,3.31,0.22,7.12
60,Relay Therapeutics Inc. (RLAY),3.3M,2.75,0.18,6.96
61,VCI Global Ltd. (VCIG),673.9K,2.77,0.18,6.95
62,Corvus Pharmaceuticals Inc. (CRVS),1.3M,3.24,0.21,6.93
63,Eco Wave Power Global AB ADR (WAVE),56.8K,5.99,0.39,6.87
64,Sionna Therapeutics Inc. (SION),122.2K,9.52,0.61,6.85
65,Skeena Resources Ltd. (SKE),524.0K,12.18,0.78,6.84
66,Cidara Therapeutics Inc. (CDTX),115.5K,20.0,1.26,6.72
67,Xencor Inc. (XNCR),920.6K,9.54,0.6,6.71
68,Cineverse Corp. (CNVS),70.7K,2.87,0.18,6.69
69,Heidmar Maritime Holdings Corp. (HMR),651.0K,2.97,0.18,6.45
70,trivago N.V. ADR (TRVG),60.4K,3.66,0.22,6.4
71,Cogent Biosciences Inc. (COGT),1.7M,4.87,0.29,6.33
72,MOGU Inc. ADR (MOGU),210.2K,2.2,0.13,6.28
73,Palantir Technologies Inc. (PLTR),112.9M,98.4,5.78,6.24
74,Arq Inc. (ARQ),237.8K,3.79,0.22,6.16
75,Baiya International Group Inc. (BIYA),114.4K,2.42,0.14,6.14
76,Sonoma Pharmaceuticals Inc. (SNOA),59.6K,2.6,0.15,6.12
77,Wolfspeed Inc. (WOLF),12.0M,2.28,0.13,6.05
78,ZJK Industrial Co. Ltd. (ZJK),61.4K,4.97,0.28,5.97
79,Kodiak Sciences Inc. (KOD),297.0K,2.31,0.13,5.96
80,SaverOne 2014 Ltd. ADR (SVRE),78.9K,2.31,0.13,5.96
81,Tourmaline Bio Inc. (TRML),365.4K,14.93,0.84,5.96
82,ADMA Biologics Inc. (ADMA),6.5M,22.15,1.24,5.93
83,ContextLogic Inc. (LOGC),868.3K,6.94,0.39,5.87
84,Castle Biosciences Inc. (CSTL),413.4K,21.05,1.16,5.83
85,60 Degrees Pharmaceuticals Inc. (SXTP),370.8K,3.45,0.19,5.83
86,CommScope Holding Co. Inc. (COMM),4.4M,3.64,0.2,5.81
87,Duos Technologies Group Inc. (DUOT),148.3K,5.15,0.28,5.75
88,OP Bancorp (OPBK),116.1K,11.21,0.6,5.7
89,Amplify Energy Corp. (AMPY),1.1M,2.43,0.13,5.65
90,Collective Mining Ltd. (CNL),80.2K,10.88,0.58,5.63
91,electroCore Inc. (ECOR),96.9K,6.21,0.33,5.61
92,Ambac Financial Group Inc. (AMBC),618.8K,7.04,0.37,5.55
93,Blaize Holdings Inc. (BZAI),355.6K,3.07,0.16,5.5
94,Rubrik Inc. Cl A (RBRK),2.0M,63.33,3.28,5.46
95,Trump Media & Technology Group Corp. (DJT),6.2M,19.96,1.03,5.44
96,Edgewise Therapeutics Inc. (EWTX),2.0M,13.0,0.67,5.43
97,Under Armour Inc. Cl A (UAA),15.0M,5.74,0.29,5.42
98,GoHealth Inc. (GOCO),51.9K,11.0,0.56,5.41
99,Real Brokerage Inc. (REAX),1.0M,4.7,0.24,5.38
