,Unnamed: 0,Volume,Last,Chg,% Chg
0,Intercont (Cayman) Ltd. (NCT),642.8K,8.12,2.42,42.46
1,Knightscope Inc. (KSCP),2.0M,4.25,1.25,41.67
2,Dogwood Therapeutics Inc. (DWTX),19.8M,4.12,1.12,37.35
3,Ruanyun Edai Technology Inc. (RYET),662.7K,7.0,1.78,34.1
4,Ivanhoe Electric Inc. (IE),3.5M,6.47,1.42,28.12
5,Jiuzi Holdings Inc. (JZXN),59.6K,6.49,1.38,27.01
6,Precision Biosciences Inc. (DTIL),1.0M,5.52,1.06,23.77
7,Forge Global Holdings Inc. (FRGE),996.4K,11.83,2.2,22.86
8,Skillsoft Corp. (SKIL),52.4K,21.25,3.8,21.78
9,Top Win International Ltd. (TOPW),1.1M,2.86,0.49,20.68
10,Verve Therapeutics Inc. (VERV),24.3M,4.97,0.85,20.63
11,Eos Energy Enterprises Inc. (EOSE),12.6M,5.05,0.83,19.67
12,Lexeo Therapeutics Inc. (LXEO),638.2K,2.55,0.41,19.16
13,Anteris Technologies Global Corp. (AVR),447.3K,3.07,0.49,18.99
14,NioCorp Developments Ltd. (NB),3.8M,2.89,0.45,18.44
15,Diginex Ltd. (DGNX),77.9K,138.0,19.02,15.99
16,Alaunos Therapeutics Inc. (TCRT),88.8K,2.9,0.39,15.54
17,USA Rare Earth Inc. (USAR),8.9M,13.52,1.77,15.06
18,IperionX Ltd. ADR (IPX),175.5K,17.21,2.2,14.66
19,BioNexus Gene Lab Corp. (BGLC),236.2K,2.65,0.33,14.22
20,Alto Neuroscience Inc. (ANRO),275.2K,2.38,0.29,14.18
21,Contango ORE Inc. (CTGO),219.8K,14.04,1.71,13.82
22,authID Inc. (AUID),267.8K,8.0,0.95,13.48
23,Mammoth Energy Services Inc. (TUSK),332.8K,2.57,0.3,13.22
24,Janover Inc. (JNVR),598.7K,74.45,8.51,12.91
25,Yatsen Holding Ltd. ADR (YSG),165.2K,4.15,0.47,12.77
26,Zhengye Biotechnology Holding Ltd. (ZYBT),503.2K,5.77,0.65,12.7
27,Pheton Holdings Ltd. Cl A (PTHL),76.4K,3.1,0.34,12.32
28,Redwire Corp. (RDW),1.5M,10.16,1.08,11.89
29,Microbot Medical Inc. (MBOT),8.0M,2.55,0.27,11.84
30,4D Molecular Therapeutics Inc. (FDMT),761.5K,3.09,0.31,11.15
31,Gaia Inc. Cl A (GAIA),78.4K,3.95,0.39,10.96
32,Auddia Inc. (AUUD),272.5K,4.81,0.46,10.57
33,Gorilla Technology Group Inc. (GRRR),2.1M,20.01,1.9,10.49
34,Rocket Pharmaceuticals Inc. (RCKT),4.7M,6.53,0.62,10.49
35,Phio Pharmaceuticals Corp. (PHIO),4.4M,2.43,0.23,10.45
36,E.W. Scripps Co. Cl A (SSP),1.2M,2.27,0.21,10.19
37,Bicycle Therapeutics Ltd. ADR (BCYC),579.7K,7.79,0.72,10.18
38,Rocket Lab USA Inc. (RKLB),29.8M,21.07,1.94,10.14
39,Reitar Logtech Holdings Ltd. (RITR),273.1K,4.06,0.36,9.73
40,ServiceTitan Inc. Cl A (TTAN),656.8K,115.59,10.22,9.7
41,Gyre Therapeutics Inc. (GYRE),72.6K,8.43,0.71,9.2
42,Draganfly Inc. (DPRO),67.5K,2.65,0.22,9.05
