,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PIII,P3 Health Partners Inc.,,8.76 -0.23 (-2.56%),-0.23,-2.56%,2636,19215,3.462B,-,-61.91%,
1,BBAR,Banco BBVA Argentina S.A.,,20.17 -0.19 (-0.93%),-0.19,-0.93%,21545,752414,4.506B,12.30,148.60%,
2,SMMT,Summit Therapeutics Inc.,,25.68 -0.45 (-1.71%),-0.45,-1.71%,148477,2.837M,18.944B,-,638.14%,
3,TGS,Transportadora de Gas del Sur S.A.,,28.00 -0.09 (-0.32%),-0.09,-0.32%,1907,337227,4.657B,12.23,79.72%,
4,VKTX,"Viking Therapeutics, Inc.",,24.30 -0.27 (-1.11%),-0.27,-1.11%,130880,4.739M,2.728B,-,-63.84%,
5,WAFD,"WaFd, Inc.",,26.94 +0.20 (+0.75%),0.2,+0.75%,12874,626500,2.197B,12.30,0.00%,
6,HCM,HUTCHMED (China) Limited,,14.50 -0.39 (-2.62%),-0.39,-2.62%,4357,100232,2.479B,72.50,-10.73%,
7,FMCC,Federal Home Loan Mortgage Corporation,,5.22 +0.40 (+8.30%),0.4,+8.30%,1.809M,4.674M,3.393B,-,292.48%,
8,AKO-B,Embotelladora Andina S.A.,,23.82 +0.19 (+0.80%),0.19,+0.80%,912,11498,2.988B,16.43,51.38%,
9,RKT,"Rocket Companies, Inc.",,12.84 -0.01 (-0.08%),-0.01,-0.08%,96451,8.879M,25.517B,61.14,12.33%,
10,HWKN,"Hawkins, Inc.",,123.73 -0.10 (-0.08%),-0.1,-0.08%,1622,131785,2.59B,31.64,62.78%,
11,TMDX,"TransMedics Group, Inc.",,85.50 -1.34 (-1.54%),-1.34,-1.54%,17891,1.325M,2.892B,79.91,-6.93%,
12,FNMA,Federal National Mortgage Association,,6.25 +0.45 (+7.76%),0.45,+7.76%,600,12.793M,7.238B,-,337.06%,
13,BBWI,"Bath & Body Works, Inc.",,28.34 -0.31 (-1.08%),-0.31,-1.08%,26776,5.58M,6.071B,7.85,-34.42%,
14,BLCO,Bausch + Lomb Corporation,,12.25 +0.85 (+7.46%),0.85,+7.46%,1904,749186,4.328B,-,-12.94%,
15,VIST,"Vista Energy, S.A.B. de C.V.",,40.50 -0.36 (-0.88%),-0.36,-0.88%,8226,1.021M,3.975B,8.75,-3.13%,
16,ERIC,Telefonaktiebolaget LM Ericsson (publ),,7.94 +0.49 (+6.57%),0.49,+6.57%,868122,22.116M,26.725B,-,52.66%,
17,FMCKI,Federal Home Loan Mortgage Corporation,,8.85 +0.55 (+6.63%),0.55,+6.63%,43880,12938,6.667B,130.15,191.12%,
18,XENE,Xenon Pharmaceuticals Inc.,,33.42 -0.01 (-0.04%),-0.01,-0.04%,3710,585880,2.558B,-,-19.40%,
19,FMCKJ,Federal Home Loan Mortgage Corporation,,10.55 +0.58 (+5.82%),0.58,+5.82%,433550,686304,7.206B,155.15,166.41%,
20,AG,First Majestic Silver Corp.,,6.72 +0.07 (+1.05%),0.07,+1.05%,369425,20.722M,3.258B,-,-2.78%,
21,PTGX,"Protagonist Therapeutics, Inc.",,45.19 +0.16 (+0.36%),0.16,+0.36%,20137,1.12M,2.774B,10.68,72.46%,
22,STLA,Stellantis N.V.,,9.36 -0.01 (-0.11%),-0.01,-0.11%,1.185M,18.001M,26.961B,4.48,-63.68%,
23,ATEYY,Advantest Corporation,,41.61 +2.20 (+5.58%),2.2,+5.58%,28338,185731,30.53B,32.51,11.70%,
24,MP,MP Materials Corp.,,29.31 +1.72 (+6.22%),1.72,+6.22%,1.142M,3.87M,4.79B,-,68.75%,
25,AUOTY,AUO Corporation,,5.37 +0.27 (+5.29%),0.27,+5.29%,18631,84272,4.053B,-,-1.47%,
26,CHGCY,"Chugai Pharmaceutical Co., Ltd.",,23.03 +1.14 (+5.21%),1.14,+5.21%,40140,215914,75.793B,28.09,38.82%,
27,ENPH,"Enphase Energy, Inc.",,54.79 +0.24 (+0.45%),0.24,+0.45%,30040,4.292M,7.188B,73.06,-50.62%,
28,FIVE,"Five Below, Inc.",,63.60 +0.04 (+0.06%),0.04,+0.06%,15182,2.331M,3.501B,13.83,-57.43%,
29,PAAS,Pan American Silver Corp.,,27.53 +0.35 (+1.29%),0.35,+1.29%,153352,3.655M,9.975B,88.81,44.57%,
30,RIVN,"Rivian Automotive, Inc.",,11.88 -0.15 (-1.25%),-0.15,-1.25%,495531,31.971M,13.433B,-,38.12%,
31,JD,"JD.com, Inc.",,37.71 -0.47 (-1.23%),-0.47,-1.23%,390915,14.965M,57.137B,10.25,52.35%,
32,BAC,Bank of America Corporation,,38.24 +1.57 (+4.27%),1.57,+4.27%,6.072M,46.756M,290.693B,11.91,5.74%,
33,QRVO,"Qorvo, Inc.",,59.09 +0.16 (+0.27%),0.16,+0.27%,15353,2.92M,5.519B,211.04,-46.98%,
34,SNEX,StoneX Group Inc.,,79.25 +0.15 (+0.19%),0.15,+0.19%,2186,410186,3.814B,14.20,84.12%,
35,TAL,TAL Education Group,,10.18 +0.13 (+1.29%),0.13,+1.29%,153888,8.301M,6.152B,53.58,-11.22%,
36,AMX,"América Móvil, S.A.B. de C.V.",,14.91 +0.06 (+0.40%),0.06,+0.40%,9109,2.014M,45.275B,32.41,-15.48%,
37,TGTX,"TG Therapeutics, Inc.",,38.25 -0.16 (-0.42%),-0.16,-0.42%,14233,2.715M,6.008B,255.00,174.36%,
38,PLTR,Palantir Technologies Inc.,,93.63 +1.01 (+1.09%),1.01,+1.09%,3.391M,106.62M,219.595B,492.79,323.31%,
39,APTV,Aptiv PLC,,49.92 -0.18 (-0.36%),-0.18,-0.36%,37208,3.873M,11.454B,7.17,-30.36%,
40,MKSI,"MKS Instruments, Inc.",,68.70 +0.22 (+0.32%),0.22,+0.32%,3986,1.356M,4.634B,24.45,-43.16%,
41,NTDOY,"Nintendo Co., Ltd.",,18.22 +0.77 (+4.41%),0.77,+4.41%,107,2.65M,84.85B,37.96,50.08%,
42,ESAIY,"Eisai Co., Ltd.",,6.42 +0.27 (+4.39%),0.27,+4.39%,19649,211352,7.255B,17.83,-34.09%,
43,ARGX,argenx SE,,598.77 -7.62 (-1.26%),-7.62,-1.26%,153133,345695,36.52B,46.82,63.59%,
44,SCBFY,Standard Chartered PLC,,26.70 +1.12 (+4.38%),1.12,+4.38%,500,238077,31.471B,9.71,66.29%,
45,TTDKY,TDK Corporation,,9.80 +0.40 (+4.26%),0.4,+4.26%,39238,281996,18.596B,16.07,2.17%,
46,ORLA,Orla Mining Ltd.,,10.93 -0.14 (-1.31%),-0.14,-1.31%,64356,1.215M,3.523B,40.46,180.96%,
47,EVR,Evercore Inc.,,180.32 -0.83 (-0.46%),-0.83,-0.46%,2850,726249,7.054B,19.86,-1.91%,
48,INCY,Incyte Corporation,,59.27 +0.05 (+0.08%),0.05,+0.08%,12659,1.96M,11.47B,395.13,11.27%,
49,WDC,Western Digital Corporation,,36.00 +0.18 (+0.50%),0.18,+0.50%,76358,9.812M,12.522B,10.40,-33.31%,
50,SLNO,"Soleno Therapeutics, Inc.",,68.99 -1.01 (-1.44%),-1.01,-1.44%,6134,1.126M,3.164B,-,85.23%,
51,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,,7.71 -0.14 (-1.72%),-0.14,-1.72%,493,46956,15.706B,10.02,-3.92%,
52,VEON,VEON Ltd.,,41.56 +0.50 (+1.22%),0.5,+1.22%,4275,131165,2.936B,8.07,77.98%,
53,F,Ford Motor Company,,9.61 -0.10 (-1.03%),-0.1,-1.03%,557772,119.284M,38.215B,6.58,-19.69%,
54,BPIRY,Piraeus Financial Holdings S.A.,,5.42 +0.21 (+4.03%),0.21,+4.03%,26073,102926,6.764B,5.53,38.62%,
55,QXO,"QXO, Inc.",,14.52 +0.06 (+0.38%),0.06,+0.38%,40066,2.7M,5.943B,-,-87.74%,
56,DRPRY,Dr. Ing. h.c. F. Porsche AG,,5.10 +0.19 (+3.87%),0.19,+3.87%,29155,319488,23.23B,11.33,-46.82%,
57,ES,Eversource Energy,,58.50 +0.02 (+0.03%),0.02,+0.03%,16464,3.039M,21.474B,25.77,2.24%,
58,NXT,Nextracker Inc.,,40.69 -0.04 (-0.10%),-0.04,-0.10%,20896,2.514M,6.003B,10.05,-6.78%,
59,FINV,FinVolution Group,,7.95 -0.01 (-0.19%),-0.01,-0.19%,7792,1.118M,2.064B,6.41,69.00%,
60,LEGN,Legend Biotech Corporation,,33.54 +1.43 (+4.45%),1.43,+4.45%,106235,1.237M,6.16B,-,-35.93%,
61,SLG,SL Green Realty Corp.,,51.17 -0.33 (-0.65%),-0.33,-0.65%,8469,875127,3.864B,639.56,6.58%,
62,CLSK,"CleanSpark, Inc.",,7.76 -0.03 (-0.32%),-0.03,-0.32%,586517,24.787M,2.178B,-,-46.27%,
63,FOLD,"Amicus Therapeutics, Inc.",,6.81 +0.09 (+1.34%),0.09,+1.34%,16352,2.736M,2.092B,-,-36.36%,
64,TCOM,Trip.com Group Limited,,56.68 -0.07 (-0.12%),-0.07,-0.12%,88836,4.479M,37.152B,16.67,16.60%,
65,IQV,IQVIA Holdings Inc.,,151.71 +0.79 (+0.52%),0.79,+0.52%,11733,1.736M,26.749B,20.26,-34.14%,
66,AIBGY,AIB Group plc,,12.79 +0.45 (+3.65%),0.45,+3.65%,138381,150618,14.89B,6.09,30.38%,
67,BXP,"BXP, Inc.",,62.75 -0.09 (-0.14%),-0.09,-0.14%,20542,1.468M,11.068B,697.22,8.38%,
68,ARE,"Alexandria Real Estate Equities, Inc.",,79.61 -0.08 (-0.11%),-0.08,-0.11%,15989,1.485M,13.773B,44.23,-31.87%,
69,UA,"Under Armour, Inc.",,5.22 +0.05 (+0.97%),0.05,+0.97%,76346,4.43M,2.305B,-,-18.07%,
70,STX,Seagate Technology Holdings plc,,72.43 -0.24 (-0.34%),-0.24,-0.34%,24721,3.855M,15.333B,13.17,-13.16%,
71,SCCO,Southern Copper Corporation,,86.85 -0.82 (-0.94%),-0.82,-0.94%,18651,1.581M,69.149B,20.20,-22.13%,
72,FLEX,Flex Ltd.,,30.65 0.00 (0.00%),0.0,0.00%,19266,4.068M,11.742B,12.51,8.69%,
73,RGEN,Repligen Corporation,,124.42 -2.85 (-2.24%),-2.85,-2.24%,4665,755440,6.99B,-,-22.48%,
74,TECH,Bio-Techne Corporation,,52.12 -0.42 (-0.79%),-0.42,-0.79%,6492,1.882M,8.24B,53.18,-17.92%,
