,Unnamed: 0,Volume,Last,Chg,% Chg
0,Venus Concept Inc. (VERO),38.8M,8.03,5.11,175.03
1,Antelope Enterprise Holdings Ltd. (AEHL),32.7M,4.94,2.76,126.61
2,Tivic Health Systems Inc. (TIVC),168.3K,5.42,1.81,50.14
3,iCoreConnect Inc. (ICCT),19.7M,4.73,1.47,45.09
4,ENDRA Life Sciences Inc. (NDRA),143.4K,4.79,0.8,20.05
5,Hub Cyber Security Ltd. (HUBC),2.8M,2.91,0.45,18.21
6,Jiuzi Holdings Inc. (JZXN),127.2K,4.58,0.69,17.74
7,Treasure Global Inc. (TGL),3.2M,2.62,0.36,15.93
8,BeLive Holdings (BLIV),749.1K,3.57,0.47,15.16
9,Lifecore Biomedical Inc. (LFCR),371.8K,5.99,0.78,14.97
10,Eason Technology Ltd. ADR (DXF),2.7M,7.38,0.95,14.88
11,NACCO Industries Inc. Cl A (NC),91.8K,36.68,4.65,14.52
12,Kura Sushi USA Inc. (KRUS),334.4K,47.29,5.83,14.06
13,Wellgistics Health Inc. (WGRX),248.5K,4.26,0.44,11.52
14,China SXT Pharmaceuticals Inc. (SXTC),62.5K,2.77,0.28,11.24
15,WeRide Inc. ADR (WRD),2.4M,9.8,0.96,10.86
16,Baiya International Group Inc. (BIYA),221.3K,3.8,0.37,10.79
17,Nutex Health Inc. (NUTX),145.2K,94.09,9.15,10.77
18,Simply Good Foods Co. (SMPL),1.0M,36.44,3.25,9.79
19,Lion Group Holding Ltd. ADR (LGHL),688.0K,3.32,0.29,9.74
20,Upexi Inc. (UPXI),781.5K,2.39,0.21,9.52
21,Capri Holdings Ltd. (CPRI),6.7M,13.63,1.15,9.21
22,Harmony Gold Mining Co. Ltd. ADR (HMY),5.5M,14.16,1.19,9.14
23,Lianhe Sowell International Group Ltd. (LHSW),2.3M,3.01,0.25,9.12
24,10x Genomics Inc. (TXG),1.8M,7.75,0.61,8.54
25,Neurogene Inc. (NGNE),152.6K,7.96,0.63,8.51
26,FormFactor Inc. (FORM),545.4K,25.14,1.96,8.46
27,IAMGOLD Corp. (IAG),15.3M,6.3,0.48,8.35
28,Alpha Cognition Inc. (ACOG),207.6K,4.06,0.31,8.27
29,Eastman Kodak Co. (KODK),1.1M,5.74,0.44,8.24
30,Bakkt Holdings Inc. (BKKT),195.6K,7.56,0.56,8.0
31,Aeva Technologies Inc. (AEVA),334.7K,6.38,0.47,7.95
32,Sibanye-Stillwater Ltd. ADR (SBSW),13.4M,3.48,0.26,7.92
33,Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),106.9K,2.26,0.17,7.89
34,Metalla Royalty & Streaming Ltd. (MTA),252.8K,2.75,0.2,7.84
