,Unnamed: 0,Volume,Last,Chg,% Chg
68,Hydrofarm Holdings Group Inc. (HYFM),364.1K,2.3,0.15,6.79
69,Ivanhoe Electric Inc. (IE),217.7K,5.34,0.34,6.7
70,Barrick Gold Corp. (GOLD),23.9M,20.52,1.28,6.67
71,Contango ORE Inc. (CTGO),73.5K,11.62,0.72,6.65
72,CRISPR Therapeutics AG (CRSP),1.3M,36.5,2.24,6.53
73,Abacus Global Management Inc. (ABL),189.7K,7.59,0.46,6.45
74,A-Mark Precious Metals Inc. (AMRK),237.7K,23.54,1.43,6.44
75,Uranium Energy Corp. (UEC),4.5M,4.66,0.28,6.38
76,Zymeworks Inc. (ZYME),261.6K,10.04,0.6,6.36
77,DHT Holdings Inc. (DHT),1.2M,10.46,0.63,6.35
78,ZIM Integrated Shipping Services Ltd. (ZIM),2.9M,13.4,0.8,6.35
79,Compania de Minas Buenaventura S.A. ADR (BVN),439.6K,14.88,0.88,6.25
80,Bioceres Crop Solutions Corp. (BIOX),66.0K,4.34,0.26,6.23
81,Safe Bulkers Inc. (SB),244.5K,3.41,0.2,6.23
82,Peabody Energy Corp. (BTU),2.2M,11.93,0.7,6.22
83,Teekay Corp. Ltd. (TK),254.2K,6.44,0.38,6.19
84,United States Antimony Corp. (UAMY),5.3M,2.7,0.15,6.08
85,KalVista Pharmaceuticals Inc. (KALV),140.2K,11.18,0.64,6.07
86,International Seaways Inc. (INSW),296.2K,32.51,1.86,6.07
87,B2Gold Corp. (BTG),30.7M,3.24,0.18,6.05
88,Oric Pharmaceuticals Inc. (ORIC),154.8K,4.57,0.26,6.03
89,Fastenal Co. (FAST),3.1M,80.34,4.55,6.0
90,Sprott Inc. (SII),158.7K,46.65,2.64,6.0
91,Harmony Gold Mining Co. Ltd. ADR (HMY),6.2M,17.08,0.96,5.98
92,argenx SE ADR (ARGX),356.3K,578.76,32.53,5.96
93,NIO Inc. ADR (NIO),29.8M,3.48,0.2,5.95
94,STMicroelectronics N.V. (STM),5.2M,20.06,1.13,5.94
95,IRSA-Inversiones y Representaciones S.A. GDR (IRS),52.0K,12.67,0.71,5.94
96,Junee Ltd. (JUNE),59.0K,10.6,0.59,5.9
97,Huntington Ingalls Industries Inc. (HII),591.9K,212.66,11.77,5.86
98,Sasol Ltd. ADR (SSL),710.9K,3.36,0.18,5.82
99,Cuprina Holdings (Cayman) Ltd. (CUPR),276.8K,4.39,0.24,5.78
