,Unnamed: 0,Volume,Last,Chg,% Chg
0,Portage Biotech Inc. (PRTG),20.4M,11.25,6.15,120.59
1,Regencell Bioscience Holdings Ltd. (RGC),162.6K,38.89,10.65,37.71
2,CeriBell Inc. (CBLL),1.3M,15.01,3.86,34.62
3,MarketWise Inc. (MKTW),66.4K,12.78,2.73,27.16
4,BioNexus Gene Lab Corp. (BGLC),28.5M,2.67,0.5,23.04
5,Simulations Plus Inc. (SLP),832.4K,31.31,5.57,21.64
6,Recursion Pharmaceuticals Inc. (RXRX),59.2M,5.47,0.96,21.28
7,WISeKey International Holding Ltd. ADR (WKEY),102.7K,3.98,0.63,18.8
8,Schrodinger Inc. (SDGR),1.6M,22.5,3.28,17.07
9,Certara Inc. (CERT),5.6M,12.24,1.74,16.51
10,Lianhe Sowell International Group Ltd. (LHSW),973.2K,3.62,0.49,15.77
11,MBX Biosciences Inc. (MBX),535.7K,7.24,0.97,15.47
12,Zai Lab Ltd. ADR (ZLAB),1.6M,28.08,3.76,15.46
13,American Rebel Holdings Inc. (AREB),7.5M,8.34,1.09,15.03
14,Summit Therapeutics Inc. (SMMT),3.4M,22.89,2.74,13.59
15,Neurogene Inc. (NGNE),101.8K,10.18,1.22,13.55
16,Sibanye-Stillwater Ltd. ADR (SBSW),9.4M,4.38,0.49,12.72
17,Reitar Logtech Holdings Ltd. (RITR),109.8K,3.38,0.37,12.13
18,Hycroft Mining Holding Corp. (HYMC),246.7K,3.16,0.33,11.64
19,Janover Inc. (JNVR),1.1M,50.09,5.12,11.39
20,Seabridge Gold Inc. (SA),1.3M,12.43,1.27,11.38
21,Absci Corp. (ABSI),4.2M,2.72,0.27,11.0
22,QuantaSing Group Ltd. ADR (QSG),475.7K,4.53,0.44,10.76
23,Cybin Inc. (CYBN),221.4K,6.35,0.61,10.63
24,Banco BBVA Argentina S.A. ADR (BBAR),261.1K,17.76,1.7,10.59
25,NovaGold Resources Inc. (NG),5.1M,2.78,0.27,10.56
26,AngloGold Ashanti PLC (AU),4.1M,42.94,4.09,10.53
27,Zenas BioPharma Inc. (ZBIO),68.6K,7.49,0.71,10.51
28,Tianci International Inc. (CIIT),94.7K,2.87,0.27,10.43
29,Banco Macro S.A. ADR (BMA),237.3K,78.85,7.35,10.28
30,Ramaco Resources Inc. Cl A (METC),469.0K,8.5,0.79,10.28
31,Kingsoft Cloud Holdings Ltd. ADR (KC),2.2M,13.94,1.29,10.2
32,Focus Universal Inc. (FCUV),75.9K,4.27,0.39,10.05
33,Skeena Resources Ltd. (SKE),411.9K,11.15,1.0,9.85
34,Central Puerto S.A. ADR (CEPU),116.0K,10.82,0.95,9.63
35,Dorian LPG Ltd. (LPG),529.0K,19.92,1.74,9.54
36,BeiGene Ltd. ADR (ONC),391.0K,227.36,19.05,9.15
37,AbCellera Biologics Inc. (ABCL),2.5M,2.26,0.18,8.94
38,Venus Concept Inc. (VERO),9.6M,4.42,0.36,8.87
39,Grupo Supervielle S.A. ADR (SUPV),758.4K,12.85,1.04,8.78
40,Newmont Corp. (NEM),16.8M,55.38,4.44,8.72
41,Grupo Financiero Galicia S.A. ADR (GGAL),987.3K,53.08,4.16,8.5
42,Coeur Mining Inc. (CDE),9.5M,5.96,0.47,8.47
43,Golar LNG Ltd. (GLNG),1.7M,36.21,2.82,8.45
44,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),86.8K,27.63,2.15,8.44
45,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),120.2K,9.82,0.72,7.91
46,Ruanyun Edai Technology Inc. (RYET),147.6K,4.78,0.35,7.9
47,HUTCHMED (China) Ltd. ADR (HCM),87.6K,13.52,0.98,7.86
48,Frontline PLC (FRO),2.5M,15.13,1.1,7.84
49,Teekay Tankers Ltd. (TNK),256.7K,38.52,2.75,7.7
50,Energy Fuels Inc. (UUUU),3.5M,4.08,0.29,7.65
51,Cryoport Inc. (CYRX),157.4K,5.63,0.4,7.65
52,Tsakos Energy Navigation Ltd. (TEN),199.5K,15.64,1.1,7.57
53,InMed Pharmaceuticals Inc. (INM),179.4K,2.72,0.19,7.5
54,60 Degrees Pharmaceuticals Inc. (SXTP),1.3M,3.33,0.23,7.42
55,Superior Industries International Inc. (SUP),144.3K,2.36,0.16,7.27
56,XPeng Inc. ADR (XPEV),10.2M,19.26,1.28,7.15
57,aTyr Pharma Inc. (ATYR),515.1K,2.94,0.2,7.12
58,Transportadora de Gas del Sur S.A. ADR (TGS),116.8K,24.94,1.65,7.06
59,MicroStrategy Inc. (MSTR),9.6M,291.56,19.22,7.06
60,Eldorado Gold Corp. (EGO),1.7M,19.27,1.27,7.06
61,Pampa Energia S.A. ADR (PAM),69.2K,69.65,4.59,7.06
62,Collective Mining Ltd. (CNL),82.5K,10.18,0.67,7.04
63,Genco Shipping & Trading Ltd. (GNK),370.4K,12.82,0.83,6.96
64,CDT Environmental Technology Investment Holdings Ltd. (CDTG),1.1M,2.46,0.16,6.96
65,908 Devices Inc. (MASS),178.3K,4.05,0.26,6.86
66,Danaos Corp. (DAC),85.4K,73.65,4.73,6.86
67,CureVac N.V. (CVAC),357.6K,3.06,0.2,6.82
