,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,AAGIY,AIA Group Limited,,29.89 +1.06 (+3.68%),1.06,+3.68%,26405,500411,79.625B,17.38,-8.73%,
45,WST,"West Pharmaceutical Services, Inc.",,210.91 +7.26 (+3.56%),7.26,+3.56%,1.882M,741169,15.25B,31.53,-41.94%,
46,ADM,Archer-Daniels-Midland Company,,48.19 +1.64 (+3.52%),1.64,+3.52%,5.169M,3.456M,23.117B,13.20,-9.37%,
47,MNST,Monster Beverage Corporation,,53.00 +1.79 (+3.50%),1.79,+3.50%,6.783M,5.632M,51.544B,33.97,-4.88%,
48,BF-B,Brown-Forman Corporation,,32.06 +1.08 (+3.49%),1.08,+3.49%,4.609M,3.077M,15.191B,15.12,-43.75%,
49,TXNM,"TXNM Energy, Inc.",,53.22 +1.79 (+3.48%),1.79,+3.48%,2.112M,822613,4.8B,19.93,43.68%,
50,BEKE,KE Holdings Inc.,,20.90 +0.68 (+3.36%),0.68,+3.36%,8.17M,7.258M,25.05B,42.65,49.71%,
51,TR,"Tootsie Roll Industries, Inc.",,32.36 +1.05 (+3.35%),1.05,+3.35%,170476,105272,2.171B,26.52,6.39%,
52,TW,Tradeweb Markets Inc.,,134.15 +4.27 (+3.29%),4.27,+3.29%,2.058M,967806,29.268B,57.58,27.51%,
53,FNF,"Fidelity National Financial, Inc.",,59.46 +1.89 (+3.28%),1.89,+3.28%,2.062M,981123,16.351B,12.79,20.15%,
54,KHC,The Kraft Heinz Company,,31.13 +0.97 (+3.22%),0.97,+3.22%,14.679M,10.275M,37.2B,13.77,-13.43%,
55,BILI,Bilibili Inc.,,22.82 +0.71 (+3.21%),0.71,+3.21%,22.761M,6.571M,9.658B,-,125.27%,
56,CPB,The Campbell's Company,,40.59 +1.25 (+3.18%),1.25,+3.18%,3.965M,2.937M,12.1B,22.18,-3.77%,
57,ESGRP,Enstar Group Limited,,20.87 +0.64 (+3.16%),0.64,+3.16%,16904,58144,2.937B,-,-18.38%,
58,AWK,"American Water Works Company, Inc.",,132.68 +4.01 (+3.12%),4.01,+3.12%,2.117M,1.262M,25.866B,24.62,12.99%,
59,BF-A,Brown-Forman Corporation,,32.28 +0.96 (+3.07%),0.96,+3.07%,119446,143167,15.191B,15.23,-44.56%,
60,GIS,"General Mills, Inc.",,61.00 +1.81 (+3.06%),1.81,+3.06%,5.218M,4.504M,33.625B,13.26,-6.15%,
61,BLKB,"Blackbaud, Inc.",,68.24 +2.02 (+3.05%),2.02,+3.05%,303691,191274,3.361B,-,-0.94%,
